annualized_return,annualized_volatility,sharpe,max_drawdown,cumulative_return,path_index
0.13923745427978362,0.1563549611240003,0.8905214985110622,-0.14817648484527313,0.8175317264077564,0.0
0.11809315796695152,0.16294446125888618,0.7247448428414213,-0.18325679195097166,0.6679798002942865,1.0
0.1299042996423978,0.15884225115574194,0.8178195580660023,-0.1693244390959786,0.7502803382314809,2.0
0.13673921335227268,0.16094116353588445,0.8496223734693235,-0.18108661712534047,0.7993356791932347,3.0
0.15646635361901806,0.1645223173955971,0.9510342189187116,-0.15268289043507322,0.9469714892218171,4.0
0.1511005986409517,0.159471589243477,0.9475079502108386,-0.1550527179990311,0.9059106300954025,5.0
0.15275736209071078,0.1643761886418558,0.9293156347817493,-0.1610357492057003,0.9185158686502948,6.0
0.14528894825265604,0.16361005503103948,0.8880196771836081,-0.17364747055713503,0.8622046370471055,7.0
0.13191094287204286,0.16302243866290525,0.8091581990428068,-0.1663548520822301,0.7645725470769624,8.0
0.16038631287315397,0.1571933699558179,1.0203121983976393,-0.14886589744310597,0.977403227298328,9.0
0.13386758439532476,0.16118272447164647,0.8305330787411607,-0.18874015561850177,0.77859632236597,10.0
0.14713481197762834,0.16326987496035297,0.9011755047485476,-0.16498783704269726,0.8760004540270157,11.0
0.15391126524179888,0.1574405075265816,0.9775836451480769,-0.13287958516002685,0.9273336058504336,12.0
0.15513710860305396,0.15933845062547314,0.9736325914684932,-0.13969111604365292,0.9367357626484971,13.0
0.12833749634891212,0.1620784431498331,0.7918233532775902,-0.18045134791602668,0.7391839194666434,14.0
0.15145759154223515,0.15951282072719758,0.9495010548478817,-0.1451675332030864,0.9086212685219939,15.0
0.1415865170257442,0.16411497860197005,0.8627275720465201,-0.16922956070956607,0.8347721576599707,16.0
0.14642831625830843,0.15948720563951427,0.9181195173064692,-0.16379725004485923,0.8707107639693776,17.0
0.1301995365005344,0.16266779945186696,0.8004014128134815,-0.1869970126551822,0.7523774485877923,18.0
0.1492834707171229,0.16209751094771874,0.9209485688233131,-0.14605479875173888,0.892159835176074,19.0
0.14427181395861832,0.16607753523407348,0.8687015601193643,-0.17413980150246855,0.854636639006906,20.0
0.14579110985613153,0.1591206639504964,0.9162298989745807,-0.16965499136403073,0.8659498666184495,21.0
0.15787364428078088,0.16268573762664457,0.9704209267753563,-0.15563494734504257,0.9578542397440692,22.0
0.1401057992044008,0.1629277490231456,0.8599259490444277,-0.15806165488088875,0.8238899314972936,23.0
0.14721979110327021,0.16061203027736287,0.9166174591594077,-0.17051484118316607,0.8766374986044454,24.0
0.14491534681100715,0.16222801487519045,0.8932818842818071,-0.16900310458691914,0.8594220517087554,25.0
0.1454136589633257,0.16142696567934825,0.9008015380290879,-0.1651793099612675,0.8631342073903945,26.0
0.14614518683649957,0.16113436661045832,0.906977139084209,-0.1694116834923176,0.868594187238656,27.0
0.14029939570493677,0.15974804818100458,0.8782542090653198,-0.13386531275652025,0.8253098536807248,28.0
0.1577884089081012,0.16025437765036601,0.9846121598771864,-0.14335919857474455,0.957193754354126,29.0
0.12351626303651919,0.16134201083031569,0.7655554954401923,-0.18018078805003546,0.7053835976861345,30.0
0.13685158084480786,0.1624415280029844,0.8424667172688354,-0.186948129714672,0.8001510410662793,31.0
0.14060039061728458,0.163065695370707,0.8622315705191659,-0.1672428598069674,0.8275191994608675,32.0
0.1378420357257506,0.15930890561791183,0.8652500322634341,-0.16775852088810006,0.8073504891779013,33.0
0.15476271000732988,0.16151448600595072,0.958197087050309,-0.15991467945174787,0.9338603492653432,34.0
0.1473872536921017,0.16258024016433906,0.9065508424831947,-0.1727273353810831,0.8778933740980503,35.0
0.15219479304018213,0.16161974823516953,0.9416843838831296,-0.17298793522180922,0.9142283597929399,36.0
0.14642007693613257,0.15874489656035787,0.9223608450332816,-0.14951989444968639,0.870649143205596,37.0
0.14045030300416972,0.15716110545736817,0.8936708773804632,-0.14498640271432428,0.8264172736970583,38.0
0.12926518178378132,0.1597308960111506,0.8092684947735941,-0.15477510585976006,0.745747312222405,39.0
0.15178497384419454,0.15973475877797183,0.9502313397873074,-0.1690225089590508,0.9111097229019431,40.0
0.15038920058419047,0.1608236292976396,0.9351188083553449,-0.17951250746573333,0.9005179770972853,41.0
0.14359261908212018,0.1588819069381318,0.9037694841995745,-0.16570039445631413,0.849596487242382,42.0
0.13886125656915405,0.16073340593905405,0.863922815284625,-0.1613467240957176,0.8147825134147051,43.0
0.14663289389664103,0.16334410579302644,0.8976932053026743,-0.14980316421714668,0.8722412811049971,44.0
0.13823091439222446,0.16413131813985402,0.8421970648797191,-0.17367453632395002,0.8101833282245425,45.0
0.13123574390195425,0.16262778499732947,0.8069700014921146,-0.19506132446489988,0.7597533319666236,46.0
0.14542831346084206,0.15989406455564634,0.9095291552253342,-0.16239619915448844,0.8632434630924755,47.0
0.1425837098252556,0.16031974236049923,0.8893708767610047,-0.1617434274025027,0.8421293745386889,48.0
0.14078649955179556,0.15975653255095773,0.8812566053090113,-0.17113000150282198,0.8288863113500164,49.0
0.14846622405091936,0.15769768967091158,0.9414609964213381,-0.16987389340081682,0.8860008105920143,50.0
0.12741897568401028,0.1612453927110529,0.7902177764070532,-0.16171208706469753,0.7327043906115933,51.0
0.14428242509103217,0.16184254791904965,0.8914987248174029,-0.16137755068151538,0.8547154669197743,52.0
0.1388689807571304,0.15802515834948835,0.8787776719072025,-0.16476639547190453,0.8148389282497097,53.0
0.13858372039891176,0.15922738172644202,0.8703510595746857,-0.1727913774273636,0.8127563933498456,54.0
0.12658442562791006,0.16216509528545026,0.780589839046994,-0.18061726831463443,0.7268335948301627,55.0
0.1409751511182118,0.16010091855991607,0.8805393022492456,-0.17669213912992632,0.830272916697455,56.0
0.1326796832738848,0.15852029992497868,0.8369885960137394,-0.17238793196792668,0.7700719666275426,57.0
0.13188698748546313,0.1613569390278788,0.8173617340539415,-0.17088257482133895,0.7644013897800086,58.0
0.1469844950947905,0.16190100096618196,0.9078665000069566,-0.1689866712425684,0.8748740200996901,59.0
0.1461952209719486,0.15976584418454878,0.9150592964230547,-0.16011485891815835,0.8689680887062092,60.0
0.1429696042306139,0.15820964898908302,0.9036718376164229,-0.18296606139639404,0.8449826573527532,61.0
0.14141944848612198,0.16201810134036881,0.8728620278608682,-0.17655866794403963,0.8335417881652265,62.0
0.13225165425999386,0.16052767861158065,0.8238557699447917,-0.16377776620017614,0.767008279437364,63.0
0.14379009309568702,0.16178470506621767,0.8887743315218485,-0.17564679122837734,0.8510607917763731,64.0
0.15485458723199486,0.16126198564468402,0.9602671492163882,-0.15615228993752006,0.9345656650099257,65.0
0.14528720067629974,0.16066946343749858,0.9042614418938255,-0.16101762455794122,0.8621916135160412,66.0
0.13912244294075848,0.16528184584680322,0.8417285166920787,-0.16118783169483186,0.8166908904128753,67.0
0.13149540231802925,0.1569347299540028,0.8378986751789758,-0.1400360385747449,0.7616054178708411,68.0
0.15326779370155097,0.15952670554577333,0.9607657424955317,-0.16015605866823668,0.9224125153656881,69.0
0.14076403218898248,0.1616763650532192,0.8706531232480827,-0.1705019395531031,0.8287212290337633,70.0
0.1435494348618387,0.16085360896782208,0.8924228420050867,-0.16651773315010832,0.849276389367239,71.0
0.15576419088747162,0.1624397379434574,0.9589044704177655,-0.15681334967821614,0.941559295180709,72.0
0.14705907858701406,0.1607655203674038,0.9147426528457976,-0.15398623222604746,0.875432862435249,73.0
0.14890126269712756,0.16375260306096717,0.9093062333897051,-0.15234156578729507,0.8892774426370977,74.0
0.14745348379577838,0.16109847519587497,0.9153003069488644,-0.16376527649657457,0.8783902440129989,75.0
0.14410915059682705,0.16356938385469497,0.8810276544469031,-0.1647742300593542,0.8534285742648724,76.0
0.13830346346673328,0.1634558099420174,0.8461214288791179,-0.16602803896491503,0.8107122057344456,77.0
0.1471556641394165,0.16309417741382334,0.9022741735655858,-0.161446782495562,0.8761567562494463,78.0
0.14860929651822352,0.16326954234686222,0.9102083241129362,-0.1628421146098269,0.8870779157167272,79.0
0.14072446519438353,0.16452942409581894,0.8553148834486174,-0.15193922877350452,0.8284305329336106,80.0
0.13628303120729846,0.16368943734786962,0.8325707108252343,-0.16772357103122815,0.7960284917523928,81.0
0.14699637215312822,0.1607209322549617,0.9146062687089113,-0.1670535991725859,0.8749630043066792,82.0
0.13079528576423716,0.16502234752998207,0.7925913533648745,-0.18284133177196227,0.7566151235040466,83.0
0.14845867902179233,0.1615754850084303,0.9188193308783594,-0.1659303590360065,0.885944022026306,84.0
0.14562691481530443,0.16148195577478114,0.9018154017059978,-0.16870620864570007,0.8647246172245182,85.0
0.1375945201239661,0.1608526079702715,0.8554074556838773,-0.17415739996048518,0.8055492343190229,86.0
