annualized_return,annualized_volatility,sharpe,max_drawdown,cumulative_return,annualized_excess_return,path_index
0.16714748749094932,0.13959497133448268,1.1973747040675857,-0.1688832813971014,1.0837579150321037,0.09829847419034743,0.0
0.08707693911674963,0.14451652731122347,0.6025396592129919,-0.17099016985010684,0.4867445104082988,-0.025716498853163516,1.0
0.1986252107132862,0.16466358399654368,1.2062485577713127,-0.1251859887845369,1.3645374013987257,0.06309249146749951,2.0
0.06213047648671988,0.17094208463239224,0.3634592184851981,-0.17203058010685013,0.33151138776730393,-0.03150418063802918,3.0
0.16529775332279906,0.13954182338268642,1.1845749848737341,-0.13097569960362643,1.0681180184767238,0.03723297278562021,4.0
0.10196645933104853,0.16698573327865288,0.6106297665615229,-0.1924808324599292,0.585987595481295,-0.06460721451518525,5.0
0.1933574138609957,0.14973411740156464,1.2913383884478369,-0.13717877108258703,1.3155813545371693,0.023972925511769327,6.0
0.14854526457996986,0.16891900233358875,0.8793875320588034,-0.12618705145888842,0.9306499981774659,0.03782698720401978,7.0
0.17382565772152914,0.14647542768351365,1.186722308789639,-0.12462305743478597,1.141002090526026,0.0021205983761296565,8.0
0.16481852257588714,0.14306666168189938,1.1520400395051629,-0.0948888925981829,1.0640811759626247,-0.002245432630122224,9.0
0.03516404180383925,0.155124237102372,0.22668309260166258,-0.25286457718769273,0.17840233316872967,0.0018273415041039076,10.0
0.1443843655338295,0.17286534318583105,0.8352418296975561,-0.15200882104337088,0.8976521221174281,0.0780715373512566,11.0
0.07226223413092736,0.162541990091567,0.44457579293952837,-0.19025884721339437,0.3929316225031738,0.020439737948841907,12.0
0.12133384270895031,0.15869088092186415,0.7645924076046461,-0.17130801360179226,0.7228240114918862,0.034564313902401445,13.0
0.05650016457227358,0.17156073180598716,0.32933040082953197,-0.2159445455838387,0.2983161306733497,0.028708910746189087,14.0
0.17527319362572968,0.15961491618339008,1.0981003393464115,-0.12641005462367905,1.1535722445980863,-0.02715430945927788,15.0
0.04113925848280653,0.17582167943517732,0.23398285475923875,-0.2341786723823116,0.21106348112243523,0.0014516923046246077,16.0
0.10600670116230693,0.15278261832763018,0.6938400606211891,-0.12734046282250033,0.6137986654886918,0.0433791609815426,17.0
0.14408395886588,0.1439702421729139,1.0007898624830367,-0.12067133438993671,0.8952871060106122,0.006540366583130286,18.0
0.17074518189399313,0.14704726277900898,1.1611585191531155,-0.12067133438993671,1.1144445522160265,0.037764067671678836,19.0
0.11427902695870151,0.16498280598186224,0.6926723441184837,-0.15485897079686695,0.671942326054102,-0.017676488195092377,20.0
0.029154906577698814,0.16447256113421443,0.17726304239834603,-0.2596704885045099,0.14626110822053828,-0.014884138121454615,21.0
0.0808263554949924,0.15879974339054131,0.5089829099799836,-0.18466400730870292,0.4465739818741865,-0.03944126678381488,22.0
0.019959911742113423,0.17606879839776934,0.11336427535002874,-0.193209573671833,0.09842330280525746,0.013682634519836423,23.0
0.1352139803678054,0.15235091271725743,0.8875167070298041,-0.13431312823217256,0.8264980873420038,0.0015100951674889007,24.0
0.20017445766375963,0.15556377587033746,1.2867678001760847,-0.14091511141293012,1.3790896301414173,0.08323678881645535,25.0
0.08759823763349939,0.1473669701056459,0.5944224650252434,-0.12067133438993671,0.49013409633130234,-0.009704991706397381,26.0
0.21125537453701204,0.16992142720738887,1.2432532965908716,-0.17130801360179204,1.4852475607714188,0.07252619506256353,27.0
0.2186188238551121,0.177429382597306,1.2321455480194603,-0.1830220322075049,1.5578345015494928,0.06763552090861369,28.0
0.0788695859832389,0.1491622476254156,0.5287503187891115,-0.23545838675888076,0.4341762081035274,0.023936045745333034,29.0
0.12406397815800063,0.17569935598762212,0.7061151559755338,-0.16929745758023462,0.7428395042576752,0.02549759180092348,30.0
0.07006465698116071,0.13541772448287448,0.5173965021840357,-0.18800231309362092,0.3794234199533417,0.02089510093024116,31.0
0.08656425540519552,0.16587196373718083,0.5218739409292459,-0.21872920813524122,0.4834168795135443,0.013376055849908086,32.0
0.10960214722769224,0.15807239979321322,0.6933667570750575,-0.17104487238175403,0.6388704335120052,-0.019119976253005433,33.0
0.11092245989886296,0.16530431561201114,0.6710197461463204,-0.1440310912617465,0.6481540383135267,0.034482341955428764,34.0
0.18688267037560768,0.15450007539850016,1.2095959817079927,-0.16416338580767365,1.256508618833164,0.06259782649024914,35.0
0.1356037443376754,0.1745869841838517,0.7767116487611451,-0.1191148573429347,0.8294787743236465,-0.04498697924463624,36.0
0.16658561664322624,0.161360766545829,1.0323799285863784,-0.12067133438993671,1.0789973377580049,-0.023693045388236467,37.0
0.07810180901202801,0.17590911763423808,0.4439895445011695,-0.19554401729168136,0.4293346767524051,0.03701684903165514,38.0
0.2201510202989161,0.16022260412792996,1.3740322190939813,-0.094888892598183,1.573146660596974,-0.030915019494049067,39.0
0.10316461704360402,0.15091963568437897,0.6835731916246743,-0.2327596688828213,0.594195350215653,0.027774796878676122,40.0
0.11877524124453398,0.16323922929614937,0.7276145676297662,-0.12067133438993671,0.7042312404743234,0.016082900945293854,41.0
0.0926704372728484,0.15733114852255667,0.5890151959296361,-0.1965273906102999,0.5234340831181106,0.008985146756376627,42.0
0.07340522802102245,0.1752448362953233,0.4188724162880307,-0.1441976609664719,0.39999860969812406,0.051526046185317975,43.0
0.21072645149872038,0.15065761064304686,1.3987109618908975,-0.12067133438993694,1.4800968822373037,-0.03881477361907226,44.0
0.06652585073139883,0.17254181230274349,0.38556364885441186,-0.1713080136017917,0.35788842303404667,0.002479378582029401,45.0
0.15015816224156397,0.16083674735564943,0.9336060614899623,-0.16560181967852572,0.9435621713755491,-0.04249849475870393,46.0
0.03293973700446928,0.16835946143391836,0.19565123767872253,-0.20525534552812208,0.16642327927429124,-0.001128478408985334,47.0
0.14673338672877345,0.14676307983225917,0.9997976800192552,-0.1033380579076918,0.9162257454882865,-0.003584567972980457,48.0
0.1441535050496885,0.1606423692125547,0.8973566921124719,-0.1491706635707205,0.8958344161888574,0.03431599734571811,49.0
0.18795575254586705,0.157896433000945,1.1903736453928768,-0.13829141587131288,1.266215774806232,0.08068551052304462,50.0
0.07137431328155142,0.17748069074203815,0.40215255520552057,-0.17130801360179204,0.3874611815978761,0.0053160393054509925,51.0
0.15321511235939766,0.15222600770980618,1.0064976061874857,-0.14426510105597978,0.9682218269259293,0.02282165212223486,52.0
0.10497302800517438,0.15416244924043077,0.680924755168226,-0.1206713343899366,0.6066469969013191,0.005042847649340043,53.0
0.27130374255332756,0.15010808645156654,1.8073892550809758,-0.0948888925981829,2.12740622385569,0.048186159643131,54.0
