variant,prefix,cost_bp,ann_return,ann_vol,raw_sharpe,excess_sharpe,sortino,max_dd,bs_ci_lo,bs_ci_hi
Dynamic L/S,dynamic,10,0.1904168489654663,0.11675024734240112,1.5605402297972542,1.1517871576401615,1.5626622223447701,-0.08512086523600111,0.44082901994692436,3.20140410087899
Dynamic L/S,dynamic,20,0.17005049191724075,0.11678577946393391,1.4103431014533845,1.0018476425088496,1.3782324353056088,-0.08640986352429214,0.2959609189128189,3.039755656882764
Dynamic L/S,dynamic,50,0.10193864038042966,0.11514092904028227,0.9026562560428818,0.4886619326413373,0.6834458360343655,-0.09027685838916537,-0.18950426439868429,2.401485566569228
Dynamic L/S,dynamic,100,0.011493876193508612,0.11576288265587546,0.15554290372653104,-0.25551215394396004,-0.36758524765935763,-0.0989784749334062,-0.9774622813100308,1.5570682397495101
Static L/S,static,10,0.20217907065206298,0.11397467002032399,1.6831974396110996,1.2650361108869588,1.8203907089816476,-0.07728061060167264,0.5978038367551062,3.3400189334571175
Static L/S,static,20,0.18182878165005345,0.11407362285509891,1.530022145456816,1.1123085562669432,1.6001675401013606,-0.07864935930997978,0.442443541988488,3.1592231816961593
Static L/S,static,50,0.1188720810638435,0.11404096404993738,1.0449589352070505,0.6273871597878047,0.9317634392150448,-0.08275560543490126,-0.024062224346077084,2.5974360524079088
Static L/S,static,100,0.027760271899988975,0.11503685527002301,0.2944925390066602,-0.11939806418784203,-0.18380049587504263,-0.09575225062045913,-0.8460585852908618,1.7174153663335616
