variant,column,n_observations,sample_start,sample_end,ann_return,ann_volatility,raw_sharpe,excess_sharpe,sortino_ratio,calmar_ratio,max_drawdown,drawdown_duration,skewness,excess_kurtosis,historical_var_99,expected_shortfall_99,hit_rate,best_month,worst_month,bootstrap_mean,bootstrap_std,bootstrap_ci_lo,bootstrap_ci_hi,dsr_deflated_sharpe,dsr_psr,dsr_threshold_sr,psr_threshold_0.0,psr_threshold_0.5,psr_threshold_1.0,mbl_target_0.500,mbl_target_1.000,mbl_target_1.410,mbl_target_1.512,mbl_target_1.236,mbl_target_1.588
Dynamic L/S 20bp (HEADLINE),dynamic_net_20bp,32,2023-07-31,2026-02-27,0.17005049191724098,0.11678577946393391,1.4103431014533847,1.0018476425088498,1.378232435305609,1.9679523260609624,-0.08640986352429211,3,-0.7037673743153792,0.7351544810373714,0.07154023960687117,0.08640986352429215,0.65625,0.07420977757875102,-0.08640986352429215,1.0677794608873319,0.677427842533882,-0.09476253602505688,2.5266006740397136,0.3040466062591807,0.3040466062591807,1.77067626705667,0.9776297899905194,0.9024307615721621,0.7203788377736524,inf,inf,inf,,,
Static L/S 20bp,static_net_20bp,32,2023-07-31,2026-02-27,0.17935064214250662,0.11404507286458124,1.5117055552806606,1.0939628349530466,1.5726960020290597,2.280382748391301,-0.07864935930997978,2,-0.5996815586111078,0.34789927128657494,0.06704782761519992,0.07864935930997977,0.6875,0.07285240574044777,-0.07864935930997977,1.1568163470678183,0.6740138206510071,0.010255662683316456,2.6519327053375936,0.35375240417150045,0.35375240417150045,1.77067626705667,0.9857462999256339,0.9286496995590394,0.7707696142387191,inf,inf,,inf,,
Bandit L/S 20bp,bandit_net_20bp,32,2023-07-31,2026-02-27,0.15456494132428578,0.12294326172116554,1.2359377280512762,0.8488726653077594,1.0732806799184855,1.9338988914793176,-0.07992400326888485,5,-0.7181650614135532,0.441723133519206,0.07446620273724125,0.07864935930997977,0.6875,0.07366928782844927,-0.07864935930997977,0.9140984999387475,0.6790128137201664,-0.2256811172820537,2.491215092860388,0.2199662561806061,0.2199662561806061,1.77067626705667,0.9628716608468461,0.8560848218795236,0.6333570911266586,inf,inf,,,inf,
HRP L/S 20bp,hrp_net_20bp,32,2023-07-31,2026-02-27,0.07032712172471545,0.04350889136210893,1.5875123667426918,0.4888183609766493,0.8508242700071891,2.633660736595037,-0.02670318190475771,2,-0.2540554090759295,-0.08611678879165297,0.02266087522794863,0.02670318190475775,0.625,0.029821105128540762,-0.02670318190475775,0.5172829519553388,0.6198399243859339,-0.6489494045175405,1.795971071486897,0.3874305552014739,0.3874305552014739,1.77067626705667,0.9934124838319712,0.9552669239173045,0.8205435067434672,inf,inf,,,,inf
