snapshot_date,symbol,gics_sector,sector,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,z_momentum,z_liquidity,z_risk,composite_score,composite_rank
2021-05-31,AAF.L,Communication Services,Communication Services,0.04216057952531593,0.08256906024406281,0.5106098991643485,173071317.32531324,-0.0181253496088277,3.2813544126639673,2.590774660541671,1.2922069932756952,-0.6683536626846519,-0.5507547119581494,0.7518044058201167,22
2021-05-31,AAL.L,Materials,Materials,0.01890023694208831,0.11621968063164867,0.16262509791255994,11243950980.968994,-0.04312211909360654,3.2217758297893972,102.34124303767135,-0.34788080077309924,1.1975774844119078,0.8037659135656384,-0.12996616629460564,84
2021-05-31,AAPL,Information Technology,Information Technology,-0.07347336999086551,0.0715141692061746,-1.027395980495034,11161140504.342207,-0.026054555825792088,1.8497493315348477,2.2488462413323584,-1.7152945990826929,2.6405923327511647,-0.6623138738137523,-0.36859551813663227,108
2021-05-31,ABBV,Health Care,Health Care,0.016249332855247323,0.05197637021882053,0.31262923491651357,701624046.2533633,-0.011710943212390247,1.7734780394837355,1.6643268471673316,0.38273816936328237,-0.2650466572641669,-0.7366098713620569,0.3239555444375474,46
2021-05-31,ABX.TO,Materials,Materials,0.05283538500011664,0.10955487051081406,0.4822732641074256,123441133.58872731,-0.023356335387344464,2.761987489089875,0.6897647681591591,0.005574433497900109,-0.6101322804624248,-0.5460037052446782,-0.009481054944809247,74
2021-05-31,ADI,Information Technology,Information Technology,0.028983618072044637,0.10343363991509993,0.28021461969079764,595705701.8525442,-0.03216098173660305,2.238480198080805,3.394582671989567,0.8891629603658324,-0.5623935680577906,-0.16195552738479127,0.45341016808489953,39
2021-05-31,ADM,Consumer Staples,Consumer Staples,0.11530373127646842,0.05203805653790177,2.215757830857639,171822183.03866386,-0.00877117641735907,1.4430221142759179,0.8393198991077904,1.7101325909996314,-0.5793072907174862,-0.8371399770226866,1.0776460918608188,11
2021-05-31,AEP,Utilities,Utilities,-0.009950561084167364,0.04204192284779517,-0.23668187395213794,203190722.20013937,-0.015015107103501143,1.1831622300156874,0.8555764442829558,-0.650405462342275,-0.38737402328914083,-0.6042063385535841,-0.3468768143524764,106
2021-05-31,AHT.L,Industrials,Industrials,0.09474131471924485,0.0770703635624555,1.2292833501747964,6904384393.38322,-0.016577348418243525,2.511683931470685,131.6694499501787,1.3772949269877064,3.1370737612310453,-0.5961382072844504,1.573019349895723,4
2021-05-31,ALB,Materials,Materials,-0.020461314396206354,0.15014254788334,-0.13627925384684889,150725426.04351044,-0.037451791050753816,3.567241336989509,5.617994690113931,-0.6783982848350492,-0.6056970447965154,0.41654946747521643,-0.6114882733553758,132
