date,strategy,equal_weight_universe,sp500
2021-04-30,0.0,0.0,0.05242532134755851
2021-05-31,-0.0010000000000000009,0.022264318820454987,0.05819944094979168
2021-06-30,-0.0008100724216767441,0.02119154897100617,0.08170629345361125
2021-07-31,0.006479425286585405,0.023699668702901855,0.10631300752530715
2021-08-31,0.0429207786532102,0.04952174490690342,0.13838548212227209
2021-09-30,0.003810243274767977,0.012847732718919813,0.08423343096156422
2021-10-31,0.037807890712805214,0.06944421334039008,0.15920148993203886
2021-11-30,0.023589990179180287,0.05380187820809024,0.1495410453060253
2021-12-31,0.06440701690028527,0.10839918888523514,0.19967587943604848
2022-01-31,0.06071695553871992,0.0819580030731164,0.13659072533651995
2022-02-28,0.08514819588622657,0.0688077488798442,0.10094668104881
2022-03-31,0.1210080365767614,0.08683947311128204,0.1403311641516658
2022-04-30,0.06000750603324456,0.03959938545193564,0.04003138458486677
2022-05-31,0.06513002080783004,0.05446769490095793,0.0400866910666573
2022-06-30,-0.03599163234687375,-0.048012946554655045,-0.047197383978830776
2022-07-31,0.006190221810631558,0.02982326401290969,0.039618552424123044
2022-08-31,-0.036142855206498514,-0.013390909502862147,-0.004502992295745578
2022-09-30,-0.10063560497006163,-0.08853800796629085,-0.09747810431748816
2022-10-31,-0.05324491220836991,-0.01673246009151541,-0.025399624665633946
2022-11-30,0.013249419058738887,0.07293070153017656,0.02698796537101389
2022-12-31,-0.010647695384403133,0.027340768087579237,-0.033575028803923046
2023-01-31,0.035166894124142534,0.11576324066425947,0.026104475050232168
2023-02-28,0.02013032469760323,0.09963818947260861,-0.0006896718279288949
2023-03-31,0.016377052783282497,0.0841507126347878,0.0343377666394622
2023-04-30,0.021810218358754074,0.09523376022679098,0.04948289361300473
2023-05-31,-0.008232033026778107,0.06702081220537792,0.052088074711928556
2023-06-30,0.02543219132949015,0.1162362749955832,0.12018706864400874
2023-07-31,0.046343792539289774,0.15214396867339142,0.15506849799947253
2023-08-31,0.01039293869076996,0.11335588647073225,0.13460485393035837
2023-09-30,-0.01018777651508651,0.08332178594865569,0.07932762312344366
2023-10-31,-0.04677666662090074,0.032597347724036885,0.055604337920883484
2023-11-30,0.027743756064171787,0.11432218805620353,0.1497423608997437
2023-12-31,0.07033097001980582,0.18520693867226945,0.20059458155023768
2024-01-31,0.060700546134371924,0.1702472391453611,0.21967888196349405
2024-02-29,0.11074983103743419,0.21145222290381271,0.2827614550938724
2024-03-31,0.1561348013194237,0.27924676259497905,0.3225511503533143
2024-04-30,0.1576328305616177,0.2570468260877845,0.2675130893543207
2024-05-31,0.2325634332700468,0.31589105692109065,0.3283805764373384
2024-06-30,0.2113323829867355,0.3050319681063627,0.3744352670507285
2024-07-31,0.25000937270201273,0.3387551284843391,0.3899956842508723
2024-08-31,0.28092278707631246,0.3577297278754399,0.42173582834392187
2024-09-30,0.2887759967952821,0.38622924474374676,0.45045046207643913
2024-10-31,0.2940510612247331,0.3713977264684345,0.4360957261793308
2024-11-30,0.3595383727093573,0.434411544863609,0.5183858717257119
2024-12-31,0.30496017120954044,0.3876852661108765,0.480441200698805
2025-01-31,0.36978495187652904,0.45345269048945336,0.5204372505869723
2025-02-28,0.37854943715316014,0.4620546146096314,0.4987830423198454
2025-03-31,0.3726517821759152,0.39774937197919713,0.4125360252595778
2025-04-30,0.38390295293289145,0.38481998763053515,0.40176551809238004
2025-05-31,0.46585058235199295,0.49290290826013883,0.48800749611764016
2025-06-30,0.5330438868621019,0.5835929091869823,0.5618228451043057
2025-07-31,0.5817982479762718,0.6593612014042574,0.5956621774395412
2025-08-31,0.5999719493398048,0.7290070279201317,0.6260857814593883
2025-09-30,0.7138390793831457,0.8427103159454288,0.6835251269944376
2025-10-31,0.7758384101219853,0.9351987504782115,0.721719045899281
2025-11-30,0.8250093437030883,1.0303436926899767,0.7239566232492365
2025-12-31,0.8474902055295859,1.0740675536952708,0.7230530382400706
2026-01-31,1.001082818674675,1.2089723985192142,0.7465950410856506
2026-02-28,1.106835830755061,1.37073646440105,0.7314549531471155
2026-03-31,1.0056107809168715,1.28369593081824,0.6432672930924614
2026-04-30,1.1220679716824673,1.4595177948160303,0.7677183071275873
