date,strategy,equal_weight_universe,sp500
2021-04-30,0.0,0.0,0.0
2021-05-31,-0.0010000000000000009,0.0,0.0
2021-06-30,-0.0008100724216767441,-0.0010494055497179966,0.0
2021-07-31,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0
2021-09-30,-0.03750096477025622,-0.034943546778286816,-0.047569168801901096
2021-10-31,-0.004902470106125989,0.0,0.0
2021-11-30,-0.018535241477299014,-0.01462660224551715,-0.008333706184746159
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.0034667766211381457,-0.023855291556746594,-0.052585165027393854
2022-02-28,0.0,-0.0357194776055455,-0.08229656032898636
2022-03-31,0.0,-0.019451219371277806,-0.049467290542075326
2022-04-30,-0.054415783431664866,-0.062071322428965736,-0.13307302212846728
2022-05-31,-0.04984622228005331,-0.04865710343808394,-0.13302692094168966
2022-06-30,-0.1400522242490494,-0.1411153463556759,-0.2057833016788927
2022-07-31,-0.10242372134703925,-0.07089135905210531,-0.13341714187599252
2022-08-31,-0.14018712324592597,-0.109879274190544,-0.17019502953395693
2022-09-30,-0.19771815572675056,-0.17767713909065042,-0.24769522239058828
2022-10-31,-0.15544308613277213,-0.11289402792021241,-0.18761359460480898
2022-11-30,-0.09612653433519225,-0.031999741348359145,-0.14394547479458608
2022-12-31,-0.11744405719267059,-0.07313107191929635,-0.1944282720342928
2023-01-31,-0.07657495722756213,0.0,-0.14468191564158972
2023-02-28,-0.08998839311376383,-0.014452036600570373,-0.16701640392917338
2023-03-31,-0.09333651533221121,-0.028332648789049064,-0.13781898563661166
2023-04-30,-0.08848983680877898,-0.01839949524170237,-0.12519463664939856
2023-05-31,-0.11528915528402617,-0.04368527899329533,-0.12302306585800404
2023-06-30,-0.0852588403729313,0.0,-0.06625857213150466
2023-07-31,-0.0666045573281302,0.0,-0.03718286097203627
2023-08-31,-0.09867466983000261,-0.0336660029104876,-0.05424050497395938
2023-09-30,-0.1170337846037951,-0.059734012932410985,-0.10031730934623684
2023-10-31,-0.14967306007013892,-0.10376014126689703,-0.12009205484975749
2023-11-30,-0.08319679919279799,-0.032827304265400814,-0.04162250770581288
2023-12-31,-0.045206693354053806,0.0,0.0
2024-01-31,-0.053797554053717,-0.012622014804998472,0.0
2024-02-29,-0.009150876001436048,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.0173539125963168,-0.04161507173789869
2024-05-31,0.0,0.0,0.0
2024-06-30,-0.017225117758835617,-0.008252270397015926,0.0
2024-07-31,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,-0.010699181489317033,-0.009896743303151712
2024-11-30,0.0,0.0,0.0
2024-12-31,-0.04014465688897817,-0.032575224955523785,-0.02499013704848363
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.014242092699825126
2025-03-31,-0.004278159939932302,-0.043982791058461035,-0.07096723346243905
2025-04-30,0.0,-0.05282608885285578,-0.07805105567413484
2025-05-31,0.0,0.0,-0.021329229112751924
2025-06-30,0.0,0.0,0.0
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,0.0,-0.0005241344225139777
2026-01-31,0.0,0.0,0.0
2026-02-28,0.0,0.0,-0.008668344740704326
2026-03-31,-0.048046007363521936,-0.03671455469210072,-0.05915953358539394
2026-04-30,0.0,0.0,0.0
