,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.064779,0.043829,0.056333,0.103977,0.232034,0.312341,0.45544
Portfolio Volatility,0.119319,0.105647,0.093238,0.111478,0.102977,0.097438,0.108468
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.025960999999999998,0.10194700000000001,0.076393,-0.053850999999999996,0.005136000000000002,-0.189276,0.04337200000000002
Sharpe Ratio,-0.5429059915017727,0.41486270315295276,0.604184988953002,0.9327131810760868,2.253260436796566,3.2055358279110817,4.198842054799573
