gics_sector,old_pct,new_pct,delta_pct
Communication Services,0.0,5.88,5.88
Consumer Discretionary,0.0,15.97,15.97
Consumer Staples,0.0,8.4,8.4
Energy,0.0,5.88,5.88
Financials,0.0,15.13,15.13
Health Care,0.0,10.08,10.08
Industrials,0.0,16.81,16.81
Information Technology,0.0,5.88,5.88
Materials,0.0,5.88,5.88
Real Estate,0.0,6.72,6.72
Utilities,0.0,3.36,3.36
