Metric,Point Estimate,CI Lower (95%),CI Upper (95%),P(Metric > 0)
Sharpe Ratio,0.3454523701403952,-0.8143454890729157,1.6430418691332525,0.706
Annualised Return,0.08301620169403412,-0.09806949169247343,0.29968969604256124,
Annualised Volatility,0.14982202134661154,0.1259461101148558,0.18076538970873293,
Max Drawdown,-0.21292487864766374,-0.36383087559645805,-0.0919027314762214,
