Factor,Coefficient,t-stat,p-value
Alpha (annualised),0.033301177389948346,0.4908639073589803,0.6235227060622132
Mkt-RF,0.8197851536663123,14.702602642343763,6.202904821130135e-49
SMB,0.045663303121111304,0.8716020127123818,0.3834255322965011
HML,0.5647470116236651,7.507390714818713,6.031750054652172e-14
RMW,-0.1637871340988197,-2.3483642990884936,0.01885606872544503
CMA,0.214431526989695,2.593329604688534,0.009505162701903134
