portfolio,total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,skewness,kurtosis,trading_days,benchmark_return,active_return,tracking_error,information_ratio,avg_quarterly_turnover,annual_turnover,cumulative_cost,max_turnover,min_turnover,n_rebalances,var_95,cvar_95,n_holdings,hhi,effective_n,max_position_weight,max_sector_weight,max_sector_name,n_sectors,var_99,cvar_99
combined,0.21870946094226862,0.08301620169403412,0.14982202134661152,0.34545237014039526,0.4767457253335411,-0.21292487864766374,0.3898849313489793,-0.16060065465735346,7.542806385393586,625,0.18424184562867496,-0.10122564393464084,0.10664982047800825,-0.8081145319772791,0.43058008841599965,1.7223203536639986,0.010764502210399991,0.6511627906976742,0.22185450557823383,10.0,-0.013353367259249758,-0.020632318416961393,43.0,0.023255813953488372,43.0,0.023255813953488372,0.2558139534883721,Financials,8.0,-0.023819103210422448,-0.035963258785718315
value_only,0.10857635732400128,0.04243622492493904,0.1495731002164465,0.09054908902847776,0.12179880452798816,-0.21503677319821823,0.19734403699325348,-0.47836326545827434,6.057411149922125,625,0.18424184562867496,-0.14180562070373592,0.11239239494198441,-1.1131852849148365,0.4993981297015436,1.9975925188061745,0.012484953242538592,0.8214285714285714,0.0690394432855398,10.0,-0.013882361360570635,-0.02138828519651105,28.0,0.035714285714285726,27.99999999999999,0.03571428571428572,0.28571428571428575,Financials,7.0,-0.024827618110719804,-0.03617895673834738
sentiment_only,0.30360333005646667,0.1128244267613554,0.22806977243640997,0.40960915302868695,0.48029399817972546,-0.228488312560025,0.49378642389735306,2.3452630560913414,134.611835005649,625,0.18424184562867496,-0.07141741886731956,0.15020930593440532,-0.8745666200808986,0.39195186506085955,1.5678074602434382,0.009798796626521488,0.5634067193182503,0.04575546450079955,10.0,-0.012555756940063698,-0.02494150452314704,64.0,0.015625,64.0,0.015625,0.21875,Industrials,10.0,-0.02363204713500874,-0.0574252083382318
S&P 500 (benchmark),0.5027893668887309,0.18424184562867496,0.1536834271775609,0.9218805468840398,1.2003980278136746,-0.18902206184283984,0.9747108027096894,0.6633660436017957,18.231414667154645,607,0.18424184562867496,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
MSCI World Value (IWVL.L),0.5353150245958798,0.1930799814823465,0.1391361982302736,1.0570032272278143,1.3937882508003305,-0.14458089729848558,1.3354460035182596,-0.567787618402581,4.851240833992652,612,0.19750295378867566,-0.004422972306329154,0.16826539753579198,-0.05113747686526478,,,,,,,,,,,,,,,,,
Equal-Weight Universe,1.099519811912852,0.3485863973086667,0.15107229420707294,1.7961593358693986,2.8455797703272765,-0.160548416189678,2.17122289700344,0.6184956793776732,6.465078391418276,625,0.18424184562867496,0.16434455167999173,0.08478476093563983,-0.6392436746134407,,,,,,,,,,,,,,,,,
