portfolio,total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,skewness,kurtosis,trading_days,benchmark_return,active_return,tracking_error,information_ratio,period,period_type
2023,0.05739034838780244,0.1390666358279391,0.14958186218406352,0.6823854652119437,1.335433861787939,-0.1246558765462794,1.1156043315479764,0.3707807598195328,-0.04201974031634492,108,0.09625759310107007,0.04280904272686903,0.11786382067203703,0.37942531047029854,2023,year
2024,0.13704179410507633,0.13310187254370254,0.14300178470398045,0.6709299007052182,1.0790961395061769,-0.09142696265158988,1.4558273476821877,0.048141192576436974,0.354653257098942,259,0.23309002343423724,-0.0999881508905347,0.13610467329308734,-0.5780313197036244,2024,year
2025,0.3013505089099642,0.2934032682396823,0.2070899936656079,1.1571440150199013,1.4214769999335015,-0.17452635181438508,1.681140212864399,-0.512728079192601,7.37380616320848,258,0.17475525707342454,0.11864801116625778,0.14087566315332511,0.8393149645786476,2025,year
2023-2025 (Rates Normalisation),0.564609837276645,0.1978005880895395,0.17313083465099602,0.9028886861269535,1.2536511667689862,-0.18402453719375278,1.0748598589398022,-0.28069528096528346,6.519420242173304,625,0.18424184562867496,0.013558742460864526,0.13503199665208837,0.17515358405465437,2023-2025 (Rates Normalisation),regime
Full Period,0.564609837276645,0.1978005880895395,0.17313083465099602,0.9028886861269535,1.2536511667689862,-0.18402453719375278,1.0748598589398022,-0.28069528096528346,6.519420242173304,625,0.18424184562867496,0.013558742460864526,0.13503199665208837,0.17515358405465437,Full,full
