value_weight,sentiment_weight,sharpe_ratio,annualised_return,max_drawdown,annualised_volatility
0.0,1.0,0.6216918356662422,0.1306143630766714,-0.20182737697937567,0.15335048140786625
0.05,0.95,0.3616836949005805,0.08564355277398139,-0.22601274129132942,0.1498466586968106
0.1,0.9,0.2998145647323404,0.07587516563335583,-0.22720568413403117,0.15133111410055786
0.15,0.85,0.31820401071797866,0.07907661268052846,-0.2254283276370108,0.15245462529063122
0.2,0.8,0.36149805881886604,0.08631909370373814,-0.2251142213958615,0.15288311430142346
0.25,0.75,0.2962325778970804,0.07512347814743436,-0.21733668739528886,0.15021949489060782
0.3,0.7,0.2963734570239984,0.07517347600129543,-0.21685808665362885,0.15038354004639196
0.35,0.65,0.28994819117303744,0.07416930592391746,-0.21685808665362874,0.1506025142087781
0.4,0.6,0.3318064811210404,0.08070443052486098,-0.21292487864766393,0.14931705115124025
0.45,0.55,0.34022139925715794,0.08212386941358263,-0.21292487864766427,0.14960976188665176
0.5,0.5,0.34531370511465503,0.0830235944568225,-0.21292487864766393,0.14996232052593242
0.55,0.45,0.34531370511465503,0.0830235944568225,-0.21292487864766393,0.14996232052593242
0.6,0.4,0.34545237014039526,0.08301620169403412,-0.21292487864766374,0.14982202134661152
0.65,0.35,0.34545237014039526,0.08301620169403412,-0.21292487864766374,0.14982202134661152
0.7,0.3,0.34545237014039526,0.08301620169403412,-0.21292487864766374,0.14982202134661152
0.75,0.25,0.3573684281800077,0.08504861296805477,-0.21182788506434447,0.15025442302526484
0.8,0.2,0.3647930243221297,0.08622702880900879,-0.2118278850643436,0.15011531227092131
0.85,0.15,0.3647930243221297,0.08622702880900879,-0.2118278850643436,0.15011531227092131
0.9,0.1,0.3647930243221297,0.08622702880900879,-0.2118278850643436,0.15011531227092131
0.95,0.05,0.3647930243221297,0.08622702880900879,-0.2118278850643436,0.15011531227092131
1.0,0.0,0.3647930243221297,0.08622702880900879,-0.2118278850643436,0.15011531227092131
