,v0,v1,net_flow,pnl,return_pct
Utilities,298510.0338,533126.075,1422.8302000000176,233193.21099999995,0.7774846940413971
Health Care,291539.6102,417408.297,20018.82079999999,105849.86600000004,0.3397432246023862
Consumer Staples,386748.0493,465387.6072,-15376.718799999991,94016.2767,0.24309437854997865
