,v0,v1,net_flow,pnl,return_pct
Health Care,292921.6864,388459.01190000004,-72874.15159999998,168411.47710000002,0.5749368685185885
Consumer Staples,374188.9538,386169.32050000003,-159237.21099999998,171217.5777,0.4575698346015686
Utilities,314727.2518,804608.1542,238356.1066,251524.79579999996,0.4547683309937751
