,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.049342,0.070676,0.073407,0.144697,0.309412,0.434459,0.59643
Portfolio Volatility,0.130201,0.11117,0.0987,0.115763,0.107555,0.100322,0.112606
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.041398000000000004,0.12879400000000002,0.093467,-0.013131000000000004,0.08251400000000003,-0.067158,0.18436200000000003
