window_key,window_label,market_context,versus_series,n_periods,strategy_ann_return,strategy_ann_volatility,strategy_sharpe,strategy_max_drawdown,versus_ann_return,excess_ann_return
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,SPY,7,0.1494684827883416,0.117533741013159,1.2717070136617812,-0.0459541099999999,0.1486905560987508,0.0007779266895908
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,static_baseline,7,0.1494684827883416,0.117533741013159,1.2717070136617812,-0.0459541099999999,0.086473183969391,0.0629952988189506
reopening_2021,2021 Reopening,Post-COVID reopening and policy normalization,universe_ew,7,0.1494684827883416,0.117533741013159,1.2717070136617812,-0.0459541099999999,0.0989960145524397,0.0504724682359019
bear_2022,2022 Bear,Rates and growth drawdown,SPY,12,0.0149270934352836,0.1979815329311053,0.0753963928568936,-0.1713080136017922,-0.0820322745611484,0.0969593679964321
bear_2022,2022 Bear,Rates and growth drawdown,static_baseline,12,0.0149270934352836,0.1979815329311053,0.0753963928568936,-0.1713080136017922,0.0100275453930878,0.0048995480421958
bear_2022,2022 Bear,Rates and growth drawdown,universe_ew,12,0.0149270934352836,0.1979815329311053,0.0753963928568936,-0.1713080136017922,-0.0148880810370691,0.0298151744723528
recovery_2023,2023 Recovery,Post-drawdown recovery,SPY,12,0.0542934635627341,0.1840281542013532,0.2950280287185257,-0.0948888925981829,0.1446985322794078,-0.0904050687166737
recovery_2023,2023 Recovery,Post-drawdown recovery,static_baseline,12,0.0542934635627341,0.1840281542013532,0.2950280287185257,-0.0948888925981829,-0.022637149375412,0.0769306129381461
recovery_2023,2023 Recovery,Post-drawdown recovery,universe_ew,12,0.0542934635627341,0.1840281542013532,0.2950280287185257,-0.0948888925981829,0.060935463919153,-0.0066420003564189
bull_2024,2024 Bull,AI-led bull market,SPY,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.0496613,0.3325910485697203,0.0281541314401791
bull_2024,2024 Bull,AI-led bull market,static_baseline,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.0496613,0.3043276383532802,0.0564175416566192
bull_2024,2024 Bull,AI-led bull market,universe_ew,12,0.3607451800098995,0.1361532432910209,2.649552601834275,-0.0496613,0.2750325138530958,0.0857126661568037
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,SPY,16,0.0759214295823058,0.1432587659179539,0.529960097700318,-0.0765312215426917,0.0777242740802646,-0.0018028444979587
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,static_baseline,16,0.0759214295823058,0.1432587659179539,0.529960097700318,-0.0765312215426917,0.0458070941727384,0.0301143354095674
recent_2025_2026,2025-2026 Recent,Recent formal-run holding periods,universe_ew,16,0.0759214295823058,0.1432587659179539,0.529960097700318,-0.0765312215426917,0.0761751821909748,-0.000253752608669
