method,scenario_key,description,classification,requirement_section,path_count,annualized_return_p05,annualized_return_p50,annualized_return_p95,annualized_volatility_p50,sharpe_p05,sharpe_p50,sharpe_p95,max_drawdown_p05,max_drawdown_p50,max_drawdown_p95,positive_return_probability,positive_sharpe_probability,annualized_excess_return_p50
bootstrap,stationary_block_e6m,Stationary block bootstrap on monthly return records from the quarterly-rebalanced strategy and benchmark with expected block length 6 periods.,core,Part 4 - Stochastic Robustness,2000,0.0327318828970279,0.1251000701960073,0.2230873652744486,0.1603620239052533,0.2031732806589255,0.7880017361747255,1.4811055617722042,-0.2500821842273206,-0.1550307622423204,-0.1008669291942772,0.9895,0.9895,0.0161081979177439
monte_carlo,garch_base,"Univariate GARCH(1,1) Monte Carlo calibrated on monthly net returns from the quarterly-rebalanced strategy.",core,Part 4 - Stochastic Robustness,2000,-0.0063414614473039,0.1244243384083223,0.2634660535029845,0.1584216261864199,-0.0407483098312433,0.7876954491784518,1.7239032924886128,-0.3612422272863951,-0.1869379796813259,-0.0955723923600285,0.9375,0.9375,
monte_carlo,garch_stress_1_5xvol,Moderate stress Monte Carlo with 1.5x conditional volatility on top of the calibrated GARCH path.,core,Part 4 - Stochastic Robustness,2000,-0.1888252632872671,0.0775771932809598,0.3878956381154572,0.3188782885261333,-0.4967866222331673,0.2500833757163337,1.2829431427894031,-0.7961371868966518,-0.4537347784805978,-0.2188049267541766,0.6885,0.6885,
monte_carlo,garch_stress_2xvol,Severe stress Monte Carlo with 2x conditional volatility on top of the calibrated GARCH path.,stress_only,Part 4 - Stochastic Robustness,2000,-0.9837635774192948,-0.3103907044456782,0.4687660712333672,0.9092249685963238,-0.7150655963657742,-0.3136656446694054,0.6625303580173981,-0.9999999995876924,-0.9584144099567208,-0.5068186078561963,0.2505,0.2505,
