,v0,v1,net_flow,pnl,return_pct
Health Care,292921.6864,388459.01190000004,-72910.81419999998,168448.1397,0.5750620302997136
Consumer Staples,374188.9538,386173.78630000004,-159232.604,171217.4365,0.4575694572521077
Utilities,314727.2518,804646.3542,238398.1686,251520.9337999999,0.454726766341907
