,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.064501,0.04416,0.056841,0.104642,0.232584,0.31222,0.45601
Portfolio Volatility,0.119358,0.105633,0.093253,0.111501,0.103044,0.097491,0.108493
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.026239,0.10227800000000001,0.076901,-0.053186,0.005686000000000024,-0.18939699999999998,0.04394200000000004
Sharpe Ratio,-0.5403994705005111,0.4180511771889466,0.6095353500691667,0.938484856638057,2.257132875276581,3.202552030443836,4.203128312425687
