date,gross_return,turnover,transaction_cost,strategy_return,equity_curve,equal_weight_universe,sp500,net_return,gross_return_cumulative_return,gross_return_drawdown,strategy_return_cumulative_return,strategy_return_drawdown,equal_weight_universe_cumulative_return,equal_weight_universe_drawdown,sp500_cumulative_return,sp500_drawdown,net_return_cumulative_return,net_return_drawdown
2021-04-30,0.0,0.0,0.0,0.0,1.0,,0.05242532134755851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05242532134755851,0.0,0.0,0.0
2021-05-31,0.0,1.0,0.001,-0.001,0.999,0.022264318820455063,0.00548648867060697,-0.001,0.0,0.0,-0.0010000000000000009,-0.0010000000000000009,0.022264318820454987,0.0,0.05819944094979168,0.0,-0.0010000000000000009,-0.0010000000000000009
2021-06-30,0.0015234510293525296,1.3333333333333335,0.0013333333333333335,0.00019011769601919612,0.9991899275783233,-0.0010494055497180176,0.022214009565834747,0.00019011769601919612,0.001523451029352474,0.0,-0.0008100724216767441,-0.0008100724216767441,0.02119154897100617,-0.0010494055497179966,0.08170629345361125,0.0,-0.0008100724216767441,-0.0008100724216767441
2021-07-31,0.00856207418336288,1.2666666666666668,0.0012666666666666668,0.007295407516696213,1.0064794252865854,0.002456071766773787,0.02274805482838871,0.007295407516696213,0.010098569113443423,0.0,0.006479425286585405,0.0,0.023699668702901855,0.0,0.10631300752530715,0.0,0.006479425286585405,0.0
2021-08-31,0.0372067544065777,1.0,0.001,0.036206754406577696,1.0429207786532102,0.02522426937650569,0.028990416255438634,0.036206754406577696,0.04768105850088289,0.0,0.0429207786532102,0.0,0.04952174490690342,0.0,0.13838548212227209,0.0,0.0429207786532102,0.0
2021-09-30,-0.03596763143692283,1.5333333333333339,0.0015333333333333338,-0.03750096477025616,1.003810243274768,-0.03494354677828695,-0.047569168801901096,-0.03750096477025616,0.009998452325277851,-0.03596763143692294,0.003810243274767977,-0.03750096477025622,0.012847732718919813,-0.034943546778286816,0.08423343096156422,-0.047569168801901096,0.003810243274767977,-0.03750096477025622
2021-10-31,0.0353352664999632,1.466666666666667,0.0014666666666666671,0.033868599833296535,1.0378078907128052,0.055878567718704406,0.0691438364006065,0.033868599833296535,0.0456870168027419,-0.0019032907791558529,0.037807890712805214,-0.004902470106125989,0.06944421334039008,0.0,0.15920148993203886,0.0,0.037807890712805214,-0.004902470106125989
2021-11-30,-0.012433268225772415,1.2666666666666668,0.0012666666666666668,-0.013699934892439081,1.0235899901791803,-0.014626602245517005,-0.008333706184746159,-0.013699934892439081,0.03268570964262563,-0.01431289488015941,0.023589990179180287,-0.018535241477299014,0.05380187820809024,-0.01462660224551715,0.1495410453060253,-0.008333706184746159,0.023589990179180287,-0.018535241477299014
2021-12-31,0.04147634415412747,1.6000000000000005,0.0016000000000000005,0.039876344154127476,1.0644070169002853,0.05180984377251588,0.04361291346206486,0.039876344154127476,0.07551773753881252,0.0,0.06440701690028527,0.0,0.10839918888523514,0.0,0.19967587943604848,0.0,0.06440701690028527,0.0
2022-01-31,-0.002066776621138228,1.4000000000000001,0.0014000000000000002,-0.003466776621138228,1.06071695553872,-0.023855291556746757,-0.052585165027393854,-0.003466776621138228,0.07329488262324779,-0.0020667766211383,0.06071695553871992,-0.0034667766211381457,0.0819580030731164,-0.023855291556746594,0.13659072533651995,-0.052585165027393854,0.06071695553871992,-0.0034667766211381457
