snapshot_date,symbol,gics_sector,sector,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,z_momentum,z_liquidity,z_risk,composite_score,composite_rank,history_rows,selection_score,selection_rank,weight,weighting_method,rebalance_date,signal_date
2021-05-31,TGT,Consumer Discretionary,Consumer Discretionary,0.11799387661544802,0.08348539738180667,1.413347487295563,690705724.1621019,-0.021770464144299596,1.8539821009406092,3.6496156486845783,2.829179867788927,-0.29427355275509004,-0.9186642344041915,1.8223860570031765,1,25,1.8223860570031765,1,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,MPC,Energy,Energy,0.17116941205853298,0.07001476007242209,2.444761817100826,475345251.5042464,-0.01290465354086618,2.2161804602258957,1.2210256176771448,2.203929187642053,-0.44231713286008284,-2.143325342060553,1.662559154425326,2,25,1.662559154425326,2,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,NG.L,Utilities,Utilities,0.05566661930746353,0.052040042416237185,1.0696882001405672,5640850693.990089,-0.012767382880564605,1.622913096220265,15.382352479218175,1.268882916041189,2.912679027120821,-1.2083148200749239,1.5855285190638624,3,25,1.5855285190638624,3,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,AHT.L,Industrials,Industrials,0.09474131471924485,0.0770703635624555,1.2292833501747964,6904384393.38322,-0.016577348418243525,2.511683931470685,131.6694499501787,1.3772949269877064,3.1370737612310453,-0.5961382072844504,1.573019349895723,4,24,1.573019349895723,4,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,AZN.L,Health Care,Health Care,0.056706513381608925,0.061772857576902464,0.9179842993504659,19554810044.33797,-0.011200841420526,2.972350856555681,236.26219885988428,1.1784681365954826,3.491273627415391,-0.7928574427501208,1.563907095990392,5,25,1.563907095990392,5,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,IMI.L,Industrials,Industrials,0.09600522372022402,0.05533435779020754,1.7350020413034226,1541966199.880061,-0.012001273060095363,1.9955317147417513,33.91624654080086,2.060268455582735,0.176415310177491,-1.1224440006237413,1.4959329355098874,6,25,1.4959329355098874,6,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,LLOY.L,Financials,Financials,0.16064348617000612,0.07361371311813326,2.1822494663760525,9866837809.987684,-0.013420009824156164,2.607850159591475,1.295090020419079,1.4280380384441236,2.175431215471938,-0.6028249104256017,1.4124740482459823,7,24,1.4124740482459823,7,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,BA.L,Industrials,Industrials,0.060405558604672116,0.05242188507528871,1.1522965745683735,3789186099.9229507,-0.011786394799897973,1.7128611206975077,9.040016607279108,1.2733242201235242,1.417133648127794,-1.1471576830597576,1.276852798311625,8,25,1.276852798311625,8,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,UU.L,Utilities,Utilities,0.0689290100054274,0.05543218541595111,1.243483537374524,1343708074.8032532,-0.011821084948151678,1.9540570435470317,19.653322293858285,1.524218963295665,0.3047927889112284,-1.4626461126700196,1.2680191582936486,9,25,1.2680191582936486,9,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,LLY,Health Care,Health Care,0.07158764722925515,0.05374959587859613,1.331873218004275,597129386.0809962,-0.008989850927768366,1.919858978644966,3.664303791383896,1.7225187855912496,-0.28586623713178383,-1.036657499058906,1.183669523740174,10,25,1.183669523740174,10,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
2021-05-31,ADM,Consumer Staples,Consumer Staples,0.11530373127646842,0.05203805653790177,2.215757830857639,171822183.03866386,-0.00877117641735907,1.4430221142759179,0.8393198991077904,1.7101325909996314,-0.5793072907174862,-0.8371399770226866,1.0776460918608188,11,26,1.0776460918608188,11,0.03333333333333333,equal_weight,2021-05-31,2021-05-31
