date,gross_return,turnover,transaction_cost,strategy_return,equity_curve
2021-04-30,0.0,0.0,0.0,0.0,1.0
2021-05-31,0.0,1.0,0.001,-0.001,0.999
2021-06-30,0.0015234510293525296,1.3333333333333335,0.0013333333333333335,0.00019011769601919612,0.9991899275783233
2021-07-31,0.00856207418336288,1.2666666666666668,0.0012666666666666668,0.007295407516696213,1.0064794252865854
2021-08-31,0.0372067544065777,1.0,0.001,0.036206754406577696,1.0429207786532102
2021-09-30,-0.03596763143692283,1.5333333333333339,0.0015333333333333338,-0.03750096477025616,1.003810243274768
2021-10-31,0.0353352664999632,1.466666666666667,0.0014666666666666671,0.033868599833296535,1.0378078907128052
2021-11-30,-0.012433268225772415,1.2666666666666668,0.0012666666666666668,-0.013699934892439081,1.0235899901791803
2021-12-31,0.04147634415412747,1.6000000000000005,0.0016000000000000005,0.039876344154127476,1.0644070169002853
2022-01-31,-0.002066776621138228,1.4000000000000001,0.0014000000000000002,-0.003466776621138228,1.06071695553872
2022-02-28,0.023966094542565184,0.9333333333333333,0.0009333333333333333,0.02303276120923185,1.0851481958862266
2022-03-31,0.03444603078775665,1.4000000000000001,0.0014000000000000002,0.03304603078775665,1.1210080365767614
2022-04-30,-0.05268245009833139,1.7333333333333332,0.0017333333333333333,-0.05441578343166473,1.0600075060332446
2022-05-31,0.0060991935548534645,1.2666666666666668,0.0012666666666666668,0.004832526888186798,1.06513002080783
2022-06-30,-0.09347165182895671,1.466666666666667,0.0014666666666666671,-0.09493831849562338,0.9640083676531263
2022-07-31,0.04542339697409853,1.6666666666666672,0.0016666666666666672,0.04375673030743186,1.0061902218106316
2022-08-31,-0.04060597138874208,1.466666666666667,0.0014666666666666671,-0.04207263805540874,0.9638571447935015
2022-09-30,-0.06537777492781897,1.5333333333333339,0.0015333333333333338,-0.0669111082611523,0.8993643950299384
2022-10-31,0.05442687226325088,1.7333333333333332,0.0017333333333333333,0.052693538929917544,0.9467550877916301
2022-11-30,0.07176726407693396,1.5333333333333339,0.0015333333333333338,0.07023393074360063,1.0132494190587389
2022-12-31,-0.022584631773429897,1.0,0.001,-0.023584631773429898,0.9893523046155969
2023-01-31,0.0479076593593689,1.6000000000000005,0.0016000000000000005,0.046307659359368904,1.0351668941241425
2023-02-28,-0.01312574412096295,1.4000000000000001,0.0014000000000000002,-0.01452574412096295,1.0201303246976032
2023-03-31,-0.002079208257467674,1.6000000000000005,0.0016000000000000005,-0.0036792082574676746,1.0163770527832825
2023-04-30,0.006612286740037155,1.2666666666666668,0.0012666666666666668,0.005345620073370488,1.021810218358754
2023-05-31,-0.028001008960143705,1.4000000000000001,0.0014000000000000002,-0.029401008960143707,0.9917679669732219
2023-06-30,0.035410316267498396,1.466666666666667,0.0014666666666666671,0.03394364960083173,1.0254321913294902
2023-07-31,0.02199296346127726,1.6000000000000005,0.0016000000000000005,0.02039296346127726,1.0463437925392898
2023-08-31,-0.032691881742430734,1.6666666666666672,0.0016666666666666672,-0.034358548409097404,1.01039293869077
2023-09-30,-0.019035687883822205,1.3333333333333335,0.0013333333333333335,-0.020369021217155538,0.9898122234849135
2023-10-31,-0.035498819551509825,1.466666666666667,0.0014666666666666671,-0.03696548621817649,0.9532233333790993
2023-11-30,0.07944396266392648,1.2666666666666668,0.0012666666666666668,0.07817729599725981,1.0277437560641718
2023-12-31,0.04290424651509633,1.466666666666667,0.0014666666666666671,0.04143757984842966,1.0703309700198058
2024-01-31,-0.007597613032962816,1.4000000000000001,0.0014000000000000002,-0.008997613032962816,1.060700546134372
2024-02-29,0.048251788881850326,1.0666666666666669,0.001066666666666667,0.04718512221518366,1.1107498310374342
2024-03-31,0.04239309222215544,1.5333333333333339,0.0015333333333333338,0.04085975888882211,1.1561348013194237
2024-04-30,0.0025623886192317064,1.2666666666666668,0.0012666666666666668,0.0012957219525650395,1.1576328305616177
2024-05-31,0.06586076739554542,1.1333333333333337,0.0011333333333333338,0.06472743406221208,1.2325634332700468
2024-06-30,-0.015758451092168897,1.466666666666667,0.0014666666666666671,-0.017225117758835565,1.2113323829867355
2024-07-31,0.03346262892428641,1.5333333333333339,0.0015333333333333338,0.03192929559095308,1.2500093727020127
2024-08-31,0.02606387939914213,1.3333333333333335,0.0013333333333333335,0.0247305460658088,1.2809227870763125
2024-09-30,0.00759756682567971,1.466666666666667,0.0014666666666666671,0.006130900159013043,1.288775996795282
2024-10-31,0.005359747576435474,1.2666666666666668,0.0012666666666666668,0.004093080909768807,1.2940510612247331
2024-11-30,0.05173976877232198,1.1333333333333337,0.0011333333333333338,0.05060643543898865,1.3595383727093573
2024-12-31,-0.03854465688897818,1.6000000000000005,0.0016000000000000005,-0.04014465688897818,1.3049601712095404
2025-01-31,0.051009010872904326,1.3333333333333335,0.0013333333333333335,0.04967567753957099,1.369784951876529
2025-02-28,0.00793177220114544,1.5333333333333339,0.0015333333333333338,0.006398438867812107,1.3785494371531601
2025-03-31,-0.0030114932732656554,1.2666666666666668,0.0012666666666666668,-0.004278159939932322,1.3726517821759152
2025-04-30,0.009396667868045145,1.2,0.0012,0.008196667868045146,1.3839029529328915
2025-05-31,0.06061486708690858,1.4000000000000001,0.0014000000000000002,0.05921486708690858,1.465850582351993
2025-06-30,0.04717245590085688,1.3333333333333335,0.0013333333333333335,0.045839122567523545,1.533043886862102
2025-07-31,0.03340232577291856,1.6000000000000005,0.0016000000000000005,0.03180232577291856,1.5817982479762718
2025-08-31,0.012822599671050015,1.3333333333333335,0.0013333333333333335,0.01148926633771668,1.5999719493398048
2025-09-30,0.07250153730736283,1.3333333333333335,0.0013333333333333335,0.0711682039740295,1.7138390793831457
2025-10-31,0.03784236804065715,1.6666666666666672,0.0016666666666666672,0.03617570137399048,1.7758384101219853
