date,strategy_return,rolling_12m_return,rolling_12m_volatility,rolling_12m_sharpe
2021-04-30,0.0,,,0.0
2021-05-31,-0.001,,,0.0
2021-06-30,0.00019011769601919612,,,0.0
2021-07-31,0.007295407516696213,,,0.0
2021-08-31,0.036206754406577696,,,0.0
2021-09-30,-0.03750096477025616,,,0.0
2021-10-31,0.033868599833296535,,,0.0
2021-11-30,-0.013699934892439081,,,0.0
2021-12-31,0.039876344154127476,,,0.0
2022-01-31,-0.003466776621138228,,,0.0
2022-02-28,0.02303276120923185,,,0.0
2022-03-31,0.03304603078775665,0.1210080365767614,0.08206616724617971,1.4745179485934197
2022-04-30,-0.05441578343166473,0.06000750603324456,0.10422043319242351,0.5757748667428002
2022-05-31,0.004832526888186798,0.06619621702485512,0.10399963413002555,0.636504325987275
2022-06-30,-0.09493831849562338,-0.03521008264211045,0.144996200458547,-0.24283451932367478
2022-07-31,0.04375673030743186,-0.0002873416670902129,0.15200377310894647,-0.0018903587800038688
2022-08-31,-0.04207263805540874,-0.07580981746457138,0.15231495272391862,-0.4977174998831659
2022-09-30,-0.0669111082611523,-0.10404939473828423,0.16158352312129023,-0.6439356731947299
2022-10-31,0.052693538929917544,-0.08773570112155982,0.16788984906070828,-0.522578950498877
2022-11-30,0.07023393074360063,-0.010102258931460661,0.18416691162749008,-0.05485382168917647
2022-12-31,-0.023584631773429898,-0.07051316939196739,0.18024662664314833,-0.3912038228131122
2023-01-31,0.046307659359368904,-0.024087539358320753,0.18738431262696312,-0.12854618948958244
2023-02-28,-0.01452574412096295,-0.05991612153538517,0.18596053573145022,-0.32219804755731285
2023-03-31,-0.0036792082574676746,-0.09333651533221088,0.1815979654244689,-0.5139733537985691
2023-04-30,0.005345620073370488,-0.03603492188223445,0.1742077326521176,-0.20685030069356353
2023-05-31,-0.029401008960143707,-0.06887614882825999,0.17612216116138127,-0.39107031377583745
2023-06-30,0.03394364960083173,0.0637171063420332,0.14920999488749476,0.42702974683483025
2023-07-31,0.02039296346127726,0.039906540391937195,0.14451738281560608,0.2761366114888415
2023-08-31,-0.034358548409097404,0.048280799855707324,0.1420151482737918,0.33996936553998097
2023-09-30,-0.020369021217155538,0.10056861151587437,0.12272789694965776,0.8194437777836853
2023-10-31,-0.03696548621817649,0.006832015661576429,0.12029979065067643,0.056791583963891244
2023-11-30,0.07817729599725981,0.014304806627866151,0.1254316264715293,0.11404465548497915
2023-12-31,0.04143757984842966,0.08185018120079346,0.12791985647918444,0.6398551675526027
2024-01-31,-0.008997613032962816,0.024666217742438157,0.12125282834443386,0.20342797837565219
2024-02-29,0.04718512221518366,0.08883130335988554,0.1273062272861894,0.6977765758480085
2024-03-31,0.04085975888882211,0.13750580864987438,0.13069922992724015,1.0520781853605674
2024-04-30,0.0012957219525650395,0.1329235211808939,0.13096762699396655,1.0149341805438488
2024-05-31,0.06472743406221208,0.24279415580612995,0.13302231879185628,1.8252136785108726
2024-06-30,-0.017225117758835565,0.1812895998673718,0.13652330547814542,1.3279022159069578
2024-07-31,0.03192929559095308,0.19464499298883697,0.13753361779357126,1.4152539292683048
2024-08-31,0.0247305460658088,0.26774716847891367,0.12633663280581628,2.1193153761700314
2024-09-30,0.006130900159013043,0.3020408984825249,0.11956772299998837,2.526107304749412
2024-10-31,0.004093080909768807,0.3575528587171981,0.10310510743857138,3.467848175515682
2024-11-30,0.05060643543898865,0.3228378812203345,0.09090578162466892,3.5513459699765306
2024-12-31,-0.04014465688897818,0.21921182116723492,0.10861619067701551,2.0182241689831493
2025-01-31,0.04967567753957099,0.29139648024938536,0.10908371677416026,2.6713105206405228
2025-02-28,0.006398438867812107,0.24109803902972726,0.10639831616601145,2.265994873955958
2025-03-31,-0.004278159939932322,0.18727658799769187,0.10566374168785286,1.7723827020146234
2025-04-30,0.008196667868045146,0.19545931697661012,0.10492232663712708,1.8628953745240935
2025-05-31,0.05921486708690858,0.1892698929604173,0.10220490176911852,1.8518670796042553
2025-06-30,0.045839122567523545,0.2655848290641205,0.09998320026516366,2.6562945410805785
2025-07-31,0.03180232577291856,0.26542910998904423,0.09996702940519325,2.6551665240865434
2025-08-31,0.01148926633771668,0.24907759115732264,0.1001874556265625,2.4861155480954764
2025-09-30,0.0711682039740295,0.32981921113121326,0.11148609346190962,2.958388807873149
2025-10-31,0.03617570137399048,0.3723093804670061,0.10967968625581766,3.3945153672178563
2025-11-30,0.02768885575446315,0.3423742796359004,0.10669308070240248,3.208964230687838
2025-12-31,0.012318217385606511,0.4157445156484627,0.08153676662859699,5.098859481909486
2026-01-31,0.08313581998182305,0.46087370571074193,0.09607524713845136,4.797007756291167
2026-02-28,0.05284789369708688,0.528299075806729,0.09354114427239292,5.647772217413931
2026-03-31,-0.048046007363521874,0.4611213178462463,0.12058403860135483,3.8240659642416834
2026-04-30,0.05806569842646991,0.5333936293619364,0.11986034136738771,4.450126065693528
