date,equity_curve
2021-04-30,1.0
2021-05-31,0.999
2021-06-30,0.9991899275783233
2021-07-31,1.0064794252865854
2021-08-31,1.0429207786532102
2021-09-30,1.003810243274768
2021-10-31,1.0378078907128052
2021-11-30,1.0235899901791803
2021-12-31,1.0644070169002853
2022-01-31,1.06071695553872
2022-02-28,1.0851481958862266
2022-03-31,1.1210080365767614
2022-04-30,1.0600075060332446
2022-05-31,1.06513002080783
2022-06-30,0.9640083676531263
2022-07-31,1.0061902218106316
2022-08-31,0.9638571447935015
2022-09-30,0.8993643950299384
2022-10-31,0.9467550877916301
2022-11-30,1.0132494190587389
2022-12-31,0.9893523046155969
2023-01-31,1.0351668941241425
2023-02-28,1.0201303246976032
2023-03-31,1.0163770527832825
2023-04-30,1.021810218358754
2023-05-31,0.9917679669732219
2023-06-30,1.0254321913294902
2023-07-31,1.0463437925392898
2023-08-31,1.01039293869077
2023-09-30,0.9898122234849135
2023-10-31,0.9532233333790993
2023-11-30,1.0277437560641718
2023-12-31,1.0703309700198058
2024-01-31,1.060700546134372
2024-02-29,1.1107498310374342
2024-03-31,1.1561348013194237
2024-04-30,1.1576328305616177
2024-05-31,1.2325634332700468
2024-06-30,1.2113323829867355
2024-07-31,1.2500093727020127
2024-08-31,1.2809227870763125
2024-09-30,1.288775996795282
2024-10-31,1.2940510612247331
2024-11-30,1.3595383727093573
2024-12-31,1.3049601712095404
2025-01-31,1.369784951876529
2025-02-28,1.3785494371531601
2025-03-31,1.3726517821759152
2025-04-30,1.3839029529328915
2025-05-31,1.465850582351993
2025-06-30,1.533043886862102
2025-07-31,1.5817982479762718
2025-08-31,1.5999719493398048
2025-09-30,1.7138390793831457
2025-10-31,1.7758384101219853
2025-11-30,1.8250093437030883
2025-12-31,1.8474902055295859
2026-01-31,2.001082818674675
2026-02-28,2.106835830755061
2026-03-31,2.0056107809168715
2026-04-30,2.1220679716824673
