close_price,price_date,symbol,addv_20d,adv_20d,ma200,ma200_20d_roc,risk_adj_mom_12m,positive_ret_pct_60d,max_drawdown_1y,vol_60d,historical_var_95_1m,ntm_eps,price_above_ma200,forward_earning_yields,rar_rank,stability_rank,momentum_score,var_pct,gics_sector
73.03,2026-03-16,LNT,219516947.45,3069915,65.8732,0.02035,0.980752,0.633333,-0.109782,0.147601,476.4175,3.49,True,0.04778858003560181,0.7194244604316546,0.9388489208633094,0.7852517985611511,0.047641750000000004,Utilities
77.05,2026-03-16,MNST,557168417.85,6877540,71.9222,0.027965,1.874428,0.583333,-0.12751,0.214084,598.539,2.36,True,0.03062946138870863,0.9640287769784173,0.7697841726618705,0.9057553956834532,0.0598539,Consumer Staples
67.53,2026-03-16,MO,561950409.5,8281125,61.0434,0.026574,0.859825,0.566667,-0.16397,0.237467,1056.6985,5.65,True,0.0836665185843329,0.6546762589928058,0.7158273381294964,0.673021582733813,0.10566985,Consumer Staples
115.43,2026-03-16,MRK,1174040967.97,9861900,99.328,0.047256,1.121631,0.566667,-0.280298,0.238245,1093.2805,6.39,True,0.05535822576453261,0.7697841726618705,0.7158273381294964,0.7535971223021581,0.10932805000000001,Health Care
92.82,2026-03-16,NEE,981761689.9,10627265,81.1149,0.032833,1.322204,0.633333,-0.178363,0.194209,678.244,4.07,True,0.04384830855419091,0.8489208633093526,0.9388489208633094,0.8758992805755397,0.0678244,Utilities
47.47,2026-03-16,NI,182800169.2,3914765,42.5,0.023325,1.174327,0.633333,-0.099928,0.15565,453.4815,2.09,True,0.04402780703602275,0.7913669064748201,0.9388489208633094,0.8356115107913669,0.04534815,Utilities
84.88,2026-03-16,PEG,233451809.9,2774495,81.0807,0.008707,0.471258,0.55,-0.171688,0.174429,591.2495,4.44,True,0.0523091423185674,0.4676258992805755,0.6402877697841727,0.5194244604316547,0.05912495,Utilities
157.72,2026-03-16,PEP,1061300998.51,6504110,147.4314,0.024475,0.687007,0.516667,-0.221393,0.218433,916.1855,8.67,True,0.05497083439005833,0.5827338129496403,0.4784172661870504,0.5514388489208633,0.09161855,Consumer Staples
26.61,2026-03-16,PFE,1010869860.3,37460185,25.0061,0.018541,0.668847,0.516667,-0.206558,0.210178,1218.4545,2.94,True,0.1104847801578354,0.5683453237410072,0.4784172661870504,0.5413669064748201,0.12184545000000001,Health Care
174.78,2026-03-16,PM,925574073.75,5187275,164.677,0.020497,0.997813,0.583333,-0.206364,0.262882,803.5295,8.66,True,0.04954800320402792,0.7266187050359713,0.7697841726618705,0.7395683453237409,0.08035294999999999,Consumer Staples
38.74,2026-03-16,PPL,424281208.69,11245080,35.5842,0.015059,0.52964,0.6,-0.116911,0.176382,569.292,1.98,True,0.05110996386164171,0.49640287769784175,0.8237410071942446,0.5946043165467625,0.056929200000000006,Utilities
99.11,2026-03-16,SO,669364023.9,6985235,90.3077,0.015532,0.319511,0.616667,-0.149903,0.177255,653.722,4.65,True,0.04691756634042983,0.38848920863309355,0.8848920863309353,0.537410071942446,0.06537219999999999,Utilities
95.94,2026-03-16,SRE,326213882.8,3466095,86.9439,0.019299,1.722268,0.65,-0.316207,0.200463,507.7955,5.24,True,0.0546174692516156,0.920863309352518,0.9712230215827338,0.9359712230215826,0.05077955,Utilities
84.52,2026-03-16,SYY,281331978.6,3209525,78.8423,0.026107,0.850433,0.483333,-0.157058,0.282963,630.9155,4.92,True,0.05821107430194037,0.6330935251798561,0.2841726618705036,0.5284172661870503,0.06309155,Consumer Staples
61.83,2026-03-16,TSN,204634776.42,3280630,57.7369,0.01855,0.366812,0.55,-0.192825,0.219243,822.898,4.19,True,0.06776645641274463,0.41007194244604317,0.6402877697841727,0.479136690647482,0.0822898,Consumer Staples
117.9,2026-03-16,WEC,244522609.7,2113740,108.574,0.015365,0.792322,0.616667,-0.112224,0.134155,549.21,5.69,True,0.04826123833757422,0.6187050359712231,0.8848920863309353,0.6985611510791367,0.054921000000000005,Utilities
125.99,2026-03-16,WMT,3001790190.05,23877545,110.9313,0.031721,1.863011,0.5,-0.21928,0.251166,713.3175,2.93,True,0.023255813953488375,0.9424460431654677,0.3776978417266187,0.7730215827338129,0.07133175,Consumer Staples
81.63,2026-03-16,XEL,372904485.47,4563935,75.2404,0.020194,1.055385,0.55,-0.114968,0.162968,737.8415,4.19,True,0.05132916819796644,0.7338129496402878,0.6402877697841727,0.7057553956834532,0.07378414999999999,Utilities
