,1-month,3-months,6-months,1-year,2-years,3-years,5-years,Total
Portfolio Return,-0.024434,0.033606,0.047463,0.152167,0.26073,0.28886,0.453714,0.45601
Portfolio Volatility,0.112954,0.105066,0.094301,0.102768,0.103113,0.097385,0.108571,0.108493
Benchmark Return,-0.033994,-0.03389,-3e-05,0.299481,0.279031,0.539671,0.45955,0.45955
Benchmark Volatility,0.169638,0.129936,0.118561,0.123596,0.128119,0.119578,0.137012,0.137061
Alpha,0.009560000000000003,0.067496,0.047493,-0.147314,-0.018300999999999956,-0.250811,-0.005836000000000008,-0.0035399999999999876
