,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,110.0,14850.979846153847,135.0089,133.2169,14653.859,-197.1208,-0.01327299999999998,1.0
1,ABF.L,GBp,1240.0,30392.7241,24.5103,1964.7717,29631.6822,-761.0419,-0.02504200000000001,82.22
2,ADM,USD,393.0,30055.85054608076,76.478,65.1028,25585.4004,-4470.4501,-0.14873800000000004,1.0
3,AMGN,USD,63.0,13596.401699999999,215.8159,252.1069,15882.7347,2286.333,0.1681569999999999,1.0
4,ATO,USD,238.0,23383.56,98.2503,101.9243,24257.9834,874.4234,0.03739399999999993,1.0
5,BDX,USD,68.0,12730.897474999998,187.2191,191.3746,13013.4728,282.5753,0.022196000000000105,1.0
6,BSX,USD,279.0,13440.142634523696,48.1726,49.99,13947.21,507.0674,0.037727000000000066,1.0
7,CAH,USD,194.0,12159.197543008191,62.6763,90.0062,17461.2028,5302.0053,0.436048,1.0
8,CHD,USD,315.0,28846.14663884297,91.5751,89.5402,28205.163,-640.9836,-0.022221000000000046,1.0
9,CI,USD,51.0,13616.047040322579,266.9813,289.987,14789.337,1173.29,0.08617000000000008,1.0
10,CNA.L,GBp,16791.0,20536.86108337413,1.2231,157.2762,32119.006,11582.1449,0.5639529999999999,82.22
11,COO,USD,176.0,15675.612227753933,89.066,78.805,13869.68,-1805.9322,-0.11520699999999995,1.0
12,COST,USD,54.0,27183.9114,503.4058,530.1648,28628.8992,1444.9878,0.05315599999999998,1.0
13,DHR,USD,50.0,10635.4598,212.7092,190.0236,9501.18,-1134.2798,-0.10665100000000005,1.0
14,EIX,USD,542.0,33084.5232,61.0416,55.8116,30249.8872,-2834.636,-0.08567899999999995,1.0
15,ETR,USD,561.0,23210.5516,41.3735,42.4654,23823.0894,612.5378,0.026391000000000053,1.0
16,EXC,USD,805.0,29532.817799999997,36.6867,35.487,28567.035,-965.7828,-0.03270099999999998,1.0
17,FE,USD,736.0,23201.732191076113,31.5241,32.2133,23708.9888,507.2566,0.021862999999999966,1.0
18,GILD,USD,229.0,14013.654689805591,61.195,72.1928,16532.1512,2518.4965,0.1797169999999999,1.0
19,GSK.L,GBp,683.0,12264.5382,17.9569,1481.7307,12308.7092,44.171,0.0036000000000000476,82.22
20,HCA,USD,65.0,14606.959340026076,224.7225,221.1132,14372.358,-234.6013,-0.016060999999999992,1.0
21,HLN.L,GBp,2871.0,11418.176770260223,3.9771,334.3842,11676.1985,258.0217,0.022591000000000028,82.22
22,IQV,USD,61.0,11646.1645,190.9207,181.22,11054.42,-591.7445,-0.05081000000000002,1.0
23,ISRG,USD,44.0,13399.206508333333,304.5274,266.61,11730.84,-1668.3665,-0.12451199999999996,1.0
24,JNJ,USD,78.0,12177.715786363637,156.1246,140.6746,10972.6188,-1205.097,-0.09895900000000002,1.0
25,KHC,USD,846.0,24541.6818,29.0091,28.0786,23754.4956,-787.1862,-0.03207599999999999,1.0
26,KMB,USD,221.0,26176.580987296453,118.4461,107.692,23799.932,-2376.649,-0.09079300000000001,1.0
27,KO,USD,461.0,25010.032554658384,54.2517,52.1199,24027.2739,-982.7587,-0.03929499999999997,1.0
28,KR,USD,690.0,29700.001640213923,43.0435,41.9252,28928.388,-771.6136,-0.025981000000000032,1.0
29,LH,USD,71.0,14100.379810126584,198.5969,191.8386,13620.5406,-479.8392,-0.034030000000000005,1.0
30,LLY,USD,27.0,8411.361791747155,311.5319,576.3149,15560.5023,7149.1405,0.849939,1.0
31,MDLZ,USD,458.0,27925.30881575387,60.9723,61.1026,27984.9908,59.682,0.0021370000000000555,1.0
32,MDT,USD,150.0,11463.679855072463,76.4245,65.8376,9875.64,-1588.0399,-0.13852799999999998,1.0
33,MKS.L,GBp,11553.0,25498.024884192815,2.207,215.0496,30217.3197,4719.2948,0.1851100000000001,82.22
34,MNST,USD,528.0,25381.563811240383,48.0711,50.08,26442.24,1060.6762,0.041789999999999994,1.0
35,MO,USD,990.0,33923.62836887095,34.2663,35.3536,35000.064,1076.4356,0.031730999999999954,1.0
36,MRK,USD,165.0,13038.006504064744,79.0182,95.8131,15809.1615,2771.155,0.21254499999999998,1.0
37,NI,USD,1146.0,25362.2509,22.1311,23.3548,26764.6008,1402.3499,0.05529300000000004,1.0
38,PEG,USD,477.0,24461.6719,51.2823,55.8994,26664.0138,2202.3419,0.09003300000000003,1.0
39,PEP,USD,146.0,22835.919972534273,156.4104,148.7935,21723.851,-1112.069,-0.04869800000000002,1.0
40,PG,USD,230.0,33316.91547756788,144.8562,142.1503,32694.569,-622.3465,-0.01868000000000003,1.0
41,PM,USD,356.0,29213.355550747223,82.06,80.9543,28819.7308,-393.6248,-0.013473999999999986,1.0
42,SAN.PA,EUR,138.0,13425.5663,97.2867,92.9015,13583.8175,158.2512,0.011786999999999992,0.9438
43,SBRY.L,GBp,9236.0,30894.03917476787,3.345,251.9404,28301.1619,-2592.8773,-0.08393899999999999,82.22
44,SYK,USD,54.0,15026.67235714286,278.2717,252.9749,13660.6446,-1366.0278,-0.09090699999999996,1.0
45,TSCO.L,GBp,9694.0,30429.874,3.139,272.0969,32081.0916,1651.2176,0.05427699999999991,82.22
46,VRTX,USD,38.0,13128.8157,345.4951,363.04,13795.52,666.7043,0.050782000000000105,1.0
47,WMT,USD,798.0,36665.18437602726,45.9463,52.7976,42132.4848,5467.3004,0.1491150000000001,1.0
48,ZTS,USD,71.0,12983.7473,182.8697,158.1909,11231.5539,-1752.1934,-0.134953,1.0
