,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,136.0,25144.219826690794,184.884,204.9259,27869.9224,2725.7026,0.10840300000000003,1.0
1,ABT,USD,181.0,20574.257609144046,113.6699,130.135,23554.435,2980.1774,0.14484999999999992,1.0
2,ADM,USD,458.0,24360.1641,53.1881,61.3172,28083.2776,3723.1135,0.1528369999999999,1.0
3,AEE,USD,311.0,26973.460277040682,86.7314,97.9052,30448.5172,3475.0569,0.12883200000000006,1.0
4,AEP,USD,281.0,24180.36895676592,86.0511,105.8715,29749.8915,5569.5225,0.2303329999999999,1.0
5,BATS.L,GBp,499.0,18650.88963247332,37.3765,4130.1924,27809.5535,9158.6639,0.4910589999999999,74.11
6,BMY,USD,521.0,27029.444921616647,51.8799,45.0834,23488.4514,-3540.9935,-0.131004,1.0
7,BSX,USD,231.0,15465.102364557828,66.9485,108.14,24980.34,9515.2376,0.6152709999999999,1.0
8,CAH,USD,215.0,21633.78195127173,100.6222,149.0569,32047.2335,10413.4515,0.481352,1.0
9,CMS,USD,336.0,22262.221920525342,66.2566,69.6383,23398.4688,1136.2469,0.05103900000000006,1.0
10,CNA.L,GBp,11169.0,19915.91371772522,1.7831,154.1568,23232.7257,3316.812,0.16656800000000005,74.11
11,CNP,USD,778.0,24848.332708208975,31.9387,36.9091,28715.2798,3866.9471,0.15562300000000007,1.0
12,CVS,USD,452.0,28218.010603999992,62.4292,69.1216,31242.9632,3024.9526,0.10719999999999996,1.0
13,D,USD,475.0,23226.97241242696,48.8989,56.6989,26931.9775,3705.0051,0.15951300000000002,1.0
14,DTE,USD,208.0,25288.447993886326,121.5791,131.4352,27338.5216,2050.0736,0.081067,1.0
15,DUK,USD,246.0,23229.152916174935,94.4275,118.1284,29059.5864,5830.4335,0.250996,1.0
16,ED,USD,265.0,27747.40763970588,104.7072,95.1045,25202.6925,-2544.7151,-0.09170999999999996,1.0
17,EL,USD,254.0,22925.5747,90.2582,88.2412,22413.2648,-512.3099,-0.022347000000000006,1.0
18,ES,USD,464.0,29284.735561237114,63.1137,60.8211,28220.9904,-1063.7452,-0.03632500000000005,1.0
19,ETR,USD,360.0,19074.34106540276,52.9843,85.6909,30848.724,11774.3829,0.617289,1.0
