,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,146.0,22195.65805755188,152.0251,178.5735,26071.731,3876.0729,0.1746319999999999,1.0
1,AEE,USD,274.0,22961.5062,83.8011,84.1005,23043.537,82.0308,0.0035730000000000484,1.0
2,AEP,USD,300.0,24442.686661572287,81.4756,93.2302,27969.06,3526.3733,0.14427100000000004,1.0
3,AES,USD,1192.0,21865.84,18.3438,15.626,18626.192,-3239.648,-0.14815900000000004,1.0
4,AMGN,USD,77.0,19205.902375189795,249.4273,302.4562,23289.1274,4083.225,0.2126030000000001,1.0
5,BSX,USD,318.0,18693.427483516298,58.7844,84.73,26944.14,8250.7125,0.4413689999999999,1.0
6,CAG,USD,931.0,26677.223299999998,28.6544,26.6785,24837.6835,-1839.5398,-0.06895600000000002,1.0
7,CAH,USD,241.0,21118.470652744785,87.6285,108.7828,26216.6548,5098.1841,0.24140899999999998,1.0
8,CI,USD,77.0,23334.275135523432,303.0425,307.4768,23675.7136,341.4385,0.014632999999999896,1.0
9,CL,USD,260.0,20341.695110118504,78.2373,92.2116,23975.016,3633.3209,0.17861400000000005,1.0
10,CLX,USD,147.0,22639.9638,154.0134,147.5073,21683.5731,-956.3907,-0.04224399999999995,1.0
11,CMS,USD,415.0,27336.016,65.8699,67.6324,28067.446,731.43,0.02675699999999992,1.0
12,COO,USD,197.0,21257.8366,107.9078,107.82,21240.54,-17.2966,-0.0008139999999999814,1.0
13,COST,USD,26.0,15941.530016425124,613.1358,884.2092,22989.4392,7047.9092,0.44211,1.0
14,CPB,USD,553.0,26130.58010067682,47.2524,43.6078,24115.1134,-2015.4667,-0.07713000000000003,1.0
15,D,USD,517.0,24083.0624510989,46.5823,55.6393,28765.5181,4682.4556,0.1944300000000001,1.0
16,DTE,USD,211.0,25855.9437,122.54,120.3916,25402.6276,-453.3161,-0.017531999999999992,1.0
17,DUK,USD,259.0,22350.090290706314,86.2938,111.1044,28776.0396,6425.9493,0.2875129999999999,1.0
18,ED,USD,254.0,24970.08198125,98.3074,99.4644,25263.9576,293.8756,0.011768999999999918,1.0
19,EIX,USD,395.0,25956.188131554245,65.7119,77.1822,30486.969,4530.7809,0.1745540000000001,1.0
20,ES,USD,377.0,23586.439897889184,62.5635,61.4109,23151.9093,-434.5306,-0.018422999999999967,1.0
21,ETR,USD,534.0,23405.257942611934,43.8301,64.8777,34644.6918,11239.4339,0.4802090000000001,1.0
22,FE,USD,768.0,30562.83309850746,39.7954,40.8475,31370.88,808.0469,0.02643799999999996,1.0
23,GILD,USD,321.0,23871.7685,74.3669,85.3731,27404.7651,3532.9966,0.147999,1.0
24,GIS,USD,395.0,26440.0032,66.9367,63.3357,25017.6015,-1422.4017,-0.053796999999999984,1.0
25,HCA,USD,82.0,26996.74736086957,329.2286,359.5454,29482.7228,2485.9754,0.09208400000000005,1.0
26,IMB.L,GBp,764.0,19680.021020557157,25.7592,2286.9016,22667.2655,2987.2445,0.1517900000000001,77.08
27,ISRG,USD,45.0,15820.075039435094,351.5572,511.27,23007.15,7187.075,0.45430100000000007,1.0
28,JNJ,USD,138.0,21644.9651,156.8476,154.0401,21257.5338,-387.4313,-0.017900000000000027,1.0
29,KHC,USD,676.0,21311.7076,31.5262,31.8338,21519.6488,207.9412,0.009757000000000016,1.0
30,KMB,USD,171.0,21876.570874117646,127.9332,127.4658,21796.6518,-79.9191,-0.0036530000000000173,1.0
31,KO,USD,405.0,24772.79117986871,61.1674,64.0724,25949.322,1176.5308,0.04749300000000001,1.0
32,MDT,USD,275.0,23387.4191,85.0452,86.3615,23749.4125,361.9934,0.015478000000000103,1.0
33,MKS.L,GBp,5116.0,13475.520803075693,2.634,378.2511,25105.5089,11629.9881,0.8630420000000001,77.08
34,MO,USD,723.0,26456.121271859603,36.5921,44.7508,32354.8284,5898.7071,0.22296300000000002,1.0
35,NEE,USD,316.0,22974.15511564246,72.703,77.9098,24619.4968,1645.3417,0.07161700000000004,1.0
36,NI,USD,936.0,25821.684844140294,27.5873,33.3778,31241.6208,5419.936,0.209897,1.0
37,NRG,USD,330.0,16578.96871885113,50.2393,85.6967,28279.911,11700.9423,0.70577,1.0
38,PEG,USD,310.0,17206.014308275175,55.5033,85.5492,26520.252,9314.2377,0.5413349999999999,1.0
39,PM,USD,282.0,24596.708182178536,87.2224,122.9532,34672.8024,10076.0942,0.4096519999999999,1.0
40,PPL,USD,1007.0,25254.944995876805,25.0794,30.9353,31151.8471,5896.9021,0.2334940000000001,1.0
41,RMD,USD,108.0,25999.426,240.7354,252.6758,27288.9864,1289.5604,0.04960000000000009,1.0
42,SO,USD,325.0,21622.791186581908,66.5317,87.4897,28434.1525,6811.3613,0.31500799999999995,1.0
43,SRE,USD,335.0,24675.37831909548,73.6578,80.5898,26997.583,2322.2047,0.09411100000000006,1.0
44,SYK,USD,61.0,21377.0165,350.4429,347.8351,21217.9411,-159.0754,-0.007441000000000031,1.0
45,SYY,USD,298.0,21987.0385,73.782,70.8873,21124.4154,-862.6231,-0.03923299999999996,1.0
46,TSCO.L,GBp,5573.0,22862.120453229756,4.1023,352.6716,25498.6874,2636.5669,0.1153249999999999,77.08
47,TSN,USD,385.0,23654.5832,61.4405,55.7644,21469.294,-2185.2892,-0.09238400000000002,1.0
48,WEC,USD,287.0,25625.011599999998,89.2858,92.4071,26520.8377,895.8261,0.03495899999999996,1.0
49,WMT,USD,328.0,16954.471566606702,51.6905,81.38,26692.64,9738.1684,0.574371,1.0
50,XEL,USD,361.0,22445.4326,62.1757,61.4558,22185.5438,-259.8888,-0.011577999999999977,1.0
