,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,139.0,25712.313411888113,184.9807,179.8508,24999.2612,-713.0522,-0.02773199999999998,1.0
1,ABT,USD,206.0,23149.275070833337,112.3751,132.8364,27364.2984,4215.0233,0.18208000000000002,1.0
2,AEE,USD,332.0,28572.64031328051,86.0622,96.1893,31934.8476,3362.2073,0.117672,1.0
3,AEP,USD,306.0,25541.824804644333,83.47,101.3249,31005.4194,5463.5946,0.213908,1.0
4,AMGN,USD,95.0,28486.0762,299.8534,269.8228,25633.166,-2852.9102,-0.10015099999999999,1.0
5,BATS.L,GBp,591.0,21893.4096581464,37.0447,3222.0393,25335.6204,3442.2107,0.15722499999999995,75.16000000000001
6,BMY,USD,594.0,30816.68000660324,51.8799,44.9728,26713.8432,-4102.8368,-0.13313600000000003,1.0
7,BN.PA,EUR,301.0,25453.8594,84.5643,74.58,25115.8872,-337.9722,-0.013278000000000012,0.8938
8,BSX,USD,231.0,14213.267247288319,61.5293,106.66,24638.46,10425.1928,0.7334830000000001,1.0
9,CAH,USD,228.0,22186.958863791922,97.3112,152.1436,34688.7408,12501.7819,0.563475,1.0
10,CI,USD,81.0,26393.5931,325.8468,315.2887,25538.3847,-855.2084,-0.03240200000000004,1.0
11,CMS,USD,431.0,28531.112630653846,66.1975,70.3828,30334.9868,1803.8742,0.06322399999999995,1.0
12,CNA.L,GBp,11729.0,20691.7133627451,1.7641,151.9574,23713.5224,3021.809,0.14607199999999998,75.16000000000001
13,CNP,USD,858.0,26920.82226659412,31.3762,37.0326,31773.9708,4853.1485,0.18027700000000002,1.0
14,CVS,USD,423.0,26444.726499999997,62.5171,61.0964,25843.7772,-600.9493,-0.022724999999999995,1.0
15,D,USD,515.0,24952.735144514954,48.4519,53.712,27661.68,2708.9449,0.10856299999999997,1.0
16,DGX,USD,152.0,26595.8349,174.9726,174.9648,26594.6496,-1.1853,-4.499999999996174e-05,1.0
17,DTE,USD,236.0,28612.52966195506,121.2395,134.0817,31643.2812,3030.7515,0.10592399999999991,1.0
18,DUK,USD,246.0,22423.081020087317,91.1507,114.0167,28048.1082,5625.0272,0.25085899999999994,1.0
19,ED,USD,272.0,28876.109500000002,106.1622,102.8449,27973.8128,-902.2967,-0.031247000000000025,1.0
20,ETR,USD,386.0,19572.950181737284,50.7071,81.3802,31412.7572,11839.807,0.6049070000000001,1.0
21,EVRG,USD,516.0,34557.24474102079,66.9714,64.6785,33374.106,-1183.1387,-0.03423699999999996,1.0
22,EXC,USD,764.0,28324.883450855745,37.0745,43.247,33040.708,4715.8245,0.1664890000000001,1.0
23,FE,USD,567.0,21550.551521229052,38.008,41.6019,23588.2773,2037.7258,0.09455600000000008,1.0
24,GILD,USD,352.0,28008.302227401127,79.569,103.4104,36400.4608,8392.1586,0.2996319999999999,1.0
25,HCA,USD,79.0,27273.5077,345.2343,384.3058,30360.1582,3086.6505,0.11317400000000011,1.0
26,IMB.L,GBp,734.0,20435.06741470515,27.8407,2754.5791,26900.7592,6465.6918,0.31640099999999993,75.16000000000001
27,JNJ,USD,180.0,28603.9095,158.9106,148.3565,26704.17,-1899.7395,-0.066415,1.0
28,KMB,USD,191.0,24354.931096641918,127.5127,134.795,25745.845,1390.9139,0.057109999999999994,1.0
29,KO,USD,396.0,24443.1696,61.7252,69.9036,27681.8256,3238.656,0.1324970000000001,1.0
30,KR,USD,449.0,25190.956344480866,56.1046,67.9068,30490.1532,5299.1969,0.21036100000000002,1.0
31,MDLZ,USD,340.0,22314.9366,65.6322,63.602,21624.68,-690.2566,-0.03093299999999999,1.0
32,MDT,USD,297.0,25409.202735924784,85.5529,84.291,25034.427,-374.7757,-0.01475000000000004,1.0
33,MKS.L,GBp,4919.0,24711.898,5.0238,361.0627,23630.4872,-1081.4108,-0.043767,75.16000000000001
34,MNST,USD,419.0,25186.111,60.1101,62.9,26355.1,1168.989,0.04641300000000004,1.0
35,MO,USD,683.0,26868.57731828043,39.3391,55.5613,37948.3679,11079.7906,0.41236800000000007,1.0
36,NI,USD,804.0,29044.31645035426,36.1248,39.1248,31456.3392,2412.0227,0.08304500000000004,1.0
37,NRG,USD,246.0,14831.968516812603,60.2926,159.9048,39336.5808,24504.6123,1.6521460000000001,1.0
38,PEG,USD,319.0,19579.40053927566,61.3774,77.277,24651.363,5071.9625,0.2590460000000001,1.0
39,PM,USD,197.0,17868.803489854647,90.7046,167.244,32947.068,15078.2645,0.8438319999999999,1.0
40,PPL,USD,915.0,24113.127472822835,26.3531,33.9399,31055.0085,6941.881,0.28789,1.0
41,SO,USD,322.0,22283.520392208175,69.2035,87.3655,28131.691,5848.1706,0.262443,1.0
42,TSN,USD,386.0,23417.116678461538,60.6661,54.1345,20895.917,-2521.1997,-0.10766500000000001,1.0
43,VRTX,USD,45.0,21814.1624,484.7592,440.66,19829.7,-1984.4624,-0.09097100000000002,1.0
44,WEC,USD,293.0,26706.312087900802,91.1478,104.6565,30664.3545,3958.0424,0.14820699999999998,1.0
45,WMT,USD,252.0,14862.550573254914,58.9784,97.4921,24568.0092,9705.4586,0.653014,1.0
46,XEL,USD,451.0,28703.37857287988,63.6439,69.9959,31568.1509,2864.7723,0.09980499999999992,1.0
47,ZBH,USD,226.0,22921.3541,101.4219,94.779,21420.054,-1501.3001,-0.06549799999999995,1.0
