,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,136.0,25144.219826690794,184.884,217.4291,29570.3576,4426.1378,0.1760299999999999,1.0
1,ABT,USD,181.0,20574.257609144046,113.6699,134.4859,24341.9479,3767.6903,0.18312700000000004,1.0
2,ADM,USD,458.0,24360.1641,53.1881,58.9157,26983.3906,2623.2265,0.10768599999999995,1.0
3,AEE,USD,311.0,26973.460277040682,86.7314,97.7179,30390.2669,3416.8066,0.12667300000000004,1.0
4,AEP,USD,281.0,24180.36895676592,86.0511,105.3793,29611.5833,5431.2143,0.22461299999999995,1.0
5,BATS.L,GBp,499.0,18650.88963247332,37.3765,3969.2627,26668.4003,8017.5107,0.4298740000000001,74.27
6,BMY,USD,521.0,27029.444921616647,51.8799,43.4044,22613.6924,-4415.7525,-0.16336799999999996,1.0
7,BSX,USD,231.0,15465.102364557828,66.9485,97.03,22413.93,6948.8276,0.4493229999999999,1.0
8,CAH,USD,215.0,21633.78195127173,100.6222,146.2698,31448.007,9814.225,0.4536530000000001,1.0
9,CMS,USD,336.0,22262.221920525342,66.2566,69.3921,23315.7456,1053.5237,0.04732399999999992,1.0
10,CNA.L,GBp,11169.0,19915.91371772522,1.7831,167.8211,25237.5638,5321.6501,0.26723600000000003,74.27
11,CNP,USD,778.0,24848.332708208975,31.9387,37.7498,29369.3444,4521.0117,0.18194500000000002,1.0
12,CVS,USD,452.0,28218.010603999992,62.4292,73.9127,33408.5404,5190.5298,0.1839440000000001,1.0
13,D,USD,475.0,23226.97241242696,48.8989,58.5285,27801.0375,4574.0651,0.1969289999999999,1.0
14,DTE,USD,208.0,25288.447993886326,121.5791,133.8672,27844.3776,2555.9296,0.10107099999999991,1.0
15,DUK,USD,246.0,23229.152916174935,94.4275,119.5144,29400.5424,6171.3895,0.26567399999999997,1.0
16,ED,USD,265.0,27747.40763970588,104.7072,95.075,25194.875,-2552.5326,-0.09199199999999996,1.0
17,EL,USD,254.0,22925.5747,90.2582,86.6721,22014.7134,-910.8613,-0.03973199999999999,1.0
18,ES,USD,464.0,29284.735561237114,63.1137,66.2095,30721.208,1436.4724,0.049050999999999956,1.0
19,ETR,USD,360.0,19074.34106540276,52.9843,88.0692,31704.912,12630.5709,0.662175,1.0
20,EVRG,USD,469.0,31462.69875066162,67.0846,70.9589,33279.7241,1817.0253,0.057752000000000026,1.0
21,EW,USD,278.0,22287.28502989324,80.1701,73.75,20502.5,-1784.785,-0.08008099999999996,1.0
22,EXC,USD,651.0,24281.012236629373,37.298,42.659,27771.009,3489.9968,0.14373400000000003,1.0
23,FE,USD,652.0,25399.32278366245,38.956,42.5033,27712.1516,2312.8288,0.091059,1.0
24,GILD,USD,299.0,23791.143085207208,79.569,111.1208,33225.1192,9433.9761,0.39653399999999994,1.0
25,HCA,USD,69.0,23875.99248473001,346.0289,406.0312,28016.1528,4140.1603,0.17340299999999997,1.0
26,IMB.L,GBp,667.0,19056.92510203495,28.5711,3087.2417,27725.7333,8668.8082,0.45489,74.27
27,INCY,USD,360.0,30983.7528,86.066,84.73,30502.8,-480.9528,-0.015522999999999954,1.0
28,JNJ,USD,180.0,28869.10933508523,160.3839,172.1955,30995.19,2126.0807,0.0736460000000001,1.0
29,KR,USD,442.0,25513.39605213621,57.7226,63.8574,28224.9708,2711.5747,0.10628100000000007,1.0
30,LNT,USD,438.0,27910.8754,63.7235,63.2266,27693.2508,-217.6246,-0.007797999999999972,1.0
31,MDT,USD,320.0,27495.06723726488,85.9221,92.4672,29589.504,2094.4368,0.0761750000000001,1.0
32,MNST,USD,372.0,22465.58913907285,60.3914,63.98,23800.56,1334.9709,0.059422000000000086,1.0
33,MO,USD,588.0,23425.7345019466,39.8397,61.6112,36227.3856,12801.6511,0.546478,1.0
34,NI,USD,746.0,27173.01645161661,36.425,40.746,30396.516,3223.4995,0.11862700000000004,1.0
35,NRG,USD,219.0,18262.333048130473,83.3896,170.0016,37230.3504,18968.0174,1.038643,1.0
36,PEG,USD,318.0,20396.875161813896,64.1411,80.4345,25578.171,5181.2958,0.254024,1.0
37,PFE,USD,1016.0,24468.834683398436,24.0835,23.2348,23606.5568,-862.2779,-0.03524000000000005,1.0
38,PM,USD,171.0,15510.484247538807,90.7046,157.6147,26952.1137,11441.6295,0.73767,1.0
39,PPL,USD,767.0,20407.438305164847,26.6068,35.1384,26951.1528,6543.7145,0.3206549999999999,1.0
40,RMD,USD,95.0,25649.2326,269.9919,273.1262,25946.989,297.7564,0.01160899999999998,1.0
41,SBRY.L,GBp,5713.0,21751.966910111307,3.8075,321.2576,24711.7903,2959.8234,0.1360570000000001,74.27
42,SJM,USD,213.0,22853.5979,107.2939,105.9419,22565.6247,-287.9732,-0.012600999999999973,1.0
43,SN.L,GBp,1183.0,22085.8905,18.6694,1349.119,21489.2659,-596.6246,-0.027013999999999982,74.27
44,SO,USD,305.0,21537.8834447483,70.616,90.8629,27713.1845,6175.3011,0.28671800000000003,1.0
45,SRE,USD,331.0,25153.5959,75.9927,80.6253,26686.9743,1533.3784,0.06096100000000004,1.0
46,SYY,USD,360.0,27366.110526315784,76.017,79.6495,28673.82,1307.7095,0.047784999999999966,1.0
47,TSCO.L,GBp,4555.0,24842.513399979875,5.4539,432.0536,26497.9689,1655.4555,0.06663799999999998,74.27
48,WEC,USD,256.0,23352.26944587407,91.2198,108.0712,27666.2272,4313.9578,0.18473399999999995,1.0
49,WMT,USD,255.0,16071.245381000008,63.0245,102.4007,26112.1785,10040.9331,0.624776,1.0
50,XEL,USD,444.0,28561.310726051386,64.3273,71.2691,31643.4804,3082.1697,0.10791400000000007,1.0
