,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,158.0,16115.614440382711,101.9976,140.8521,22254.6318,6139.0174,0.380935,1.0
1,ADM,USD,329.0,19141.2875382516,58.1802,88.0121,28955.9809,9814.6934,0.51275,1.0
2,AEP,USD,282.0,22164.728953211288,78.5983,82.949,23391.618,1226.889,0.0553539999999999,1.0
3,AES,USD,994.0,22350.475499999997,22.4854,24.317,24171.098,1820.6225,0.08145699999999989,1.0
4,AMGN,USD,79.0,17067.4416361516,216.0436,259.013,20462.027,3394.5854,0.19889200000000007,1.0
5,AZN.L,GBp,110.0,13298.5289,120.8957,11075.8359,14409.7215,1111.1926,0.08355800000000002,84.55
6,BATS.L,GBp,666.0,24615.43,36.9601,3336.3738,26280.6026,1665.1726,0.06764799999999993,84.55
7,BDX,USD,75.0,12631.6615,168.4222,173.8697,13040.2275,408.566,0.03234399999999993,1.0
8,BIIB,USD,50.0,13932.4185,278.6484,306.72,15336.0,1403.5815,0.10074200000000011,1.0
9,BMY,USD,299.0,16682.19906780594,55.7933,67.546,20196.254,3514.0549,0.21064700000000003,1.0
10,CAG,USD,935.0,26886.123199999998,28.7552,30.7306,28733.111,1846.9878,0.06869700000000001,1.0
11,CAH,USD,294.0,17228.356269346732,58.5999,74.1069,21787.4286,4559.0723,0.2646250000000001,1.0
12,CI,USD,71.0,16412.476796606334,231.1616,299.6479,21275.0009,4862.5241,0.29627000000000003,1.0
13,CNC,USD,183.0,14583.560535261931,79.6916,82.96,15181.68,598.1195,0.041012999999999966,1.0
14,CNP,USD,785.0,19599.105721735592,24.967,27.9701,21956.5285,2357.4228,0.12028299999999992,1.0
15,CPB,USD,654.0,26204.00910493758,40.0673,45.7178,29899.4412,3695.4321,0.14102499999999996,1.0
16,CVS,USD,201.0,15688.878776417463,78.0541,88.0079,17689.5879,2000.7091,0.12752399999999997,1.0
17,DGE.L,GBp,466.0,19285.6884,41.3856,3741.449,20621.1145,1335.4261,0.06924400000000008,84.55
18,DTE,USD,204.0,23407.2118,114.7412,100.8127,20565.7908,-2841.421,-0.12139100000000003,1.0
19,ED,USD,284.0,21357.0282477543,75.2008,85.1543,24183.8212,2826.793,0.1323589999999999,1.0
20,ETR,USD,480.0,23107.645366963912,48.1409,50.103,24049.44,941.7946,0.04075699999999993,1.0
21,EXC,USD,578.0,17084.314622466096,29.5576,34.9724,20214.0472,3129.7326,0.183195,1.0
22,FE,USD,697.0,23423.4091,33.606,34.0579,23738.3563,314.9472,0.013446999999999987,1.0
23,GILD,USD,259.0,15025.821997577854,58.0148,75.634,19589.206,4563.384,0.3037019999999999,1.0
