,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,141.0,26068.63967326031,184.884,182.7717,25770.8097,-297.83,-0.011425000000000018,1.0
1,ABT,USD,221.0,25121.054870833334,113.6699,123.766,27352.286,2231.2311,0.08881899999999998,1.0
2,AEE,USD,334.0,28820.73464057387,86.2896,98.8158,33004.4772,4183.7426,0.145165,1.0
3,AEP,USD,269.0,22453.434223690605,83.47,107.554,28932.026,6478.5918,0.288535,1.0
4,BATS.L,GBp,561.0,20782.069066362317,37.0447,3851.3145,29145.9252,8363.8561,0.402455,74.13
5,BMY,USD,582.0,30194.12081455065,51.8799,46.3379,26968.6578,-3225.463,-0.10682400000000003,1.0
6,BSX,USD,254.0,16845.124531843805,66.3194,103.16,26202.64,9357.5155,0.5555030000000001,1.0
7,CAH,USD,214.0,21135.110401074664,98.7622,155.8214,33345.7796,12210.6692,0.5777429999999999,1.0
8,CMS,USD,368.0,24360.671573272888,66.1975,71.9572,26480.2496,2119.578,0.08700799999999997,1.0
9,CNA.L,GBp,12021.0,21435.150756627703,1.7831,164.054,26603.1719,5168.0211,0.24113000000000007,74.13
10,CNP,USD,777.0,24573.42098558802,31.626,37.1309,28850.7093,4277.2883,0.17406199999999994,1.0
11,CTEC.L,GBp,7408.0,26234.5697,3.5414,240.9465,24078.3984,-2156.1713,-0.08219200000000004,74.13
12,CVS,USD,473.0,29529.024370999996,62.4292,60.0903,28422.7119,-1106.3125,-0.03746499999999997,1.0
13,D,USD,499.0,24356.14531553415,48.8099,56.5963,28241.5537,3885.4084,0.15952499999999992,1.0
14,DTE,USD,226.0,27428.675113815247,121.3658,136.1273,30764.7698,3336.0947,0.12162800000000007,1.0
15,DUK,USD,228.0,20782.367774715072,91.1507,117.6617,26826.8676,6044.4998,0.290848,1.0
16,ED,USD,243.0,25797.40664889706,106.1622,101.098,24566.814,-1230.5926,-0.04770200000000002,1.0
17,ES,USD,485.0,30610.122300000003,63.1137,64.4495,31258.0075,647.8852,0.0211650000000001,1.0
18,ETR,USD,354.0,17950.32218739637,50.7071,86.7918,30724.2972,12773.975,0.71163,1.0
19,EVRG,USD,484.0,32414.159795841206,66.9714,67.9301,32878.1684,464.0086,0.014315000000000078,1.0
20,EXC,USD,694.0,25729.671616353255,37.0745,43.3055,30054.017,4324.3454,0.16806699999999997,1.0
21,FE,USD,653.0,25063.50480890545,38.3821,40.3689,26360.8917,1297.3869,0.05176399999999992,1.0
22,GILD,USD,306.0,24348.12636813848,79.569,108.0785,33072.021,8723.8946,0.3582989999999999,1.0
23,HCA,USD,79.0,27336.28125063291,346.0289,349.3033,27594.9607,258.6794,0.009463,1.0
24,IMB.L,GBp,681.0,18959.510775768675,27.8407,2924.9082,26869.8568,7910.346,0.4172229999999999,74.13
25,INCY,USD,391.0,26681.1245,68.2382,68.9,26939.9,258.7755,0.009697999999999984,1.0
26,JNJ,USD,176.0,27937.680725000002,158.7368,164.7786,29001.0336,1063.3529,0.03806200000000004,1.0
27,KO,USD,376.0,23208.666084848483,61.7252,68.1789,25635.2664,2426.6003,0.10455499999999995,1.0
28,KR,USD,433.0,24704.281994879464,57.0538,71.501,30959.933,6255.651,0.2532209999999999,1.0
29,MDLZ,USD,335.0,22731.7896,67.8561,68.948,23097.58,365.7904,0.016091000000000077,1.0
30,MDT,USD,312.0,26724.687856806537,85.6561,89.5648,27944.2176,1219.5297,0.045631999999999895,1.0
31,MNST,USD,453.0,27357.29,60.3914,59.59,26994.27,-363.02,-0.013270000000000004,1.0
32,MO,USD,636.0,25019.641543816037,39.3391,56.4967,35931.9012,10912.2597,0.4361459999999999,1.0
33,NG.L,GBp,1629.0,22999.314638868615,14.1187,1084.3466,23828.4178,829.1032,0.03604699999999994,74.13
34,NI,USD,746.0,26949.07969149786,36.1248,41.2516,30773.6936,3824.6139,0.1419189999999999,1.0
35,NRG,USD,206.0,14867.222490350687,72.171,152.6851,31453.1306,16585.9081,1.115602,1.0
36,PEG,USD,283.0,17459.845361813896,61.6956,83.7669,23706.0327,6246.1873,0.357745,1.0
37,PFE,USD,1024.0,24658.7974,24.0809,23.8858,24459.0592,-199.7382,-0.008102000000000054,1.0
38,PM,USD,195.0,17687.394317368813,90.7046,160.816,31359.12,13671.7257,0.772964,1.0
39,PPL,USD,823.0,21688.63815315103,26.3531,35.9642,29598.5366,7909.8984,0.36470500000000006,1.0
40,SBRY.L,GBp,6379.0,24287.7292,3.8075,301.2664,25924.435,1636.7058,0.06737400000000004,74.13
41,SO,USD,305.0,21445.046989925322,70.3116,93.5849,28543.3945,7098.3475,0.331002,1.0
42,SRE,USD,324.0,24421.5648,75.3752,78.1097,25307.5428,885.978,0.03627899999999995,1.0
43,SYY,USD,308.0,23279.9979,75.5844,78.5042,24179.2936,899.2957,0.03862999999999994,1.0
44,TAP,USD,471.0,23923.664373804575,50.7933,50.1102,23601.9042,-321.7602,-0.013449000000000044,1.0
45,TSCO.L,GBp,4787.0,26070.7402,5.4462,426.0543,27512.774,1442.0338,0.0553030000000001,74.13
46,UU.L,GBp,1618.0,25371.5629,15.6808,1166.8265,25467.7631,96.2002,0.0037929999999999353,74.13
47,WEC,USD,283.0,25815.2041139936,91.2198,107.4276,30402.0108,4586.8067,0.17767899999999992,1.0
48,WMT,USD,279.0,17583.833181564714,63.0245,95.2367,26571.0393,8987.2061,0.5111060000000001,1.0
49,XEL,USD,456.0,29111.76431621221,63.8416,71.4092,32562.5952,3450.8309,0.11853699999999989,1.0
