,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,129.0,13157.68520765424,101.9976,146.8109,18938.6061,5780.9209,0.4393560000000001,1.0
1,ADM,USD,403.0,25242.426838251602,62.6363,77.451,31212.753,5970.3262,0.23651899999999992,1.0
2,AEP,USD,293.0,23149.462427376806,79.0084,85.4452,25035.4436,1885.9812,0.08146999999999993,1.0
3,AMGN,USD,65.0,14042.831725947523,216.0436,248.3205,16140.8325,2098.0008,0.14939999999999998,1.0
4,ATO,USD,235.0,24141.1565,102.7283,103.8531,24405.4785,264.322,0.010949000000000098,1.0
5,AZN.L,GBp,101.0,12210.467444545455,120.8957,11773.3193,14164.4461,1953.9787,0.16002500000000008,83.95
6,BDX,USD,61.0,11586.3248,189.9398,192.0907,11717.5327,131.2079,0.01132399999999989,1.0
7,BIIB,USD,54.0,15018.283329999998,278.1164,279.25,15079.5,61.2167,0.0040759999999999685,1.0
8,BMY,USD,263.0,14673.639982718938,55.7933,63.0214,16574.6282,1900.9882,0.12955099999999997,1.0
9,BSX,USD,279.0,13012.039,46.6381,46.33,12926.07,-85.969,-0.006606000000000001,1.0
10,CAG,USD,1022.0,29713.2376,29.0736,34.4102,35167.2244,5453.9868,0.1835549999999999,1.0
11,CAH,USD,262.0,15577.375309045226,59.4556,74.3465,19478.783,3901.4077,0.25045399999999995,1.0
12,CI,USD,62.0,14332.021991402715,231.1616,284.9819,17668.8778,3336.8558,0.23282500000000006,1.0
13,CNA.L,GBp,24510.0,28307.2379,1.1549,92.4032,26977.992,-1329.2459,-0.04693599999999998,83.95
14,CPB,USD,646.0,26005.081267246544,40.2555,49.9076,32240.3096,6235.2283,0.23977099999999996,1.0
15,CVS,USD,144.0,11239.793750269228,78.0541,81.0122,11665.7568,425.963,0.03789799999999999,1.0
16,DGX,USD,85.0,11944.955494623657,140.5289,145.2217,12343.8445,398.889,0.033393999999999924,1.0
17,DUK,USD,255.0,22425.359,87.9426,92.6225,23618.7375,1193.3785,0.05321500000000001,1.0
18,ED,USD,303.0,23101.504507172267,76.2426,87.4884,26508.9852,3407.4807,0.14749999999999996,1.0
19,EIX,USD,432.0,23720.4087,54.9084,57.0637,24651.5184,931.1097,0.03925299999999998,1.0
20,ETR,USD,551.0,26625.427366963915,48.322,47.8756,26379.4556,-245.9718,-0.009237999999999968,1.0
21,EXC,USD,633.0,24243.6857,38.2997,38.7135,24505.6455,261.9598,0.010804000000000036,1.0
22,FE,USD,713.0,24317.449428550935,34.1058,37.0199,26395.1887,2077.7393,0.08544299999999994,1.0
23,GILD,USD,242.0,14094.969562629758,58.2437,78.8114,19072.3588,4977.3892,0.353132,1.0
24,GIS,USD,460.0,26853.311376281887,58.3768,74.6665,34346.59,7493.2786,0.27904400000000007,1.0
25,HCA,USD,52.0,10820.679030508474,208.09,248.024,12897.248,2076.569,0.19190700000000005,1.0
26,HUM,USD,28.0,14734.678373333334,526.2385,474.288,13280.064,-1454.6144,-0.09872000000000003,1.0
27,IMB.L,GBp,1098.0,24606.93687288329,22.4107,2068.511,27054.4977,2447.5608,0.09946600000000005,83.95
28,INCY,USD,171.0,13616.653,79.6295,80.87,13828.77,212.117,0.015578000000000092,1.0
29,JNJ,USD,95.0,14621.550441747573,153.9111,163.6662,15548.289,926.7386,0.06338099999999991,1.0
30,KHC,USD,965.0,30337.581859411675,31.4379,36.0717,34809.1905,4471.6086,0.14739499999999994,1.0
31,KMB,USD,204.0,24637.2271,120.7707,122.0939,24907.1556,269.9285,0.010955999999999966,1.0
32,KO,USD,470.0,23216.236554341398,49.3962,57.5347,27041.309,3825.0724,0.16476000000000002,1.0
33,KR,USD,632.0,26365.490401164723,41.7175,42.5658,26901.5856,536.0952,0.020334000000000074,1.0
34,LLY,USD,41.0,11613.133392243502,283.2472,353.8305,14507.0505,2893.9171,0.249193,1.0
35,LW,USD,378.0,29286.90314495114,77.4786,93.4616,35328.4848,6041.5817,0.20628899999999994,1.0
36,MCK,USD,46.0,17526.7197,381.0156,380.1154,17485.3084,-41.4113,-0.002363000000000004,1.0
37,MDLZ,USD,438.0,25453.4344,58.1129,62.2128,27249.2064,1795.772,0.07055100000000003,1.0
38,MNST,USD,538.0,24694.659942807015,45.9009,51.215,27553.67,2859.0101,0.1157729999999999,1.0
39,MO,USD,851.0,27896.637600000002,32.781,35.9754,30615.0654,2718.4278,0.09744700000000006,1.0
40,MRK,USD,198.0,14447.293907765405,72.9661,104.0353,20598.9894,6151.6955,0.42580299999999993,1.0
41,PEP,USD,159.0,24219.735451762634,152.3254,162.5763,25849.6317,1629.8962,0.06729600000000002,1.0
42,PFE,USD,316.0,11786.624412730562,37.2994,42.1014,13304.0424,1517.418,0.1287419999999999,1.0
43,PG,USD,169.0,23472.183299999997,138.8887,141.6871,23945.1199,472.9366,0.020148999999999972,1.0
44,PM,USD,365.0,28993.212699999996,79.4335,89.3552,32614.648,3621.4353,0.12490599999999996,1.0
45,SRE,USD,410.0,26323.516504025167,64.2037,69.6903,28573.023,2249.5065,0.08545599999999998,1.0
46,SYY,USD,332.0,24863.786418130312,74.8909,71.9583,23890.1556,-973.6308,-0.039158000000000026,1.0
47,UNH,USD,26.0,10543.43895242746,405.5169,460.2889,11967.5114,1424.0724,0.13506700000000005,1.0
48,VRTX,USD,46.0,11290.4292890529,245.4441,290.21,13349.66,2059.2307,0.18238700000000008,1.0
49,WMT,USD,655.0,28654.4445,43.7472,47.0727,30832.6185,2178.174,0.07601600000000008,1.0
