,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,176.0,17592.982963276965,99.9601,132.4094,23304.0544,5711.0714,0.3246230000000001,1.0
1,ADM,USD,351.0,19287.187669096824,54.9493,69.3066,24326.6166,5039.4289,0.26128299999999993,1.0
2,AEP,USD,294.0,23004.398108,78.2463,83.4774,24542.3556,1537.9575,0.06685399999999997,1.0
3,AMGN,USD,82.0,17635.685599999997,215.0693,216.3636,17741.8152,106.1296,0.006018000000000079,1.0
4,ATO,USD,196.0,19089.738384989083,97.3966,102.2186,20034.8456,945.1072,0.049509000000000025,1.0
5,AZN.L,GBp,146.0,19271.2133,131.9946,10791.2822,19113.5169,-157.6964,-0.008183000000000051,82.43
6,BATS.L,GBp,525.0,22498.732300000003,42.8547,3508.7883,22347.6144,-151.1179,-0.006716000000000055,82.43
7,BAYN.DE,EUR,226.0,13828.71792231405,61.189,53.9641,12741.2104,-1087.5075,-0.07864099999999996,0.9572
8,BMY,USD,399.0,22243.5233,55.7482,65.4544,26116.3056,3872.7823,0.17410799999999993,1.0
9,CAH,USD,306.0,16525.9214,54.0063,48.7416,14914.9296,-1610.9918,-0.09748299999999999,1.0
10,CI,USD,69.0,14715.067575000001,213.2618,246.2997,16994.6793,2279.6117,0.15491699999999997,1.0
11,CNA.L,GBp,23306.0,20415.701074328408,0.876,79.9051,22592.1177,2176.4166,0.10658600000000007,82.43
12,CNC,USD,186.0,13826.119348197673,74.334,84.61,15737.46,1911.3407,0.13824100000000006,1.0
13,CNP,USD,851.0,21094.100943640115,24.7874,26.855,22853.605,1759.5041,0.08341299999999996,1.0
14,CPB,USD,561.0,22000.6684,39.2169,41.1472,23083.5792,1082.9108,0.04922099999999996,1.0
15,CVS,USD,188.0,13972.875940515765,74.3238,80.9871,15225.5748,1252.6989,0.08965200000000006,1.0
16,D,USD,309.0,20781.097690000002,67.2527,66.6822,20604.7998,-176.2979,-0.008483000000000018,1.0
17,DTE,USD,179.0,20803.3269,116.2197,111.6515,19985.6185,-817.7084,-0.03930699999999998,1.0
18,DUK,USD,246.0,22119.677706569346,89.9174,92.5881,22776.6726,656.9949,0.029701999999999895,1.0
19,ED,USD,317.0,23700.98693050866,74.7665,83.6309,26510.9953,2810.0084,0.11856099999999992,1.0
20,EIX,USD,470.0,26549.986453307392,56.4893,52.1605,24515.435,-2034.5515,-0.07662999999999998,1.0
21,ETR,USD,517.0,24983.978406837607,48.3249,49.1623,25416.9091,432.9307,0.017328999999999928,1.0
22,EXC,USD,717.0,20829.914869276665,29.0515,39.5344,28346.1648,7516.2499,0.3608389999999999,1.0
23,FE,USD,586.0,18053.39731862234,30.8078,32.8715,19262.699,1209.3017,0.06698599999999999,1.0
24,GIS,USD,401.0,21517.76637269782,53.6603,64.6207,25912.9007,4395.1343,0.20425500000000008,1.0
25,GSK.L,GBp,807.0,16887.139209615056,20.9258,1775.9285,17386.5619,499.4227,0.029574999999999907,82.43
26,HOLX,USD,199.0,15137.132,76.066,69.3,13790.7,-1346.432,-0.08894899999999994,1.0
27,HSY,USD,124.0,22451.921447132823,181.0639,195.3392,24222.0608,1770.1394,0.07884099999999994,1.0
28,JNJ,USD,99.0,15573.452965656568,157.3076,159.0758,15748.5042,175.0512,0.011239999999999917,1.0
29,KHC,USD,707.0,21412.821205309734,30.2869,31.6425,22371.2475,958.4263,0.04475899999999999,1.0
30,KO,USD,417.0,19783.688530743893,47.4429,56.2777,23467.8009,3684.1124,0.18622000000000005,1.0
31,KR,USD,540.0,20807.99469877655,38.5333,43.561,23522.94,2714.9453,0.13047699999999995,1.0
32,LLY,USD,62.0,17478.66851111111,281.914,314.1872,19479.6064,2000.9379,0.114479,1.0
33,MCK,USD,75.0,20152.615,268.7015,320.2651,24019.8825,3867.2675,0.19189900000000004,1.0
34,MO,USD,761.0,27868.821090140846,36.6213,31.0025,23592.9025,-4275.9186,-0.15342999999999996,1.0
35,MRK,USD,302.0,21912.141194482756,72.5568,81.3925,24580.535,2668.3938,0.1217760000000001,1.0
36,NG.L,GBp,1693.0,24642.611999612614,14.5556,1050.2458,21570.6192,-3071.9928,-0.12466200000000005,82.43
37,NI,USD,888.0,21616.66754753254,24.3431,26.03,23114.64,1497.9725,0.06929699999999994,1.0
38,NRG,USD,617.0,25700.2786,41.6536,34.5891,21341.4747,-4358.8039,-0.169601,1.0
39,PEG,USD,370.0,19864.106546476978,53.6868,55.778,20637.86,773.7535,0.0389520000000001,1.0
40,PFE,USD,480.0,17447.68874219242,36.3494,42.6505,20472.24,3024.5513,0.17334800000000006,1.0
41,PM,USD,257.0,21917.265384982937,85.2812,82.9955,21329.8435,-587.4219,-0.026801999999999992,1.0
42,SO,USD,363.0,21308.927859016392,58.7023,62.2239,22587.2757,1278.3478,0.059990999999999906,1.0
43,SRE,USD,430.0,27241.879123931623,63.3532,66.2853,28502.679,1260.7999,0.046281999999999934,1.0
44,TSN,USD,292.0,19754.69303824215,67.6531,75.8769,22156.0548,2401.3618,0.12155800000000005,1.0
45,UNH,USD,37.0,14059.227628273944,379.9791,479.4987,17741.4519,3682.2243,0.26190800000000003,1.0
46,VRTX,USD,67.0,15948.144313332275,238.032,281.79,18879.93,2931.7857,0.183832,1.0
47,WEC,USD,231.0,21274.5931,92.0978,88.3031,20398.0161,-876.577,-0.04120299999999999,1.0
48,WMT,USD,547.0,26160.1128,47.8247,38.6761,21155.8267,-5004.2861,-0.19129399999999996,1.0
49,XEL,USD,312.0,20671.9,66.2561,62.4968,19499.0016,-1172.8984,-0.056738999999999984,1.0
