,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,133.0,24589.567918749086,184.884,214.52,28531.16,3941.5921,0.16029500000000008,1.0
1,ABT,USD,189.0,21622.605709144045,114.4053,122.2301,23101.4889,1478.8832,0.06839499999999998,1.0
2,ADM,USD,542.0,29251.961000000003,53.9704,59.5751,32289.7042,3037.7432,0.10384799999999994,1.0
3,AEE,USD,307.0,26626.534742930835,86.7314,100.6073,30886.4411,4259.9064,0.1599870000000001,1.0
4,AEP,USD,258.0,22201.19284998437,86.0511,118.3831,30542.8398,8341.647,0.3757299999999999,1.0
5,AES,USD,1978.0,27611.7832,13.9594,13.7077,27113.8306,-497.9526,-0.01803100000000002,1.0
6,BATS.L,GBp,554.0,21512.67033247332,38.8315,3902.8921,28453.7732,6941.1029,0.3226530000000001,75.99000000000001
7,BMY,USD,525.0,27206.133821616648,51.8212,45.0672,23660.28,-3545.8538,-0.13033300000000003,1.0
8,BSX,USD,233.0,15657.734764557828,67.2006,100.72,23467.76,7810.0252,0.498796,1.0
9,CAH,USD,188.0,18916.981427158535,100.6222,189.8354,35689.0552,16772.0738,0.8866149999999999,1.0
10,CMS,USD,373.0,24883.011920525343,66.7105,72.4558,27026.0134,2143.0015,0.08612299999999995,1.0
11,CNA.L,GBp,11276.0,20159.81521772522,1.7879,179.2692,26601.3883,6441.5731,0.31949000000000005,75.99000000000001
12,CNP,USD,870.0,28335.718608208976,32.5698,37.819,32902.53,4566.8114,0.16116799999999998,1.0
13,CVS,USD,460.0,28828.18100399999,62.67,77.5123,35655.658,6827.477,0.23683300000000007,1.0
14,D,USD,516.0,25680.03811242696,49.7675,57.4229,29630.2164,3950.1783,0.15382300000000004,1.0
15,DUK,USD,258.0,24664.642216174936,95.5994,122.1882,31524.5556,6859.9134,0.278127,1.0
16,ES,USD,429.0,27075.75766329897,63.1137,72.2277,30985.6833,3909.9256,0.14440600000000003,1.0
17,ETR,USD,356.0,18862.403942453842,52.9843,94.8294,33759.2664,14896.8625,0.7897639999999999,1.0
18,EVRG,USD,477.0,32061.38725066162,67.2146,75.4687,35998.5699,3937.1826,0.12280200000000008,1.0
19,EW,USD,300.0,23975.27132989324,79.9176,82.45,24735.0,759.7287,0.03168799999999994,1.0
20,EXC,USD,667.0,24988.954636629373,37.4647,45.3326,30236.8442,5247.8896,0.21000799999999997,1.0
21,FE,USD,694.0,27274.08488366245,39.2998,44.9556,31199.1864,3925.1015,0.1439140000000001,1.0
22,GILD,USD,279.0,22199.762276832145,79.569,118.332,33014.628,10814.8657,0.4871620000000001,1.0
23,HCA,USD,71.0,24727.69028473001,348.2773,458.3156,32540.4076,7812.7173,0.31594999999999995,1.0
24,HSY,USD,135.0,25182.5829,186.5377,167.235,22576.725,-2605.8579,-0.10347899999999999,1.0
25,HUM,USD,85.0,21650.0229,254.7062,275.8394,23446.349,1796.3261,0.0829709999999999,1.0
26,IMB.L,GBp,740.0,22069.53540203495,29.8237,3024.2573,29450.5909,7381.0555,0.3344450000000001,75.99000000000001
27,INCY,USD,381.0,32797.4447,86.0825,93.48,35615.88,2818.4353,0.0859350000000001,1.0
28,JNJ,USD,175.0,28067.189631332865,160.3839,186.6859,32670.0325,4602.8429,0.16399399999999997,1.0
29,KR,USD,477.0,27814.44225213621,58.3112,62.9766,30039.8382,2225.3959,0.080009,1.0
30,MDT,USD,316.0,27151.37889679907,85.9221,89.3088,28221.5808,1070.2019,0.039415999999999896,1.0
31,MNST,USD,413.0,25239.13993907285,61.1117,66.83,27600.79,2361.6501,0.09357100000000007,1.0
32,MO,USD,644.0,26985.525901946603,41.903,54.4543,35068.5692,8083.0433,0.2995319999999999,1.0
