,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,143.0,26438.407611888113,184.884,186.3491,26647.9213,209.5137,0.007924000000000042,1.0
1,ABT,USD,210.0,23673.931970833335,112.733,133.7184,28080.864,4406.932,0.18615099999999996,1.0
2,AEE,USD,341.0,29424.76201328051,86.2896,95.144,32444.104,3019.342,0.10261300000000007,1.0
3,AEP,USD,287.0,23955.894506316745,83.47,100.5829,28867.2923,4911.3978,0.20501900000000006,1.0
4,ATO,USD,214.0,32579.2075,152.2393,151.9691,32521.3874,-57.8201,-0.001774999999999971,1.0
5,BATS.L,GBp,589.0,21819.320285360795,37.0447,3551.8384,28381.9403,6562.62,0.3007709999999999,73.71
6,BMY,USD,588.0,30505.400410576945,51.8799,48.2777,28387.2876,-2118.1128,-0.06943299999999997,1.0
7,BSX,USD,261.0,17309.360247288318,66.3194,98.56,25724.16,8414.7998,0.48614099999999993,1.0
8,CAH,USD,234.0,23110.35436379192,98.7622,158.7293,37142.6562,14032.3018,0.6071869999999999,1.0
9,CI,USD,83.0,27007.570699999997,325.3924,310.3228,25756.7924,-1250.7783,-0.04631200000000002,1.0
10,CMS,USD,391.0,25883.213546602445,66.1975,69.2483,27076.0853,1192.8718,0.04608600000000007,1.0
11,CNA.L,GBp,11470.0,20234.798556627702,1.7641,165.2037,25707.3184,5472.5198,0.2704869999999999,73.71
12,CNP,USD,899.0,28431.79596659412,31.626,35.8034,32187.2566,3755.4606,0.13208799999999998,1.0
13,COST,USD,22.0,23149.6189,1052.2554,998.5441,21967.9702,-1181.6487,-0.05104399999999998,1.0
14,CVS,USD,500.0,31214.613499999996,62.4292,64.5707,32285.35,1070.7365,0.03430299999999997,1.0
15,D,USD,474.0,22966.20671553415,48.4519,54.0813,25634.5362,2668.3295,0.11618499999999998,1.0
16,DGX,USD,172.0,30009.5472,174.4741,175.8685,30249.382,239.8348,0.007991999999999999,1.0
17,DTE,USD,239.0,29006.43076195506,121.3658,131.6239,31458.1121,2451.6813,0.08452199999999999,1.0
18,DUK,USD,235.0,21420.42292569317,91.1507,114.2994,26860.359,5439.9361,0.2539610000000001,1.0
19,ED,USD,260.0,27602.16349264706,106.1622,101.2639,26328.614,-1273.5495,-0.04613999999999996,1.0
20,ES,USD,433.0,27364.1856,63.1967,63.6658,27567.2914,203.1058,0.007422999999999957,1.0
21,ETR,USD,384.0,19471.535932090977,50.7071,81.6547,31355.4048,11883.8689,0.6103209999999999,1.0
22,EVRG,USD,512.0,34289.35912287334,66.9714,66.1292,33858.1504,-431.2087,-0.012576000000000032,1.0
23,EXC,USD,748.0,27731.69217439803,37.0745,42.5163,31802.1924,4070.5002,0.1467799999999999,1.0
24,FE,USD,692.0,26560.406321229053,38.3821,39.4854,27323.8968,763.4905,0.02874500000000002,1.0
25,GILD,USD,311.0,24745.971570232246,79.569,109.1478,33944.9658,9198.9942,0.3717379999999999,1.0
26,HCA,USD,77.0,26583.03915063291,345.2343,369.1875,28427.4375,1844.3983,0.06938200000000005,1.0
27,IMB.L,GBp,716.0,19933.93497129276,27.8407,2890.9209,28081.6628,8147.7278,0.408736,73.71
28,JNJ,USD,171.0,27173.714025,158.9106,153.7201,26286.1371,-887.5769,-0.032663,1.0
29,KO,USD,385.0,23764.192666666666,61.7252,70.2048,27028.848,3264.6553,0.13737700000000008,1.0
30,KR,USD,496.0,28298.669444480867,57.0538,64.0664,31776.9344,3478.265,0.12291199999999991,1.0
31,LNT,USD,473.0,28648.052,60.5667,60.1057,28429.9961,-218.0559,-0.007611000000000034,1.0
32,MDT,USD,272.0,23270.380956806537,85.5529,85.7642,23327.8624,57.4814,0.0024699999999999722,1.0
33,MNST,USD,446.0,26915.5687,60.3488,63.69,28405.74,1490.1713,0.05536500000000011,1.0
34,MO,USD,663.0,26081.796137657282,39.3391,55.9817,37115.8671,11034.071,0.42305499999999996,1.0
35,NG.L,GBp,1644.0,23211.0947,14.1187,1059.8501,23638.4963,427.4016,0.018412000000000095,73.71
36,NI,USD,785.0,28357.945787970268,36.1248,39.115,30705.275,2347.3292,0.0827739999999999,1.0
37,NRG,USD,180.0,10852.659890350686,60.2926,149.7496,26954.928,16102.2681,1.483714,1.0
38,PEG,USD,278.0,17062.925861813896,61.3774,79.6366,22138.9748,5076.0489,0.29749099999999995,1.0
39,PM,USD,195.0,17687.394317368813,90.7046,177.7999,34670.9805,16983.5862,0.960208,1.0
40,PPL,USD,908.0,23928.655459369544,26.3531,33.59,30499.72,6571.0645,0.274613,1.0
41,SO,USD,288.0,19930.602089925324,69.2035,88.2247,25408.7136,5478.1115,0.27485899999999996,1.0
42,SRE,USD,297.0,22442.237,75.5631,73.9738,21970.2186,-472.0184,-0.02103299999999997,1.0
43,TAP,USD,481.0,24431.5978,50.7933,49.9937,24046.9697,-384.6281,-0.015742000000000034,1.0
44,UU.L,GBp,1503.0,23599.3656,15.7015,1170.98,23877.1258,277.7602,0.011770000000000058,73.71
45,WEC,USD,281.0,25612.5382139936,91.1478,103.8564,29183.6484,3571.1102,0.1394280000000001,1.0
46,WMT,USD,280.0,17646.85767325491,63.0245,94.2232,26382.496,8735.6383,0.49502500000000005,1.0
47,XEL,USD,477.0,30452.437672879878,63.8416,66.9522,31936.1994,1483.7617,0.04872399999999999,1.0
