,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,181.0,18274.120971857472,100.962,118.421,21434.201,3160.08,0.1729259999999999,1.0
1,ADM,USD,313.0,17682.61687272735,56.494,81.4384,25490.2192,7807.6023,0.44154099999999996,1.0
2,AEE,USD,232.0,18234.043866666667,78.595,84.9949,19718.8168,1484.7729,0.08142899999999997,1.0
3,AEP,USD,292.0,22908.522068585986,78.4538,90.2629,26356.7668,3448.2447,0.15052299999999996,1.0
4,AMGN,USD,90.0,19423.301326530607,215.8145,214.5215,19306.935,-116.3663,-0.005990999999999969,1.0
5,AZN.L,GBp,125.0,16499.32645547945,131.9946,11355.6279,16599.8537,100.5272,0.006092999999999904,85.50999999999999
6,BATS.L,GBp,544.0,23312.7904,42.8544,3452.5,21964.2147,-1348.5757,-0.05784699999999998,85.50999999999999
7,BMY,USD,344.0,19177.3734716792,55.7482,56.7413,19519.0072,341.6337,0.017813999999999997,1.0
8,CAG,USD,777.0,22091.6668,28.432,29.1695,22664.7015,573.0347,0.025938999999999934,1.0
9,CAH,USD,291.0,16232.4823,55.7817,64.9857,18910.8387,2678.3564,0.16500000000000004,1.0
10,CI,USD,80.0,17580.764682352943,219.7596,268.4229,21473.832,3893.0673,0.22143899999999994,1.0
11,CMS,USD,354.0,20846.229,58.8877,62.1011,21983.7894,1137.5604,0.05456799999999995,1.0
12,CNA.L,GBp,23173.0,20302.436328211505,0.8761,81.8628,22184.6178,1882.1815,0.09273799999999999,85.50999999999999
13,CNC,USD,210.0,15930.701848197674,75.8605,91.44,19202.4,3271.6982,0.20537000000000005,1.0
14,CNP,USD,828.0,20672.687309040855,24.967,29.2944,24255.7632,3583.0759,0.17332499999999995,1.0
15,CPB,USD,603.0,23795.520366844918,39.4619,44.1318,26611.4754,2815.955,0.11833899999999997,1.0
16,CVS,USD,239.0,18106.742909930283,75.7604,88.2007,21079.9673,2973.2244,0.16420600000000007,1.0
17,D,USD,342.0,22970.38758606937,67.1649,69.8572,23891.1624,920.7748,0.040084999999999926,1.0
18,DUK,USD,233.0,20950.751648905112,89.9174,95.1758,22175.9614,1225.2098,0.05848000000000009,1.0
19,ED,USD,320.0,24017.681334630728,75.0553,87.9379,28140.128,4122.4467,0.17164099999999993,1.0
20,ETR,USD,466.0,22515.15937695533,48.3158,52.5693,24497.2938,1982.1344,0.08803500000000009,1.0
21,EXC,USD,675.0,19885.94595773868,29.4607,39.5478,26694.765,6808.819,0.34239200000000003,1.0
22,GIS,USD,453.0,25137.75043259493,55.4917,66.6085,30173.6505,5035.9001,0.2003330000000001,1.0
23,GSK.L,GBp,764.0,15987.328818024664,20.9258,1392.8722,12444.7943,-3542.5345,-0.22158299999999997,85.50999999999999
24,HSY,USD,103.0,18649.579911731296,181.0639,207.8307,21406.5621,2756.9822,0.14783100000000005,1.0
25,HUM,USD,36.0,16548.5925,459.6831,468.6313,16870.7268,322.1343,0.019465999999999983,1.0
26,IMB.L,GBp,1015.0,22573.6598,22.2401,1872.5128,22226.6459,-347.0139,-0.015373999999999999,85.50999999999999
27,JNJ,USD,106.0,16703.168174410777,157.5771,147.0542,15587.7452,-1115.423,-0.06677900000000003,1.0
28,KHC,USD,735.0,22302.58458680702,30.3437,31.9292,23467.962,1165.3774,0.05225100000000005,1.0
29,KO,USD,395.0,18739.944771328148,47.4429,56.1167,22166.0965,3426.1517,0.18282599999999993,1.0
30,KR,USD,483.0,18633.65832827353,38.579,44.7,21590.1,2956.4417,0.15866099999999994,1.0
31,LLY,USD,59.0,16661.6047781362,282.4001,301.5244,17789.9396,1128.3348,0.06772099999999992,1.0
32,LW,USD,292.0,22182.8875,75.9688,75.2416,21970.5472,-212.3403,-0.009572000000000025,1.0
33,MCK,USD,69.0,18626.646600000004,269.9514,356.4043,24591.8967,5965.2501,0.32025400000000004,1.0
34,MNST,USD,495.0,23825.641799999998,48.1326,44.295,21926.025,-1899.6168,-0.07972999999999997,1.0
35,MRK,USD,282.0,20478.213239273806,72.6178,78.1965,22051.413,1573.1998,0.07682300000000009,1.0
36,NG.L,GBp,1463.0,21294.826553711315,14.5556,1135.6031,19429.1584,-1865.6682,-0.08761200000000002,85.50999999999999
37,NI,USD,935.0,22868.267590051833,24.458,26.9967,25241.9145,2373.6469,0.10379800000000006,1.0
38,PEP,USD,148.0,22246.4687,150.314,154.6322,22885.5656,639.0969,0.028728000000000087,1.0
39,PFE,USD,538.0,20067.101057117223,37.2994,37.8988,20389.5544,322.4533,0.01607000000000003,1.0
40,PPL,USD,748.0,19203.8138,25.6735,26.3354,19698.8792,495.0654,0.025781000000000054,1.0
41,SO,USD,384.0,22672.68471415797,59.0434,69.2594,26595.6096,3922.9249,0.17302499999999998,1.0
42,SRE,USD,380.0,24074.218760683758,63.3532,74.8169,28430.422,4356.2032,0.18094900000000003,1.0
43,STZ,USD,84.0,19231.3646,228.9448,234.7528,19719.2352,487.8706,0.025368999999999975,1.0
44,SYY,USD,298.0,22944.7416,76.9958,74.9783,22343.5334,-601.2082,-0.026202999999999976,1.0
45,TSN,USD,332.0,22807.56283824215,68.6975,68.4709,22732.3388,-75.224,-0.003299000000000052,1.0
46,UNH,USD,37.0,14234.093090926563,384.7052,494.5663,18298.9531,4064.86,0.28557199999999994,1.0
47,VRTX,USD,72.0,17349.083913332277,240.9595,281.6,20275.2,2926.1161,0.16866099999999995,1.0
48,WEC,USD,225.0,20672.807209543567,91.8791,92.9298,20909.205,236.3978,0.011436000000000002,1.0
49,XEL,USD,321.0,20844.9608,64.9376,66.7893,21439.3653,594.4045,0.028515000000000068,1.0
