,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,103.0,14117.37886458562,137.0619,163.2005,16809.6515,2692.2726,0.19070699999999996,1.0
1,ABT,USD,128.0,13390.593202684564,104.614,106.5918,13643.7504,253.1572,0.01890600000000009,1.0
2,AMGN,USD,59.0,13105.14753108108,222.1211,256.9128,15157.8552,2052.7077,0.15663399999999994,1.0
3,BAX,USD,294.0,12018.5549,40.8794,40.1947,11817.2418,-201.3131,-0.016749000000000014,1.0
4,BDX,USD,66.0,11705.521,177.3564,179.5725,11851.785,146.264,0.012494999999999923,1.0
5,BSX,USD,240.0,11888.440340752655,49.5352,67.44,16185.6,4297.1597,0.361456,1.0
6,CAH,USD,150.0,10042.508716973885,66.9501,108.2151,16232.265,6189.7563,0.616355,1.0
7,CHD,USD,331.0,30713.790337179587,92.7909,100.5879,33294.5949,2580.8046,0.08402799999999999,1.0
8,CI,USD,49.0,12788.498132631785,260.9898,340.6453,16691.6197,3903.1216,0.30520499999999995,1.0
9,CL,USD,428.0,32565.9123,76.0886,83.869,35895.932,3330.0197,0.10225400000000007,1.0
10,CNC,USD,209.0,14701.306592468618,70.3412,77.88,16276.92,1575.6134,0.10717500000000002,1.0
11,COST,USD,48.0,25557.9604942029,532.4575,732.6723,35168.2704,9610.3099,0.37602,1.0
12,CTEC.L,GBp,3711.0,11159.33748158474,3.0071,282.6454,13341.3518,2182.0143,0.1955309999999999,78.62
13,CVS,USD,193.0,14131.053522065728,73.2179,72.7616,14042.9888,-88.0647,-0.006232000000000015,1.0
14,DHR,USD,50.0,12660.5529,253.2111,248.505,12425.25,-235.3029,-0.01858599999999999,1.0
15,DTE,USD,248.0,25245.5804,101.7967,102.8765,25513.372,267.7916,0.010607000000000033,1.0
16,DUK,USD,326.0,27061.669815384612,83.0113,88.7158,28921.3508,1859.681,0.06871999999999989,1.0
17,ED,USD,318.0,26418.242344268736,83.0762,83.2628,26477.5704,59.3281,0.0022459999999999702,1.0
18,EIX,USD,470.0,28798.66004907749,61.2737,61.9501,29116.547,317.887,0.011039000000000021,1.0
19,ETR,USD,689.0,29692.88746096257,43.0956,48.3773,33331.9597,3639.0722,0.12255799999999994,1.0
20,FE,USD,740.0,25437.2338,34.3746,35.2525,26086.85,649.6162,0.02553899999999998,1.0
21,GILD,USD,172.0,10925.632120638855,63.5211,69.4563,11946.4836,1020.8515,0.09343699999999999,1.0
22,GSK.L,GBp,665.0,13659.203183168316,20.5402,1645.4924,13918.2453,259.0421,0.018961999999999923,78.62
23,ISRG,USD,34.0,10371.593624679486,305.0469,390.37,13272.58,2900.9864,0.2797050000000001,1.0
24,JNJ,USD,98.0,14638.097429906542,149.3683,146.8275,14389.095,-249.0024,-0.01700999999999997,1.0
25,KHC,USD,985.0,31758.0766,32.2417,31.6558,31180.963,-577.1136,-0.018171999999999966,1.0
26,KO,USD,508.0,28093.921800000004,55.303,57.3241,29120.6428,1026.721,0.03654599999999997,1.0
27,KR,USD,754.0,32827.064192586855,43.5372,54.4979,41091.4166,8264.3524,0.25175499999999995,1.0
28,LLY,USD,19.0,6570.393304619223,345.8102,762.2275,14482.3225,7911.9292,1.2041789999999999,1.0
29,MDLZ,USD,497.0,31381.77262669024,63.1424,67.2469,33421.7093,2039.9367,0.06500400000000006,1.0
30,MDT,USD,194.0,14958.025853023255,77.1032,78.142,15159.548,201.5221,0.013473000000000068,1.0
31,MKS.L,GBp,9008.0,20843.307595504735,2.3139,240.753,27584.6225,6741.3149,0.32340900000000006,78.62
32,MNST,USD,453.0,26369.072799999998,58.2099,60.14,27243.42,874.3472,0.03315800000000002,1.0
33,MO,USD,761.0,26120.52685925203,34.324,37.8542,28807.0462,2686.5193,0.10284899999999997,1.0
34,MRK,USD,157.0,12941.492535728174,82.4299,116.0686,18222.7702,5281.2777,0.4080889999999999,1.0
35,NRG,USD,789.0,35274.36604827128,44.7077,65.0163,51297.8607,16023.4947,0.454253,1.0
36,PEG,USD,438.0,22663.729248264364,51.7437,60.0356,26295.5928,3631.8636,0.16024900000000009,1.0
37,PG,USD,214.0,32235.375500000002,150.6326,153.8669,32927.5166,692.1411,0.021471000000000018,1.0
38,PM,USD,321.0,26434.507801982832,82.3505,86.5498,27782.4858,1347.978,0.050993000000000066,1.0
39,PPL,USD,1070.0,26106.66515637728,24.3988,25.3656,27141.192,1034.5268,0.03962500000000002,1.0
40,SO,USD,412.0,26488.094398165136,64.2915,65.7215,27077.258,589.1636,0.022242000000000095,1.0
41,STZ,USD,123.0,29391.5899,238.956,256.948,31604.604,2213.0141,0.07529399999999997,1.0
42,SYK,USD,41.0,11460.987529377679,279.5363,345.8192,14178.5872,2717.5997,0.23711700000000002,1.0
43,SYY,USD,432.0,30617.419183190883,70.8737,76.2755,32951.016,2333.5968,0.07621699999999998,1.0
44,TAP,USD,599.0,34832.2649,58.1507,62.286,37309.314,2477.0491,0.0711139999999999,1.0
45,UNH,USD,26.0,13361.343947058824,513.8978,473.1097,12300.8522,-1060.4917,-0.07937000000000005,1.0
46,VRTX,USD,34.0,11842.713677551019,348.3151,412.11,14011.74,2169.0263,0.1831529999999999,1.0
47,WMT,USD,748.0,36340.47648213503,48.5835,60.0317,44903.7116,8563.2351,0.23564000000000007,1.0
48,ZBH,USD,101.0,12502.7356,123.7895,123.8871,12512.5971,9.8615,0.0007880000000000109,1.0
49,ZTS,USD,67.0,12083.11395777778,180.345,166.0373,11124.4991,-958.6149,-0.07933500000000004,1.0
