,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,150.0,20761.2325,138.4082,127.6249,19143.735,-1617.4975,-0.077909,1.0
1,ABBV,USD,157.0,22391.65236458562,142.622,160.2857,25164.8549,2773.2025,0.12385000000000002,1.0
2,ABF.L,GBp,691.0,21375.481203391813,30.9341,2472.4817,21604.5126,229.0314,0.010715999999999948,79.08
3,AEP,USD,287.0,22918.09956096096,79.854,82.5602,23694.7774,776.6778,0.03388900000000006,1.0
4,AES,USD,1390.0,24283.447,17.4701,16.0306,22282.534,-2000.913,-0.08239799999999997,1.0
5,AMGN,USD,89.0,21875.92650810811,245.7969,296.0723,26350.4347,4474.5082,0.20453999999999994,1.0
6,ATO,USD,179.0,19954.2693,111.4764,112.0953,20065.0587,110.7894,0.005552000000000001,1.0
7,BSX,USD,322.0,17941.177140752654,55.7179,77.01,24797.22,6856.0429,0.38214100000000006,1.0
8,CAH,USD,213.0,16499.795716973884,77.4638,95.516,20344.908,3845.1123,0.23303999999999991,1.0
9,CCH.L,GBp,628.0,21657.2742,34.4861,2697.2939,21420.0881,-237.1861,-0.010951999999999962,79.08
10,CHD,USD,203.0,18836.554194705306,92.7909,101.5112,20606.7736,1770.2194,0.0939779999999999,1.0
11,CI,USD,87.0,25500.955132631785,293.1144,319.5621,27801.9027,2300.9476,0.09023000000000003,1.0
12,CL,USD,280.0,21304.802439252337,76.0886,92.6526,25942.728,4637.9256,0.21769400000000005,1.0
13,CMS,USD,379.0,21478.883535031848,56.6725,56.4572,21397.2788,-81.6047,-0.003798999999999997,1.0
14,CNC,USD,310.0,21896.58459246862,70.6341,66.3,20553.0,-1343.5846,-0.06135999999999997,1.0
15,CNP,USD,708.0,20920.4223,29.5486,29.6531,20994.3948,73.9725,0.0035369999999999013,1.0
16,COST,USD,29.0,15640.576724637684,539.3302,842.1047,24421.0363,8780.4596,0.5613900000000001,1.0
17,D,USD,488.0,22833.5379,46.79,45.2144,22064.6272,-768.9107,-0.03367399999999998,1.0
18,DHR,USD,79.0,19980.9895,252.9239,247.2316,19531.2964,-449.6931,-0.022506000000000026,1.0
19,DUK,USD,269.0,22330.028160547423,83.0113,94.1311,25321.2659,2991.2377,0.13395500000000005,1.0
20,ED,USD,251.0,22376.1816,89.1481,84.3351,21168.1101,-1208.0715,-0.053988999999999954,1.0
21,EIX,USD,381.0,24749.1860480198,64.9585,64.7493,24669.4833,-79.7027,-0.0032210000000000294,1.0
22,ETR,USD,533.0,22969.96954527293,43.0956,50.7842,27067.9786,4098.0091,0.1784079999999999,1.0
23,EVRG,USD,383.0,19536.5459,51.0093,49.4551,18941.3033,-595.2426,-0.03046899999999997,1.0
24,EXC,USD,565.0,19810.6674,35.0631,32.4497,18334.0805,-1476.5869,-0.07453399999999999,1.0
25,GSK.L,GBp,1079.0,22368.505383168314,20.7308,1528.412,20854.2811,-1514.2243,-0.06769599999999998,79.08
26,HCA,USD,68.0,20715.610962318842,304.6413,317.2097,21570.2596,854.6486,0.04125599999999996,1.0
27,ISRG,USD,50.0,16632.388224679486,332.6478,444.85,22242.5,5610.1118,0.33729999999999993,1.0
28,KHC,USD,683.0,22021.082556142133,32.2417,29.1897,19936.5651,-2084.5175,-0.09465999999999997,1.0
29,KMB,USD,154.0,19453.556546666667,126.3218,128.9153,19852.9562,399.3997,0.020531000000000077,1.0
30,KO,USD,387.0,23372.6847,60.3945,60.5266,23423.7942,51.1095,0.002186999999999939,1.0
31,KR,USD,558.0,24293.768991330857,43.5372,48.1339,26858.7162,2564.9472,0.10558099999999992,1.0
32,LLY,USD,29.0,14280.154104619223,492.4191,894.4462,25938.9398,11658.7857,0.816433,1.0
33,MDT,USD,272.0,21255.4582,78.1451,74.4489,20250.1008,-1005.3574,-0.04729899999999998,1.0
34,MKS.L,GBp,5947.0,13760.562863062461,2.3139,286.463,21542.6841,7782.1212,0.565515,79.08
35,MO,USD,722.0,25135.41462622556,34.8136,40.216,29035.952,3900.5374,0.155181,1.0
36,MRK,USD,217.0,20172.191835728176,92.9594,116.7158,25327.3286,5155.1368,0.25555700000000003,1.0
37,NEE,USD,295.0,21656.8762,73.4131,67.3129,19857.3055,-1799.5707,-0.083094,1.0
38,NI,USD,911.0,24702.84823446853,27.1162,27.3838,24946.6418,243.7936,0.009868999999999906,1.0
39,NRG,USD,426.0,19045.475204770046,44.7077,75.8155,32297.403,13251.9278,0.6958040000000001,1.0
40,PEG,USD,399.0,21257.435039055734,53.2768,69.8165,27856.7835,6599.3485,0.31044800000000006,1.0
41,PG,USD,151.0,22745.52196495327,150.6326,157.6614,23806.8714,1061.3494,0.04666199999999998,1.0
42,PM,USD,277.0,22938.111049540945,82.8091,94.8763,26280.7351,3342.6241,0.14572300000000005,1.0
43,PPL,USD,888.0,21743.22054869678,24.4856,26.1658,23235.2304,1492.0099,0.0686199999999999,1.0
44,SO,USD,330.0,21216.192115035185,64.2915,73.2547,24174.051,2957.8589,0.13941500000000007,1.0
45,SRE,USD,284.0,20629.5233,72.6392,72.1009,20476.6556,-152.8677,-0.007410999999999945,1.0
46,SYY,USD,288.0,20411.612788793922,70.8737,67.5074,19442.1312,-969.4816,-0.04749700000000001,1.0
47,TSCO.L,GBp,5342.0,21362.6587,3.999,305.8529,20660.9281,-701.7306,-0.03284799999999999,79.08
48,TSN,USD,492.0,26510.582486193292,53.8833,53.8985,26518.062,7.4795,0.00028199999999989345,1.0
49,VRTX,USD,52.0,20053.84667755102,385.6509,468.72,24373.44,4319.5933,0.21540000000000004,1.0
50,WMT,USD,382.0,18558.90643873741,48.5835,66.5929,25438.4878,6879.5814,0.37068999999999996,1.0
