,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,124.0,24015.039323448582,193.6697,225.5786,27971.7464,3956.7071,0.1647590000000001,1.0
1,ADM,USD,577.0,32164.42103980894,55.7442,67.92,39189.84,7025.419,0.21842300000000003,1.0
2,AEE,USD,265.0,23065.743338779208,87.0405,110.41,29258.65,6192.9067,0.2684899999999999,1.0
3,AEP,USD,261.0,23443.06509399288,89.8202,131.86,34415.46,10972.3949,0.4680439999999999,1.0
4,AES,USD,2753.0,39076.5775,14.1942,14.19,39065.07,-11.5075,-0.00029599999999996296,1.0
5,AMGN,USD,88.0,27081.6236,307.7457,376.97,33173.36,6091.7364,0.22493999999999992,1.0
6,BATS.L,GBp,478.0,20016.219178759413,41.8749,4308.3911,27393.0692,7376.85,0.3685449999999999,75.18
7,BMY,USD,542.0,29573.5471,54.5637,60.0112,32526.0704,2952.5233,0.09983699999999995,1.0
8,CAH,USD,152.0,19232.534796058637,126.5298,221.7425,33704.86,14472.3252,0.7524919999999999,1.0
9,CNA.L,GBp,11985.0,22403.64089637618,1.8693,194.3666,30985.4177,8581.7768,0.3830579999999999,75.18
10,CNP,USD,731.0,24040.223407524314,32.8868,43.48,31783.88,7743.6566,0.32211100000000004,1.0
11,CVS,USD,403.0,25940.198657452165,64.3677,78.26,31538.78,5598.5813,0.215827,1.0
12,D,USD,514.0,26143.641809622546,50.8631,62.91,32335.74,6192.0982,0.23685,1.0
13,DTE,USD,197.0,25508.2010365019,129.4833,147.7998,29116.5606,3608.3596,0.14145800000000008,1.0
14,DUK,USD,231.0,22412.103571765572,97.0221,131.08,30279.48,7867.3764,0.351032,1.0
15,ED,USD,290.0,28905.145458688527,99.6729,111.8,32422.0,3516.8545,0.12166900000000003,1.0
16,EIX,USD,587.0,35040.41227262658,59.6941,69.8861,41023.1407,5982.7284,0.17073699999999992,1.0
17,EL,USD,280.0,29636.011948214284,105.8429,92.63,25936.4,-3699.6119,-0.12483500000000003,1.0
18,ES,USD,428.0,27567.971247076843,64.4111,73.85,31607.8,4039.8288,0.14654199999999995,1.0
19,ETR,USD,304.0,16938.25416090805,55.7179,104.65,31813.6,14875.3458,0.8782110000000001,1.0
20,EVRG,USD,411.0,27939.71600194653,67.9798,82.435,33880.785,5941.069,0.21263999999999994,1.0
21,EXC,USD,584.0,22814.667847370896,39.0662,49.14,28697.76,5883.0922,0.257865,1.0
22,FE,USD,731.0,29573.160020368043,40.4558,50.96,37251.76,7678.6,0.25964600000000004,1.0
23,GILD,USD,253.0,24252.929660400616,95.8614,145.802,36887.906,12634.9763,0.520967,1.0
24,GSK.L,GBp,1068.0,26028.31074358407,24.3711,2046.0,29065.2833,3036.9726,0.11667899999999998,75.18
25,HSY,USD,121.0,24243.05856644737,200.3559,222.78,26956.38,2713.3214,0.11192099999999994,1.0
26,INCY,USD,348.0,31343.18732099738,90.0666,97.1,33790.8,2447.6127,0.07809099999999991,1.0
27,JNJ,USD,153.0,26704.06321606061,174.5364,242.59,37116.27,10412.2068,0.3899109999999999,1.0
28,KO,USD,344.0,24116.688501138953,70.1067,77.2687,26580.4328,2463.7443,0.10215900000000011,1.0
29,LNT,USD,388.0,25839.45363169165,66.5965,71.61,27784.68,1945.2264,0.07528200000000007,1.0
30,MDT,USD,303.0,27025.49519077364,89.1931,90.6003,27451.8909,426.3957,0.01577699999999993,1.0
31,MNST,USD,453.0,28537.133263583328,62.9959,75.73,34305.69,5768.5567,0.20214200000000004,1.0
32,MO,USD,554.0,24643.430169062078,44.4827,65.9352,36528.1008,11884.6706,0.4822660000000001,1.0
33,MRK,USD,342.0,36628.043900000004,107.0995,116.249,39757.158,3129.1141,0.0854299999999999,1.0
34,NEE,USD,389.0,31613.181183636363,81.2678,92.01,35791.89,4178.7088,0.13218299999999994,1.0
35,NG.L,GBp,1999.0,30761.88628541854,15.3886,1332.5,35430.5334,4668.6471,0.15176999999999996,75.18
36,NI,USD,684.0,30112.6225,44.0243,47.03,32168.52,2055.8975,0.06827399999999995,1.0
37,NRG,USD,195.0,18815.466097551467,96.4896,155.42,30306.9,11491.4339,0.610744,1.0
38,PEP,USD,176.0,28795.9143,163.6131,161.53,28429.28,-366.6343,-0.012731999999999966,1.0
39,PFE,USD,1260.0,31287.51947907194,24.8314,26.81,33780.6,2493.0805,0.07968099999999989,1.0
40,PM,USD,185.0,29581.327269430054,159.8991,171.7171,31767.6635,2186.3362,0.073909,1.0
41,PPL,USD,746.0,20976.777170024998,28.119,38.025,28366.65,7389.8728,0.35228799999999993,1.0
42,SBRY.L,GBp,6701.0,30871.436,4.607,336.4,29984.2565,-887.1795,-0.028739999999999988,75.18
43,SRE,USD,371.0,29459.71776188277,79.4062,92.8626,34452.0246,4992.3068,0.16946299999999992,1.0
44,SYY,USD,360.0,31477.9865,87.4389,84.0662,30263.832,-1214.1545,-0.03857200000000005,1.0
45,TSN,USD,519.0,29943.734930898878,57.6951,61.33,31830.27,1886.5351,0.063002,1.0
46,UU.L,GBp,1661.0,28673.8171,17.263,1312.5,28997.905,324.0879,0.011301999999999923,75.18
47,WEC,USD,254.0,29523.9745,116.2361,115.59,29359.86,-164.1145,-0.005558999999999981,1.0
48,WMT,USD,236.0,26734.76469533074,113.2829,124.0853,29284.1308,2549.3661,0.09535800000000005,1.0
49,XEL,USD,348.0,22731.867646231065,65.3215,81.4976,28361.1648,5629.2972,0.24763800000000002,1.0
