,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,91.0,13592.843799999999,149.3719,134.7492,12262.1772,-1330.6666,-0.09789499999999995,1.0
1,ABBV,USD,101.0,10301.753534675025,101.9976,142.7517,14417.9217,4116.1682,0.399559,1.0
2,ABF.L,GBp,839.0,20408.1574,24.3244,1932.6494,19922.507,-485.6504,-0.023797999999999986,81.39
3,AEP,USD,263.0,20791.919054730068,79.0567,81.2074,21357.5462,565.6271,0.027204999999999924,1.0
4,AES,USD,1150.0,26604.342767787333,23.1342,20.7581,23871.815,-2732.5278,-0.10270900000000005,1.0
5,AMGN,USD,59.0,12746.57033586006,216.0436,222.51,13128.09,381.5197,0.02993099999999993,1.0
6,AZN.L,GBp,96.0,11635.520806363636,121.2033,11263.292,13285.1214,1649.6006,0.14177299999999993,81.39
7,BAYN.DE,EUR,200.0,11546.6253,57.7331,56.2094,12144.1936,597.5683,0.05175299999999994,0.9257
8,BMY,USD,237.0,13334.975455088434,56.2657,60.1639,14258.8443,923.8688,0.06928200000000007,1.0
9,BSX,USD,293.0,13684.087210752688,46.7034,49.72,14567.96,883.8728,0.06459100000000007,1.0
10,CAG,USD,908.0,26421.097127868852,29.0981,31.7373,28817.4684,2396.3713,0.0907,1.0
11,CAH,USD,251.0,15182.021356726382,60.4861,73.0024,18323.6024,3141.581,0.20692899999999992,1.0
12,CI,USD,62.0,14571.321921266968,235.0213,247.7368,15359.6816,788.3597,0.05410399999999993,1.0
13,CLX,USD,150.0,20885.1443,139.2343,139.3352,20900.28,15.1357,0.0007250000000000867,1.0
14,CNA.L,GBp,21219.0,24506.376213794367,1.1549,108.1367,28192.0707,3685.6945,0.15042299999999997,81.39
15,COO,USD,152.0,13606.6641,89.5175,92.0879,13997.3608,390.6967,0.028713999999999906,1.0
16,CPB,USD,527.0,21270.275546293567,40.3611,48.2793,25443.1911,4172.9156,0.19618399999999991,1.0
17,CTEC.L,GBp,5110.0,14951.8629,2.926,228.8237,14366.496,-585.3669,-0.03915000000000002,81.39
18,DGX,USD,116.0,16132.512494623657,139.0734,133.7164,15511.1024,-621.4101,-0.03851899999999997,1.0
19,DUK,USD,262.0,23096.241085614034,88.1536,84.5936,22163.5232,-932.7179,-0.040383999999999975,1.0
20,ED,USD,292.0,22424.531901220747,76.7963,85.7868,25049.7456,2625.2137,0.11706900000000009,1.0
21,EIX,USD,491.0,27198.073499797978,55.3932,60.8387,29871.8017,2673.7282,0.098306,1.0
22,ETR,USD,522.0,25137.974387731403,48.157,48.141,25129.602,-8.3724,-0.00033199999999999896,1.0
23,EXC,USD,583.0,22233.69586364865,38.1367,37.3863,21796.2129,-437.483,-0.019676999999999945,1.0
24,FE,USD,714.0,24486.267753173175,34.2945,35.121,25076.394,590.1262,0.02410000000000001,1.0
25,GILD,USD,262.0,15537.081262629757,59.3018,75.19,19699.78,4162.6987,0.2679210000000001,1.0
