,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,139.0,20242.9713,145.6329,144.4715,20081.5385,-161.4328,-0.007974999999999954,1.0
1,ABBV,USD,123.0,22740.728225610055,184.884,225.7458,27766.7334,5026.0052,0.2210129999999999,1.0
2,ADM,USD,554.0,29962.730300000003,54.0844,57.4371,31820.1534,1857.4231,0.06198999999999999,1.0
3,AEE,USD,314.0,27330.729842930836,87.0405,102.0274,32036.6036,4705.8738,0.17218299999999997,1.0
4,AEP,USD,260.0,22438.27464998437,86.3011,119.9516,31187.416,8749.1414,0.38992000000000004,1.0
5,AMGN,USD,68.0,19914.7569,292.8641,331.3937,22534.7716,2620.0147,0.13156100000000004,1.0
6,BATS.L,GBp,498.0,19338.10437828829,38.8315,4181.813,27201.4482,7863.3438,0.40662599999999993,76.55999999999999
7,BIIB,USD,132.0,19731.2716,149.4793,168.18,22199.76,2468.4884,0.12510599999999994,1.0
8,CAH,USD,132.0,13282.135895664504,100.6222,206.8815,27308.358,14026.2221,1.056022,1.0
9,CI,USD,78.0,20436.1123,262.0014,266.6252,20796.7656,360.6533,0.017648000000000108,1.0
10,CMS,USD,388.0,25961.913220525345,66.9121,72.9541,28306.1908,2344.2776,0.09029799999999999,1.0
11,CNA.L,GBp,12134.0,22166.44281772522,1.8268,164.4217,26059.2073,3892.7645,0.17561800000000005,76.55999999999999
12,CNP,USD,868.0,28270.579025201598,32.5698,39.3728,34175.5904,5905.0114,0.208874,1.0
13,CVS,USD,430.0,26948.082242869557,62.67,75.4195,32430.385,5482.3028,0.20343899999999993,1.0
14,D,USD,527.0,26319.10881242696,49.9414,59.5167,31365.3009,5046.1921,0.1917310000000001,1.0
15,DGX,USD,127.0,22431.6609,176.6273,185.9458,23615.1166,1183.4557,0.05275800000000008,1.0
16,DUK,USD,265.0,25517.577716174936,96.2927,121.5051,32198.8515,6681.2738,0.2618309999999999,1.0
17,ES,USD,497.0,31992.81976329897,64.3719,62.1876,30907.2372,-1085.5826,-0.03393299999999999,1.0
18,ETR,USD,377.0,20858.71574245384,55.3282,92.7401,34963.0177,14104.302,0.6761809999999999,1.0
19,EVRG,USD,520.0,35319.51425066162,67.9221,74.3978,38686.856,3367.3417,0.09533999999999998,1.0
20,EXC,USD,770.0,29689.234836629374,38.5574,45.0245,34668.865,4979.6302,0.16772699999999996,1.0
21,FE,USD,800.0,32077.45048366245,40.0968,46.129,36903.2,4825.7495,0.15044100000000005,1.0
22,GILD,USD,236.0,18778.293538825757,79.569,123.4687,29138.6132,10360.3197,0.5517190000000001,1.0
23,GSK.L,GBp,863.0,20302.4361,23.5254,1760.3602,19843.1407,-459.2954,-0.02262200000000003,76.55999999999999
24,HCA,USD,61.0,21244.91700519057,348.2773,474.8663,28966.8443,7721.9273,0.363472,1.0
25,INCY,USD,268.0,23070.1185816273,86.0825,101.76,27271.68,4201.5614,0.1821219999999999,1.0
26,IQV,USD,99.0,20905.925,211.171,217.11,21493.89,587.965,0.028124000000000038,1.0
27,JNJ,USD,170.0,27265.2699275805,160.3839,200.7217,34122.689,6857.4191,0.25150800000000006,1.0
28,KR,USD,469.0,27347.952654616107,58.3112,65.5712,30752.8928,3404.9401,0.12450399999999995,1.0
29,LNT,USD,451.0,29819.6478,66.119,66.9258,30183.5358,363.888,0.012202000000000046,1.0
30,MDT,USD,255.0,21910.13170469545,85.9221,97.8261,24945.6555,3035.5238,0.138544,1.0
31,MNST,USD,479.0,29656.97333907285,61.9143,72.22,34593.38,4936.4067,0.1664509999999999,1.0
32,MO,USD,694.0,29755.918501946602,42.876,56.1928,38997.8032,9241.8847,0.310589,1.0
33,NEE,USD,373.0,30090.5034,80.6716,83.1659,31020.8807,930.3773,0.03091899999999992,1.0
34,NG.L,GBp,1951.0,29355.5266,15.0464,1139.5,29038.1988,-317.3278,-0.010809999999999986,76.55999999999999
35,NI,USD,735.0,26871.47026583424,36.5598,42.1111,30951.6585,4080.1882,0.15184200000000003,1.0
36,NRG,USD,201.0,17772.259589482463,88.4192,159.9606,32152.0806,14379.821,0.809116,1.0
37,PFE,USD,964.0,23186.649318168675,24.0525,23.998,23134.072,-52.5773,-0.0022659999999999902,1.0
