,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,105.0,14121.887456171737,134.4942,148.0463,15544.8615,1422.974,0.10076299999999994,1.0
1,ABF.L,GBp,862.0,21582.227992096774,25.0374,2361.3667,25887.0418,4304.8138,0.19945999999999997,78.63
2,ABT,USD,149.0,15587.4874,104.614,106.9356,15933.4044,345.917,0.02219199999999999,1.0
3,AMGN,USD,64.0,14215.753254054052,222.1211,290.2381,18575.2384,4359.4851,0.3066660000000001,1.0
4,BSX,USD,304.0,15058.691098286696,49.5352,58.42,17759.68,2700.9889,0.17936299999999994,1.0
5,CAH,USD,204.0,13657.811855084485,66.9501,101.7158,20750.0232,7092.2113,0.5192779999999999,1.0
6,CHD,USD,270.0,24747.894137179588,91.6589,91.8837,24808.599,60.7049,0.0024530000000000385,1.0
7,CI,USD,50.0,13049.487890440598,260.9898,300.6882,15034.41,1984.9221,0.152107,1.0
8,CL,USD,348.0,26026.1302,74.7877,75.869,26402.412,376.2818,0.014458000000000082,1.0
9,CNA.L,GBp,13902.0,17667.972692749296,1.2709,155.3777,27471.2042,9803.2315,0.5548519999999999,78.63
10,CNC,USD,194.0,13551.547992468619,69.8533,76.76,14891.44,1339.892,0.0988739999999999,1.0
11,COO,USD,166.0,15498.3028,93.3633,93.3925,15503.155,4.8522,0.0003130000000000077,1.0
12,COST,USD,46.0,23576.285066666667,512.5279,653.5402,30062.8492,6486.5641,0.275131,1.0
13,CVS,USD,191.0,14112.5534,73.8877,73.6587,14068.8117,-43.7417,-0.003098999999999963,1.0
14,DUK,USD,267.0,21950.953615384613,82.2133,91.3794,24398.2998,2447.3462,0.11149199999999992,1.0
15,ED,USD,287.0,23830.71206410256,83.0338,86.9094,24942.9978,1112.2857,0.04667500000000002,1.0
16,EIX,USD,417.0,25629.55004907749,61.4618,65.2214,27197.3238,1567.7738,0.06116999999999995,1.0
