,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,143.0,26438.407611888113,184.884,179.7636,25706.1948,-732.2128,-0.027695000000000025,1.0
1,ABT,USD,210.0,23673.931970833335,112.733,133.2872,27990.312,4316.38,0.182326,1.0
2,AEE,USD,341.0,29424.76201328051,86.2896,94.0376,32066.8216,2642.0596,0.08979099999999995,1.0
3,AEP,USD,287.0,23955.894506316745,83.47,101.3054,29074.6498,5118.7553,0.21367399999999992,1.0
4,ATO,USD,214.0,32579.2075,152.2393,151.5953,32441.3942,-137.8133,-0.004229999999999956,1.0
5,BATS.L,GBp,589.0,21819.320285360795,37.0447,3461.4851,27971.1171,6151.7968,0.2819419999999999,72.89
6,BMY,USD,588.0,30505.400410576945,51.8799,44.0871,25923.2148,-4582.1856,-0.150208,1.0
7,BSX,USD,261.0,17309.360247288318,66.3194,107.41,28034.01,10724.6498,0.619586,1.0
8,CAH,USD,234.0,23110.35436379192,98.7622,166.1259,38873.4606,15763.1062,0.68208,1.0
9,CI,USD,83.0,27007.570699999997,325.3924,325.2894,26999.0202,-8.5505,-0.0003170000000000117,1.0
10,CMS,USD,391.0,25883.213546602445,66.1975,67.7521,26491.0711,607.8576,0.02348400000000006,1.0
11,CNA.L,GBp,11470.0,20234.798556627702,1.7641,161.5048,25414.4609,5179.6623,0.25601300000000005,72.89
12,CNP,USD,899.0,28431.79596659412,31.626,36.1279,32478.9821,4047.1861,0.14234799999999992,1.0
13,COST,USD,22.0,23149.6189,1052.2554,985.827,21688.194,-1461.4249,-0.06313000000000002,1.0
14,CVS,USD,500.0,31214.613499999996,62.4292,67.1302,33565.1,2350.4865,0.07530100000000006,1.0
15,D,USD,474.0,22966.20671553415,48.4519,54.6714,25914.2436,2948.0369,0.12836399999999992,1.0
16,DGX,USD,172.0,30009.5472,174.4741,176.4481,30349.0732,339.526,0.011314000000000046,1.0
17,DTE,USD,239.0,29006.43076195506,121.3658,129.2112,30881.4768,1875.046,0.064643,1.0
18,DUK,USD,235.0,21420.42292569317,91.1507,115.0011,27025.2585,5604.8356,0.2616590000000001,1.0
19,ED,USD,260.0,27602.16349264706,106.1622,97.9359,25463.334,-2138.8295,-0.077488,1.0
20,ES,USD,433.0,27364.1856,63.1967,61.5565,26653.9645,-710.2211,-0.025954000000000033,1.0
21,ETR,USD,384.0,19471.535932090977,50.7071,81.488,31291.392,11819.8561,0.6070329999999999,1.0
22,EVRG,USD,512.0,34289.35912287334,66.9714,67.1027,34356.5824,67.2233,0.0019610000000001016,1.0
23,EXC,USD,748.0,27731.69217439803,37.0745,42.302,31641.896,3910.2038,0.14100000000000001,1.0
24,FE,USD,692.0,26560.406321229053,38.3821,39.0873,27048.4116,488.0053,0.018372999999999973,1.0
25,GILD,USD,311.0,24745.971570232246,79.569,108.7652,33825.9772,9080.0056,0.36692900000000006,1.0
26,HCA,USD,77.0,26583.03915063291,345.2343,381.2807,29358.6139,2775.5747,0.10441100000000003,1.0
27,IMB.L,GBp,716.0,19933.93497129276,27.8407,2875.9265,28250.2864,8316.3514,0.417195,72.89
28,JNJ,USD,171.0,27173.714025,158.9106,149.8835,25630.0785,-1543.6355,-0.05680600000000002,1.0
29,KO,USD,385.0,23764.192666666666,61.7252,69.2457,26659.5945,2895.4018,0.12183799999999989,1.0
30,KR,USD,496.0,28298.669444480867,57.0538,70.6345,35034.712,6736.0426,0.23803299999999994,1.0
31,LNT,USD,473.0,28648.052,60.5667,59.0702,27940.2046,-707.8474,-0.024707999999999952,1.0
32,MDT,USD,272.0,23270.380956806537,85.5529,85.1867,23170.7824,-99.5986,-0.0042799999999999505,1.0
33,MNST,USD,446.0,26915.5687,60.3488,62.64,27937.44,1021.8713,0.037965999999999944,1.0
34,MO,USD,663.0,26081.796137657282,39.3391,55.7268,36946.8684,10865.0723,0.4165749999999999,1.0
35,NG.L,GBp,1644.0,23211.0947,14.1187,1061.3499,23938.2526,727.1579,0.031325999999999965,72.89
36,NI,USD,785.0,28357.945787970268,36.1248,39.5365,31036.1525,2678.2067,0.09444199999999991,1.0
37,NRG,USD,180.0,10852.659890350686,60.2926,159.2502,28665.036,17812.3761,1.641289,1.0
38,PEG,USD,278.0,17062.925861813896,61.3774,82.1948,22850.1544,5787.2285,0.33916999999999997,1.0
39,PM,USD,195.0,17687.394317368813,90.7046,177.2216,34558.212,16870.8177,0.9538329999999999,1.0
40,PPL,USD,908.0,23928.655459369544,26.3531,33.1112,30064.9696,6136.3141,0.2564439999999999,1.0
41,SO,USD,288.0,19930.602089925324,69.2035,89.66,25822.08,5891.4779,0.29559899999999995,1.0
42,SRE,USD,297.0,22442.237,75.5631,74.1651,22027.0347,-415.2023,-0.01850099999999999,1.0
43,TAP,USD,481.0,24431.5978,50.7933,46.6654,22446.0574,-1985.5404,-0.08126900000000004,1.0
44,UU.L,GBp,1503.0,23599.3656,15.7015,1141.3303,23534.3592,-65.0064,-0.002754000000000034,72.89
45,WEC,USD,281.0,25612.5382139936,91.1478,101.6708,28569.4948,2956.9566,0.11545000000000005,1.0
46,WMT,USD,280.0,17646.85767325491,63.0245,97.1543,27203.204,9556.3463,0.5415319999999999,1.0
47,XEL,USD,477.0,30452.437672879878,63.8416,66.5613,31749.7401,1297.3024,0.04260100000000011,1.0
