,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,119.0,21712.1179,182.4548,189.3735,22535.4465,823.3286,0.037919999999999954,1.0
1,ABT,USD,184.0,20274.753670833335,110.1889,128.8878,23715.3552,3440.6015,0.16969900000000004,1.0
2,AEE,USD,293.0,24521.273592975012,83.6904,94.4687,27679.3291,3158.0555,0.1287879999999999,1.0
3,AEP,USD,294.0,24022.920255867568,81.7106,99.7614,29329.8516,5306.9313,0.22091100000000008,1.0
4,BATS.L,GBp,708.0,26169.69320756757,36.9628,3027.5801,27064.7312,895.038,0.03420299999999998,79.2
5,BDX,USD,134.0,24863.3733,185.5476,173.9997,23315.9598,-1547.4135,-0.06223699999999999,1.0
6,BMY,USD,569.0,29674.436457246375,52.1519,51.802,29475.338,-199.0985,-0.006708999999999965,1.0
7,BSX,USD,280.0,16890.728187528293,60.324,105.67,29587.6,12696.8718,0.7517069999999999,1.0
8,CAH,USD,236.0,21686.4607043753,91.8918,124.8757,29470.6652,7784.2045,0.358943,1.0
9,CL,USD,238.0,20805.65808548387,87.4187,84.7907,20180.1866,-625.4715,-0.030062000000000033,1.0
10,CLX,USD,172.0,26411.479418867926,153.5551,143.3318,24653.0696,-1758.4098,-0.066577,1.0
11,CMS,USD,421.0,27715.786586534217,65.8332,68.0898,28665.8058,950.0192,0.03427800000000003,1.0
12,CNA.L,GBp,12123.0,21246.1353,1.7525,135.8365,20792.2461,-453.8892,-0.02133700000000005,79.2
13,CNP,USD,834.0,26032.9755,31.2146,33.1053,27609.8202,1576.8447,0.06057099999999993,1.0
14,COST,USD,25.0,16041.881307263036,641.6753,1056.7487,26418.7175,10376.8362,0.6468590000000001,1.0
15,D,USD,531.0,25460.510738806668,47.9482,52.5762,27917.9622,2457.4515,0.09652100000000008,1.0
16,DGX,USD,160.0,25575.0535,159.8441,167.8856,26861.696,1286.6425,0.05030800000000002,1.0
17,DTE,USD,236.0,28557.282586614176,121.0054,125.1403,29533.1108,975.8282,0.03417099999999995,1.0
18,DUK,USD,236.0,20420.65339010187,86.5282,107.9669,25480.1884,5059.535,0.247765,1.0
19,ES,USD,434.0,23805.202,54.8507,59.2056,25695.2304,1890.0284,0.07939600000000002,1.0
20,ETR,USD,387.0,18523.499196739376,47.8643,84.9895,32890.9365,14367.4373,0.7756339999999999,1.0
21,EXC,USD,717.0,25907.587799999998,36.1333,40.8046,29256.8982,3349.3104,0.12928000000000006,1.0
22,FE,USD,686.0,26080.3343,38.018,39.0687,26801.1282,720.7939,0.02763699999999991,1.0
23,GILD,USD,338.0,25571.634715819207,75.6557,104.131,35196.278,9624.6433,0.37637999999999994,1.0
24,GIS,USD,411.0,27006.919874177216,65.7103,54.3095,22321.2045,-4685.7154,-0.17350100000000002,1.0
25,HLN.L,GBp,5110.0,23736.7048,4.6451,390.377,25187.2029,1450.4981,0.06111899999999992,79.2
26,IMB.L,GBp,824.0,22031.521448744857,26.7373,2776.0254,28881.8804,6850.359,0.31093400000000004,79.2
27,ISRG,USD,44.0,15929.999744482171,362.0454,608.48,26773.12,10843.1203,0.6806730000000001,1.0
28,KMB,USD,204.0,25999.485120461963,127.4485,130.8884,26701.2336,701.7485,0.026990999999999987,1.0
29,KO,USD,333.0,20152.7465,60.5188,67.5971,22509.8343,2357.0878,0.11695999999999995,1.0
30,KR,USD,471.0,26078.789310857144,55.369,64.1395,30209.7045,4130.9152,0.15840100000000001,1.0
31,MDT,USD,250.0,21268.496941896025,85.074,83.6568,20914.2,-354.2969,-0.01665799999999995,1.0
32,MO,USD,715.0,28065.519202433254,39.2525,48.9524,35000.966,6935.4468,0.24711499999999997,1.0
33,NEE,USD,315.0,22988.248436617167,72.9786,66.5174,20952.981,-2035.2674,-0.08853599999999995,1.0
34,NI,USD,819.0,29345.421122727275,35.8308,39.0242,31960.8198,2615.3987,0.08912399999999998,1.0
35,NRG,USD,296.0,15905.243011451874,53.7339,111.0315,32865.324,16960.081,1.0663209999999999,1.0
36,PEG,USD,316.0,18413.4917932435,58.2705,82.4564,26056.2224,7642.7306,0.41506299999999996,1.0
37,PFE,USD,1076.0,25978.3192,24.1434,24.1379,25972.3804,-5.9388,-0.00022800000000000598,1.0
38,PG,USD,142.0,22823.399808383234,160.7282,162.0431,23010.1202,186.7204,0.008180999999999994,1.0
39,PM,USD,237.0,21496.98693957132,90.7046,143.4079,33987.6723,12490.6854,0.581043,1.0
40,PPL,USD,875.0,21944.465612107455,25.0794,33.0623,28929.5125,6985.0469,0.31830500000000006,1.0
41,SO,USD,308.0,20615.89877918086,66.9347,83.732,25789.456,5173.5572,0.2509509999999999,1.0
42,SRE,USD,314.0,23169.985159532174,73.7898,82.0628,25767.7192,2597.734,0.1121160000000001,1.0
43,SYK,USD,53.0,18590.71376197779,350.7682,383.921,20347.813,1757.0992,0.0945149999999999,1.0
44,TSCO.L,GBp,5732.0,26770.4736,4.6704,380.7614,27557.1256,786.652,0.02937499999999993,79.2
45,TSN,USD,367.0,22588.662132951948,61.5495,55.1754,20249.3718,-2339.2903,-0.10356100000000001,1.0
46,ULVR.L,GBp,353.0,21701.6135,61.4777,4704.6392,20968.9096,-732.7039,-0.03376299999999999,79.2
47,WEC,USD,278.0,24843.832472668804,89.3663,100.1943,27854.0154,3010.1829,0.12116400000000005,1.0
48,WMT,USD,303.0,16260.79727645224,53.666,102.803,31149.309,14888.5117,0.915608,1.0
49,XEL,USD,423.0,26722.946781313043,63.1748,66.3965,28085.7195,1362.7727,0.05099699999999996,1.0
