,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,104.0,13074.691426415095,125.7182,142.1923,14787.9992,1713.3078,0.13104000000000005,1.0
1,ABBV,USD,199.0,17404.21462180851,87.4584,94.5086,18807.2114,1402.9968,0.0806119999999999,1.0
2,ADM,USD,475.0,23779.45572580645,50.062,53.5567,25439.4325,1659.9768,0.06980699999999995,1.0
3,AEE,USD,264.0,19455.142060869566,73.6937,71.0492,18756.9888,-698.1533,-0.035884999999999945,1.0
4,AES,USD,1170.0,26479.93185436893,22.6324,21.5153,25172.901,-1307.0309,-0.04935800000000001,1.0
5,BMY,USD,275.0,14254.13145703125,51.8332,53.3808,14679.72,425.5885,0.029857000000000022,1.0
6,CI,USD,69.0,15441.919783333335,223.7959,213.675,14743.575,-698.3448,-0.04522400000000004,1.0
7,CNC,USD,171.0,12428.7263,72.6826,73.09,12498.39,69.6637,0.005605000000000082,1.0
8,CNP,USD,1110.0,22474.318063848146,20.2471,21.8901,24298.011,1823.6929,0.08114700000000008,1.0
9,COO,USD,164.0,16020.539183720932,97.6862,96.8828,15888.7792,-131.76,-0.008224000000000009,1.0
10,COST,USD,52.0,18795.7378,361.4565,371.8925,19338.41,542.6722,0.02887200000000001,1.0
11,CVS,USD,225.0,14400.317419213974,64.0014,71.5658,16102.305,1701.9876,0.11819099999999993,1.0
12,DGE.L,GBp,393.0,19016.3274,48.3876,3483.5889,19099.476,83.1486,0.00437299999999996,71.67999999999999
13,DHR,USD,63.0,13852.944800000001,219.888,232.7211,14661.4293,808.4845,0.058362000000000025,1.0
14,DTE,USD,268.0,26125.4209,97.4829,95.0977,25486.1836,-639.2373,-0.024468000000000045,1.0
15,DUK,USD,287.0,22970.270008,80.0358,82.5098,23680.3126,710.0426,0.03091099999999991,1.0
16,ED,USD,299.0,19462.6358,65.0924,62.216,18602.584,-860.0518,-0.044189000000000034,1.0
17,EL,USD,74.0,20335.84629638554,274.8087,281.5543,20835.0182,499.1719,0.024547000000000097,1.0
18,ETR,USD,496.0,20919.7547,42.1769,42.6681,21163.3776,243.6229,0.011646000000000045,1.0
19,EXC,USD,909.0,24225.142670454545,26.6503,26.6477,24222.7593,-2.3834,-9.80000000000425e-05,1.0
20,FE,USD,651.0,18645.059511634758,28.6406,30.4446,19819.4346,1174.3751,0.06298800000000004,1.0
21,HCA,USD,91.0,16521.145500000002,181.551,198.0795,18025.2345,1504.089,0.09104099999999993,1.0
22,HSY,USD,148.0,22006.213799999998,148.6906,151.7835,22463.958,457.7442,0.02080100000000007,1.0
23,IQV,USD,65.0,15139.974830882353,232.9227,242.31,15750.15,610.1752,0.04030200000000006,1.0
