,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,88.0,11063.200437735848,125.7182,167.5789,14746.9432,3683.7428,0.33297200000000005,1.0
1,ABBV,USD,159.0,13905.880024460066,87.4584,100.9271,16047.4089,2141.5289,0.15400100000000005,1.0
2,ADM,USD,514.0,25912.26205699724,50.413,53.0305,27257.677,1345.4149,0.051921000000000106,1.0
3,AES,USD,1365.0,30475.92435436893,22.3267,20.3105,27723.8325,-2752.0919,-0.09030400000000005,1.0
4,BMY,USD,225.0,11662.471192116476,51.8332,55.7034,12533.265,870.7938,0.0746659999999999,1.0
5,CAH,USD,194.0,10407.3808,53.6463,46.5285,9026.529,-1380.8518,-0.13268000000000002,1.0
6,CI,USD,55.0,12308.77663888889,223.7959,193.9156,10665.358,-1643.4186,-0.13351599999999997,1.0
7,CNC,USD,147.0,10684.343661403509,72.6826,63.56,9343.32,-1341.0237,-0.12551299999999999,1.0
8,CNP,USD,1321.0,27178.785163848144,20.5744,22.9307,30291.4547,3112.6695,0.1145259999999999,1.0
9,COO,USD,137.0,13383.011391279071,97.6862,111.6474,15295.6938,1912.6824,0.14291900000000002,1.0
10,COST,USD,68.0,25033.3243,368.1371,428.9197,29166.5396,4133.2153,0.16510899999999995,1.0
11,CVS,USD,189.0,12096.26663213974,64.0014,71.8616,13581.8424,1485.5758,0.12281300000000006,1.0
12,DGE.L,GBp,532.0,25774.540099999995,48.4484,3514.5452,25665.5875,-108.9526,-0.004226999999999981,72.85000000000001
13,DGX,USD,78.0,10340.0804,132.5651,136.3959,10638.8802,298.7998,0.02889800000000009,1.0
14,DHR,USD,39.0,8575.632495238096,219.888,276.9697,10801.8183,2226.1858,0.2595940000000001,1.0
15,DUK,USD,330.0,26614.497008,80.65,88.4366,29184.078,2569.581,0.09654800000000008,1.0
16,EL,USD,93.0,26089.77939638554,280.5353,312.2256,29036.9808,2947.2014,0.11296400000000006,1.0
17,EW,USD,99.0,10562.962400917431,106.6966,117.02,11584.98,1022.0176,0.09675499999999992,1.0
18,EXC,USD,1081.0,29067.229570454547,26.8892,29.745,32154.345,3087.1154,0.10620600000000002,1.0
19,FE,USD,994.0,29435.032211634756,29.6127,32.4666,32271.8004,2836.7682,0.09637399999999996,1.0
20,GILD,USD,186.0,10903.7969,58.6226,59.8891,11139.3726,235.5757,0.021603999999999957,1.0
21,HCA,USD,58.0,10529.96086813187,181.551,242.221,14048.818,3518.8571,0.33417600000000003,1.0
22,HSY,USD,170.0,25446.092,149.6829,157.2321,26729.457,1283.365,0.05043500000000001,1.0
23,IQV,USD,50.0,11646.134485294117,232.9227,258.71,12935.5,1289.3655,0.11071199999999992,1.0
