,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABF.L,GBp,775.0,19844.6691,25.606,2089.1624,20811.065,966.3959,0.04869900000000005,77.8
1,AES,USD,939.0,18643.408060018297,19.8545,18.9746,17817.1494,-826.2587,-0.04431700000000005,1.0
2,BDX,USD,96.0,17953.1252,187.0117,208.9302,20057.2992,2104.174,0.11720400000000009,1.0
3,BIIB,USD,70.0,20032.3123,286.1759,277.0,19390.0,-642.3123,-0.03206399999999998,1.0
4,BSX,USD,376.0,17910.18138830253,47.6335,52.17,19615.92,1705.7386,0.09523799999999993,1.0
5,CAG,USD,713.0,20839.22365804247,29.2275,28.4422,20279.2886,-559.9351,-0.026869000000000032,1.0
6,CAH,USD,220.0,13767.13869360673,62.5779,89.0275,19586.05,5818.9113,0.4226669999999999,1.0
7,CCH.L,GBp,828.0,23288.85081090909,28.1266,2394.5583,25484.5022,2195.6514,0.09427999999999992,77.8
8,CHD,USD,212.0,19269.95313884297,90.896,94.9385,20126.962,857.0089,0.0444739999999999,1.0
9,CI,USD,62.0,16552.8415,266.9813,277.4593,17202.4766,649.6351,0.03924599999999989,1.0
10,CL,USD,248.0,17587.30333245033,70.9165,72.6341,18013.2568,425.9535,0.02421999999999991,1.0
11,CLX,USD,139.0,19353.6490282441,139.2349,138.914,19309.046,-44.603,-0.0023050000000000015,1.0
12,CNA.L,GBp,15145.0,17491.35528337413,1.1549,125.8395,24496.6482,7005.2929,0.4005320000000001,77.8
13,CNP,USD,649.0,17914.5259,27.6033,28.7297,18645.5753,731.0494,0.04080700000000004,1.0
14,COO,USD,232.0,20694.332889270387,89.1997,96.7325,22441.94,1747.6071,0.084449,1.0
15,COST,USD,40.0,19774.4581,494.3615,542.5771,21703.084,1928.6259,0.09753100000000003,1.0
16,DGX,USD,135.0,17590.7797,130.3021,136.3502,18407.277,816.4973,0.04641600000000001,1.0
17,FE,USD,600.0,21167.9068,35.2798,35.6547,21392.82,224.9132,0.010626000000000024,1.0
18,GILD,USD,288.0,17566.494084072117,60.9948,70.8267,20398.0896,2831.5955,0.161192,1.0
19,GIS,USD,297.0,18013.28317318642,60.6508,68.475,20337.075,2323.7918,0.1290039999999999,1.0
20,HCA,USD,78.0,17491.457830508476,224.2495,279.1664,21774.9792,4283.5214,0.2448920000000001,1.0
21,HOLX,USD,213.0,17713.0655,83.1599,81.32,17321.16,-391.9055,-0.02212499999999995,1.0
22,HSY,USD,95.0,20997.300817391304,221.0242,227.0945,21573.9775,576.6767,0.027463999999999933,1.0
23,ISRG,USD,60.0,18342.7645,305.7127,323.56,19413.6,1070.8355,0.05837899999999996,1.0
24,KHC,USD,661.0,21062.722651350254,31.8649,31.438,20780.518,-282.2047,-0.013396999999999992,1.0
25,KMB,USD,167.0,20032.319074236497,119.954,123.2061,20575.4187,543.0996,0.027111000000000107,1.0
26,KO,USD,322.0,18324.818198134184,56.9094,57.5514,18531.5508,206.7326,0.011281000000000097,1.0
27,KR,USD,514.0,21707.678888063256,42.2328,45.8644,23574.3016,1866.6227,0.08599000000000001,1.0
28,LLY,USD,43.0,12690.366729805106,295.1248,450.4088,19367.5784,6677.2117,0.5261640000000001,1.0
29,LW,USD,240.0,18982.586312401418,79.0941,106.2991,25511.784,6529.1977,0.34395700000000007,1.0
30,MDLZ,USD,356.0,21077.656575716785,59.2069,68.7102,24460.8312,3383.1746,0.16050999999999993,1.0
31,MDT,USD,207.0,15819.8782,76.4245,81.1521,16798.4847,978.6065,0.061860000000000026,1.0
32,MKC,USD,272.0,22017.1936,80.9456,82.8204,22527.1488,509.9552,0.023160999999999987,1.0
33,MKS.L,GBp,8919.0,18328.856684192815,2.055,205.7518,23587.4075,5258.5508,0.2869219999999999,77.8
34,MNST,USD,430.0,19866.10391124038,46.2002,58.38,25103.4,5237.2961,0.26363099999999995,1.0
35,MO,USD,761.0,25797.022459577907,33.8988,36.8244,28023.3684,2226.3459,0.08630399999999994,1.0
36,MRK,USD,225.0,17724.749028614864,78.7767,99.9028,22478.13,4753.381,0.2681770000000001,1.0
37,NRG,USD,571.0,20668.3503,36.1968,35.7175,20394.6925,-273.6578,-0.013241999999999976,1.0
38,PEG,USD,344.0,20026.1862,58.2157,58.989,20292.216,266.0298,0.013282999999999934,1.0
39,PEP,USD,141.0,21690.465752574622,153.8331,173.7554,24499.5114,2809.0456,0.1295059999999999,1.0
40,PG,USD,136.0,19642.55673181818,144.4306,143.9038,19570.9168,-71.6399,-0.003646999999999956,1.0
41,PM,USD,236.0,18779.05981325352,79.5723,86.5615,20428.514,1649.4542,0.08783500000000011,1.0
42,PPL,USD,734.0,17888.7891,24.3716,25.3314,18593.2476,704.4585,0.03938200000000003,1.0
43,SBRY.L,GBp,5729.0,19540.41257476787,3.4108,282.0974,20772.9564,1232.5438,0.06307299999999993,77.8
44,SJM,USD,166.0,22321.876414689264,134.4691,138.0768,22920.7488,598.8724,0.026828999999999992,1.0
45,SO,USD,334.0,21980.471063953486,65.8098,66.1929,22108.4286,127.9575,0.005821000000000076,1.0
46,SRE,USD,311.0,20077.584268833412,64.5581,69.328,21561.008,1483.4237,0.07388499999999998,1.0
47,STZ,USD,95.0,22599.1936,237.8862,256.8309,24398.9355,1799.7419,0.0796380000000001,1.0
48,SYK,USD,70.0,19581.9874,279.7427,283.1022,19817.154,235.1666,0.012008999999999936,1.0
49,TAP,USD,412.0,24343.937973033706,59.0872,63.7774,26276.2888,1932.3508,0.07937799999999995,1.0
50,VRTX,USD,53.0,13977.817150403569,263.7324,357.05,18923.65,4945.8328,0.353834,1.0
51,WMT,USD,624.0,27672.953276027263,44.3477,51.4922,32131.1328,4458.1795,0.16110200000000008,1.0
52,ZBH,USD,151.0,18775.5286,124.3412,137.3547,20740.5597,1965.0311,0.10465999999999998,1.0
