,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,97.0,17933.74502344858,184.884,213.2508,20685.3276,2751.5826,0.15342999999999996,1.0
1,ADM,USD,578.0,31485.29513194946,54.4728,66.072,38189.616,6704.3209,0.21293600000000001,1.0
2,AEE,USD,286.0,24893.594697701334,87.0405,102.5434,29327.4124,4433.8177,0.1781109999999999,1.0
3,AEP,USD,285.0,25598.749240566936,89.8202,118.4633,33762.0405,8163.2913,0.318894,1.0
4,AMGN,USD,73.0,21543.3108,295.1138,327.7589,23926.3997,2383.0889,0.11061900000000002,1.0
5,AZN.L,GBp,125.0,22813.3278,182.5066,14024.5605,23565.9371,752.6093,0.032990000000000075,74.39
6,BATS.L,GBp,584.0,24275.64027828829,41.5679,4338.3872,34058.5848,9782.9445,0.4029940000000001,74.39
7,BIIB,USD,135.0,20436.376018181818,151.3806,168.57,22756.95,2320.574,0.11355099999999996,1.0
8,BMY,USD,387.0,20498.3507,52.9673,56.0421,21688.2927,1189.942,0.058051000000000075,1.0
9,CAH,USD,120.0,12074.66899605864,100.6222,212.9438,25553.256,13478.587,1.1162709999999998,1.0
10,CMS,USD,425.0,28621.267220525344,67.3442,70.7505,30068.9625,1447.6953,0.05058000000000007,1.0
11,CNA.L,GBp,12103.0,22578.024156626194,1.8655,181.3188,29499.9521,6921.9279,0.3065709999999999,74.39
12,CNP,USD,863.0,28381.276061140194,32.8868,39.0944,33738.4672,5357.1911,0.18875700000000006,1.0
13,CVS,USD,357.0,22373.175257452163,62.67,80.6961,28808.5077,6435.3324,0.2876350000000001,1.0
14,D,USD,542.0,27360.942427741807,50.4814,59.7037,32359.4054,4998.463,0.18268700000000004,1.0
15,DTE,USD,238.0,30817.014450190116,129.4833,133.5615,31787.637,970.6225,0.03149599999999997,1.0
16,DUK,USD,262.0,25380.443691315566,96.8719,117.8959,30888.7258,5508.2821,0.21702899999999992,1.0
17,ED,USD,305.0,30289.4922,99.3098,101.7804,31043.022,753.5298,0.024877999999999956,1.0
18,EIX,USD,496.0,29456.8594,59.3888,60.786,30149.856,692.9966,0.023525999999999936,1.0
19,EL,USD,280.0,29829.1073,106.5325,115.2883,32280.724,2451.6167,0.08218900000000007,1.0
