,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,ABBV,USD,162.0,23167.877264585622,143.0116,156.2954,25319.8548,2151.9775,0.09288600000000002,1.0
1,AEP,USD,305.0,24403.635060960958,80.0119,82.6732,25215.326,811.6909,0.033260999999999985,1.0
2,AES,USD,1555.0,26925.1125,17.3152,16.1583,25126.1565,-1798.956,-0.06681400000000004,1.0
3,AMGN,USD,85.0,20892.73879987853,245.7969,294.5846,25039.691,4146.9522,0.198488,1.0
4,AZN.L,GBp,138.0,21104.0351,152.9278,12051.459,21215.7334,111.6983,0.005292999999999992,78.39
5,BSX,USD,314.0,17495.433609305383,55.7179,76.4,23989.6,6494.1664,0.3711930000000001,1.0
6,CAH,USD,197.0,15260.374442459413,77.4638,93.6372,18446.5284,3186.154,0.20878700000000006,1.0
7,CHD,USD,211.0,19663.255294705305,93.1908,104.3603,22020.0233,2356.768,0.11985599999999996,1.0
8,CI,USD,80.0,23449.154144948767,293.1144,308.4934,24679.472,1230.3179,0.05246799999999996,1.0
9,CL,USD,277.0,21076.536698831776,76.0886,92.6621,25667.4017,4590.865,0.21781800000000007,1.0
10,CMS,USD,388.0,21982.721735031846,56.6565,55.8882,21684.6216,-298.1001,-0.013561000000000045,1.0
11,CNP,USD,832.0,24539.3072,29.4944,29.1841,24281.1712,-258.136,-0.010521000000000003,1.0
12,COST,USD,32.0,18197.294024637682,568.6654,877.4536,28078.5152,9881.2212,0.543005,1.0
13,CPB,USD,488.0,20279.4816,41.5563,41.478,20241.264,-38.2176,-0.0018839999999999968,1.0
14,D,USD,546.0,25433.9499,46.5823,45.3159,24742.4814,-691.4685,-0.027186000000000043,1.0
15,DHR,USD,82.0,20695.3747,252.3826,236.7427,19412.9014,-1282.4733,-0.06196900000000005,1.0
16,DTE,USD,195.0,20147.4423,103.3202,103.5661,20195.3895,47.9472,0.0023800000000000487,1.0
17,DUK,USD,273.0,22705.349860547423,83.1698,94.4411,25782.4203,3077.0704,0.13552199999999992,1.0
18,ED,USD,261.0,23216.1277,88.9507,84.1936,21974.5296,-1241.5981,-0.05347999999999997,1.0
19,EIX,USD,378.0,24554.31056732673,64.9585,65.2813,24676.3314,122.0208,0.004969000000000001,1.0
20,ETR,USD,539.0,23271.81544527293,43.1759,50.0106,26955.7134,3683.898,0.15829899999999997,1.0
21,HCA,USD,67.0,20410.969624637684,304.6413,316.2421,21188.2207,777.2511,0.03807999999999989,1.0
22,IMB.L,GBp,872.0,22207.5006,25.4673,2036.9181,22658.4077,450.9071,0.020305000000000017,78.39
23,INCY,USD,331.0,19555.1556,59.079,57.33,18976.23,-578.9256,-0.029603999999999964,1.0
24,ISRG,USD,50.0,16632.388224679486,332.6478,443.76,22188.0,5555.6118,0.3340240000000001,1.0
25,KMB,USD,163.0,20613.189646666666,126.4613,128.9993,21026.8859,413.6963,0.020068999999999892,1.0
26,KO,USD,403.0,24334.4631,60.3833,60.6312,24434.3736,99.9105,0.004105000000000025,1.0
27,KR,USD,504.0,21942.759088944,43.5372,49.9752,25187.5008,3244.7417,0.14787400000000006,1.0
28,LLY,USD,26.0,12802.896783451717,492.4191,903.5253,23491.6578,10688.761,0.8348709999999999,1.0
29,MDT,USD,266.0,20786.587798529414,78.1451,73.4084,19526.6344,-1259.9534,-0.060613999999999946,1.0
30,MKS.L,GBp,6976.0,17473.55436306246,2.5048,295.4618,26293.4241,8819.8697,0.504761,78.39
31,MO,USD,783.0,27618.00222622556,35.272,40.7016,31869.3528,4251.3506,0.15393499999999993,1.0
32,MRK,USD,209.0,19428.51656067829,92.9594,119.2142,24915.7678,5487.2512,0.28243299999999993,1.0
33,NEE,USD,348.0,25210.8808,72.4451,68.5297,23848.3356,-1362.5452,-0.05404600000000004,1.0
34,NI,USD,860.0,23319.922592363266,27.1162,27.1272,23329.392,9.4694,0.00040599999999990644,1.0
35,NRG,USD,405.0,18106.613751013774,44.7077,75.1339,30429.2295,12322.6157,0.680558,1.0
36,PEG,USD,410.0,22024.932539055735,53.7193,70.167,28768.47,6743.5375,0.306179,1.0
37,PG,USD,167.0,25255.00976495327,151.2276,157.9387,26375.7629,1120.7531,0.04437700000000011,1.0
38,PM,USD,281.0,23319.158149540945,82.9863,95.616,26868.096,3548.9379,0.15219000000000005,1.0
39,PPL,USD,935.0,22964.00554869678,24.5604,25.9387,24252.6845,1288.679,0.05611900000000003,1.0
40,SO,USD,368.0,24001.935515035184,65.2227,73.6986,27121.0848,3119.1493,0.12995299999999999,1.0
41,SRE,USD,309.0,22412.7347,72.5331,72.1673,22299.6957,-113.039,-0.00504300000000002,1.0
42,STZ,USD,81.0,20172.0447,249.0376,248.981,20167.461,-4.5837,-0.00022699999999997722,1.0
43,SYK,USD,62.0,20408.7722,329.1737,331.7469,20568.3078,159.5356,0.007816999999999963,1.0
44,TMO,USD,34.0,18064.9341,531.3216,536.9246,18255.4364,190.5023,0.010545000000000027,1.0
45,TSCO.L,GBp,5322.0,21282.67869737926,3.999,310.8505,21104.0485,-178.6302,-0.008392999999999984,78.39
46,TSN,USD,426.0,22954.284835606388,53.8833,52.8421,22510.7346,-443.5502,-0.01932299999999998,1.0
47,ULVR.L,GBp,346.0,20166.1526,58.2837,4626.9141,20422.4044,256.2518,0.012707000000000024,78.39
48,VRTX,USD,52.0,20053.84667755102,385.6509,474.57,24677.64,4623.7933,0.23056900000000002,1.0
49,WMT,USD,400.0,19765.15743873741,49.4129,68.8844,27553.76,7788.6026,0.3940570000000001,1.0
