,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,94.0,11959.808637735849,127.232,152.7612,14359.5528,2399.7442,0.2006509999999999,1.0
1,ABBV,USD,160.0,14205.12584526841,88.782,99.1303,15860.848,1655.7222,0.11655900000000008,1.0
2,ABT,USD,105.0,12234.1688,116.5159,118.7394,12467.637,233.4682,0.01908299999999996,1.0
3,ADM,USD,521.0,26638.12212816884,51.1288,58.8788,30675.8548,4037.7327,0.151578,1.0
4,AES,USD,1024.0,19600.201435973904,19.1408,21.0818,21587.7632,1987.5618,0.10140600000000011,1.0
5,CI,USD,68.0,12694.5848,186.6851,198.6291,13506.7788,812.194,0.06397900000000001,1.0
6,CNA.L,GBp,32216.0,27068.1564,0.8402,65.9817,28520.9506,1452.7942,0.05368200000000001,74.53
7,CNP,USD,968.0,19916.021225287663,20.5744,24.0273,23258.4264,3342.4052,0.1678249999999999,1.0
8,COO,USD,138.0,13581.55679036194,98.4171,104.075,14362.35,780.7932,0.0574889999999999,1.0
9,COST,USD,58.0,21351.953079411764,368.1371,494.9844,28709.0952,7357.1421,0.344565,1.0
10,CVS,USD,245.0,16363.73853213974,66.7908,80.8589,19810.4305,3446.692,0.21062899999999996,1.0
11,DGE.L,GBp,525.0,25446.53536486486,48.4696,3812.1099,26853.0484,1406.513,0.055272999999999906,74.53
12,DGX,USD,106.0,14311.720476363636,135.0162,134.1428,14219.1368,-92.5837,-0.006468999999999947,1.0
13,DHR,USD,54.0,12745.361295238097,236.0252,259.9839,14039.1306,1293.7693,0.10150900000000007,1.0
14,DUK,USD,238.0,19263.348627870964,80.9384,85.2487,20289.1906,1025.842,0.05325399999999991,1.0
15,EIX,USD,467.0,24004.9914,51.4026,52.1917,24373.5239,368.5325,0.015350999999999893,1.0
16,EW,USD,122.0,13085.982900917432,107.2622,116.69,14236.18,1150.1971,0.08789500000000006,1.0
17,EXC,USD,977.0,26400.190906978096,27.0217,33.5574,32785.5798,6385.3889,0.2418689999999999,1.0
18,FE,USD,840.0,24874.675108423737,29.6127,33.1708,27863.472,2988.7969,0.12015500000000001,1.0
19,GILD,USD,294.0,17148.0558,58.3267,56.9264,16736.3616,-411.6942,-0.02400800000000003,1.0
20,GIS,USD,435.0,23013.5671,52.9048,53.7548,23383.338,369.7709,0.016067000000000053,1.0
21,HCA,USD,75.0,14617.225368131869,194.8963,233.5042,17512.815,2895.5896,0.1980949999999999,1.0
22,HSY,USD,157.0,24696.0596,157.2997,158.9065,24948.3205,252.2609,0.010215000000000085,1.0
23,ISRG,USD,41.0,10953.257971428573,267.1526,353.56,14495.96,3542.702,0.3234379999999999,1.0
24,JNJ,USD,98.0,14106.082930879495,143.9396,143.7329,14085.8242,-20.2587,-0.0014359999999999928,1.0
25,KHC,USD,800.0,23753.363699999998,29.6917,30.2329,24186.32,432.9563,0.018226999999999993,1.0
26,KO,USD,476.0,21828.54512821879,45.8583,49.5215,23572.234,1743.6889,0.07988100000000009,1.0
27,KR,USD,628.0,21298.774300493445,33.9152,38.9336,24450.3008,3151.5265,0.14796900000000002,1.0
28,LLY,USD,60.0,13714.883714000001,228.5814,248.5466,14912.796,1197.9123,0.08734400000000009,1.0
29,MDLZ,USD,380.0,20738.0894,54.5739,55.8433,21220.454,482.3646,0.02326000000000006,1.0
30,MDT,USD,122.0,12741.019162195123,104.4346,101.9366,12436.2652,-304.754,-0.023919000000000024,1.0
31,MKS.L,GBp,9879.0,24698.0187,2.5001,236.2446,31314.3755,6616.3568,0.26786599999999994,74.53
32,MO,USD,949.0,32254.86019657757,33.9883,31.7421,30123.2529,-2131.6073,-0.066087,1.0
33,MRK,USD,179.0,13868.2217,77.4761,72.7645,13024.8455,-843.3762,-0.060814000000000035,1.0
34,PEG,USD,393.0,20324.399389521932,51.716,54.5114,21422.9802,1098.5808,0.05405299999999991,1.0
35,PEP,USD,182.0,23572.630235025383,129.5199,142.2529,25890.0278,2317.3976,0.09830899999999998,1.0
36,PFE,USD,405.0,12034.730459024107,29.7154,39.7601,16102.8405,4068.11,0.33803000000000005,1.0
37,PG,USD,174.0,21585.0736,124.0521,132.3984,23037.3216,1452.248,0.06728099999999992,1.0
38,PM,USD,379.0,26930.79735336884,71.0575,77.0552,29203.9208,2273.1234,0.08440599999999998,1.0
39,PPL,USD,839.0,20306.5511438326,24.2033,24.6492,20680.6788,374.1277,0.018423000000000078,1.0
40,SO,USD,404.0,21234.013507992204,52.5594,53.2286,21504.3544,270.3409,0.012731999999999966,1.0
41,SRE,USD,390.0,22294.109146551178,57.1644,54.0829,21092.331,-1201.7781,-0.05390600000000001,1.0
42,STZ,USD,111.0,22666.2884,204.2008,212.2332,23557.8852,891.5968,0.03933600000000004,1.0
43,SYK,USD,52.0,12440.723396491228,239.2447,249.8894,12994.2488,553.5254,0.044492999999999894,1.0
44,SYY,USD,391.0,27924.0494,71.417,67.7925,26506.8675,-1417.1819,-0.05075099999999999,1.0
45,TMO,USD,21.0,11873.777147619046,565.418,624.4934,13114.3614,1240.5843,0.10448100000000005,1.0
46,TSN,USD,397.0,25765.3794530997,64.9002,73.007,28983.779,3218.3995,0.12491199999999991,1.0
47,UNH,USD,32.0,10908.787079512736,340.8996,416.7519,13336.0608,2427.2737,0.2225060000000001,1.0
48,WMT,USD,508.0,22300.432904879563,43.8985,46.1992,23469.1936,1168.7607,0.05241000000000007,1.0
49,ZTS,USD,66.0,11081.214994736843,167.8972,205.924,13590.984,2509.769,0.22648899999999994,1.0
