,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.066427,0.040911,0.05598,0.103461,0.226286,0.298073,0.435427
Portfolio Volatility,0.118356,0.105209,0.092406,0.110387,0.101988,0.09665,0.107383
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.024313,0.099029,0.07604,-0.054367,-0.0006120000000000014,-0.203544,0.02335900000000002
