,v0,v1,net_flow,pnl,return_pct
Utilities,301686.8624,547579.2256,71066.8514,174825.51180000004,0.4690107846753801
Consumer Staples,384083.3588,451243.6375,-91671.51960000006,158831.79830000008,0.413534704539769
Health Care,292371.8525,418165.2177,27286.991799999993,98506.37340000001,0.30816095082778855
