,1-month,3-months,6-months,1-year,2-years,3-years,Total
Portfolio Return,-0.048985,0.064266,0.074818,0.14774,0.316259,0.428885,0.617055
Portfolio Volatility,0.127919,0.108603,0.09512,0.11389,0.105491,0.098191,0.109066
Benchmark Return,-0.09074,-0.058118,-0.02006,0.157828,0.226898,0.501617,0.412068
Benchmark Volatility,0.155467,0.125632,0.114879,0.138232,0.127449,0.119015,0.136925
Alpha,0.041755,0.122384,0.09487799999999999,-0.010087999999999986,0.08936100000000002,-0.07273199999999996,0.20498700000000003
