rebalance_frequency,weighting_method,transaction_cost_bps,is_baseline,average_turnover,average_transaction_cost,observations,cumulative_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,downside_deviation,average_monthly_return,median_monthly_return,best_month,worst_month,positive_month_ratio,matches_main_strategy
monthly,equal_weight,10,True,1.3792349726775959,0.001379234972677596,61,1.1220679716824673,0.15952606658238166,0.13207042880799166,1.2078863377835012,1.9125374890301203,0.8068357000196232,-0.19771815572675056,0.08341068737077671,0.013125112037087109,0.01148926633771668,0.08313581998182305,-0.09493831849562338,0.6557377049180327,True
monthly,equal_weight,20,False,1.3792349726775959,0.002758469945355192,61,0.9525084156212456,0.1406852327549999,0.13215008376712276,1.0645867845450474,1.6606348703201672,0.6852728469631387,-0.20529812815211024,0.08471773974484592,0.011745877064409512,0.010155933004383347,0.0816691533151564,-0.09640498516229004,0.639344262295082,False
monthly,equal_weight,50,False,1.3792349726775959,0.0068961748633879815,61,0.5197954831475273,0.08582794121696402,0.1324255398442213,0.6481222679396109,0.9699852694493347,0.3555711470226655,-0.24138049989610944,0.08848375735199458,0.0076081721463767266,0.006155933004383347,0.0772691533151564,-0.10080498516229004,0.5901639344262295,False
quarterly,equal_weight,10,False,1.5015873015873022,0.001501587301587302,21,1.1660293323965987,0.5552785795013915,0.22503108588003923,2.46756388047384,2.990902664194995,2.86744502988823,-0.19364925001649835,0.1856558510408246,0.03949786997461218,0.04913020579349378,0.15409576421566007,-0.1319134668412479,0.7619047619047619,False
quarterly,equal_weight,20,False,1.5015873015873022,0.003003174603174604,21,1.1010855553635932,0.5284581923250598,0.22493706013637127,2.349360269955847,2.842933651774561,2.6939184982809388,-0.1961671047814858,0.18588481373640073,0.037996282673024885,0.047863539126827115,0.1526290975489934,-0.13338013350791458,0.7619047619047619,False
quarterly,equal_weight,50,False,1.5015873015873022,0.0075079365079365095,21,0.9171881740427295,0.45051662027420347,0.2246650904639455,2.0052809243477143,2.41442810475982,2.211697632291925,-0.20369720240978184,0.18659351230465382,0.03349152076826297,0.04406353912682711,0.1482290975489934,-0.13778013350791457,0.7619047619047619,False
monthly,inverse_volatility,10,False,1.5141037523231569,0.001514103752323157,61,2.1333474765972724,0.25191676199774693,0.13076815916083412,1.9264380841203856,2.793343023575772,1.643158770944604,-0.1533124896098308,0.09018468547241543,0.019597018224325205,0.019462872211754946,0.08968188970582101,-0.08670423224618248,0.7213114754098361,False
monthly,inverse_volatility,20,False,1.5141037523231569,0.003028207504646314,61,1.86092177670775,0.22971495809038878,0.13104685360486734,1.7529223462550703,2.536009940493111,1.4413940046198932,-0.1593699969294422,0.09058125302368578,0.01808291447200205,0.017983499634272447,0.08854437037154103,-0.08860684200836148,0.7213114754098361,False
monthly,inverse_volatility,50,False,1.5141037523231569,0.007570518761615785,61,1.1758145679038758,0.16524545875004448,0.13194934575281153,1.252340114361829,1.7707545908170907,0.9317551353896658,-0.17734858920947916,0.09331923215502957,0.01354060321503258,0.013545381901824945,0.08513181236870108,-0.09431467129489851,0.639344262295082,False
quarterly,inverse_volatility,10,False,1.644943839277141,0.0016449438392771407,21,1.7831749230590637,0.7948292741903407,0.25770881755564956,3.0842145089533286,4.604320736291934,4.13603406705521,-0.19217183932825932,0.17262682591275177,0.05253323252833072,0.05563019968738291,0.1534047022936271,-0.10825210413923289,0.8095238095238095,False
