series,observations,cumulative_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,downside_deviation,average_monthly_return,median_monthly_return,best_month,worst_month,positive_month_ratio
strategy,61,1.1220679716824673,0.15952606658238166,0.13207042880799166,1.2078863377835012,1.9125374890301203,0.8068357000196232,-0.19771815572675056,0.08341068737077671,0.013125112037087109,0.01148926633771668,0.08313581998182305,-0.09493831849562338,0.6557377049180327
equal_weight_universe,60,1.4595177948160303,0.1972090574222869,0.15523564579121157,1.2703851387813891,2.558797724229994,1.1099292707638169,-0.17767713909065042,0.07707098359313728,0.01609243294131766,0.018930722093931037,0.09118897754932227,-0.09718708496350713,0.6
sp500,61,0.7677183071275873,0.11859125969637696,0.15400824575757913,0.7700318844164277,1.257732840538417,0.4787789548454492,-0.24769522239058828,0.09428970594868921,0.01035823389296038,0.019066444295036122,0.09111639173021002,-0.09339567201327437,0.639344262295082
