symbol,gics_sector,sector,composite_score,sector_rank,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,history_rows
NEE,Utilities,Utilities,0.8077322464585601,5.0,0.47438286065920154,0.24165128472725467,1.9630885107630394,868995378.402743,-0.021425480603790428,2.5072365390683005,2.381874712114885,1254
GS,Financials,Financials,0.8009048501784309,12.0,0.7469465620514544,0.2669845721468255,2.797714325008557,2037754737.2253785,-0.02203522123264248,2.332729374346403,21.773579799291813,1254
MO,Consumer Staples,Consumer Staples,0.7854016921087802,9.0,0.20361974460520837,0.20977042371956084,0.9706789975188532,604821130.6276684,-0.017876410014523735,2.014737966354457,1.3301299377537972,1254
CHRW,Industrials,Industrials,0.7790539959322276,14.0,1.0533110887726918,0.39737077330570086,2.6507009562134307,397041054.0688413,-0.023542517508238704,2.7509621997877254,5.101659315553633,1254
EQIX,Real Estate,Real Estate,0.7769259108024544,6.0,0.36983378737598405,0.2601787812941705,1.421460218763314,608230665.249229,-0.016827263280331822,1.9418865386251487,21.245113434869616,1254
M,Consumer Discretionary,Consumer Discretionary,0.7606545143758732,14.0,0.9084178295533631,0.440842000710072,2.0606426522204293,137915702.7487774,-0.03786850202069614,3.1272457059284546,0.628732734861521,1254
NUE,Materials,Materials,0.7602567909061692,5.0,0.8978996929771701,0.30630760215361374,2.9313660081047286,286729103.8240461,-0.027194293415945796,2.404607576276348,5.182891008463882,1254
SDR.L,Financials,Financials,0.7374460554072608,13.0,0.7739992031087168,0.3154237984425897,2.453838952324938,4184025833.818001,-0.018514459405255538,0.29513826627412043,1.7103262530585277,1261
AMD,Information Technology,Information Technology,0.7362739676747854,6.0,2.5558379283064667,0.5872051421042445,4.3525469125621825,8672775223.011005,-0.04274967987646584,5.124165048237007,17.213095918097025,1254
ENR.DE,Industrials,Industrials,0.7278237304415567,15.0,1.6110285297954623,0.4509044577257402,3.5728822418858415,415901570.10493875,-0.04321433712996155,4.942034674540309,8.76815782907806,1275
UNI.MC,Financials,Financials,0.7159151831478288,14.0,0.7114143348286428,0.2571121490973792,2.7669417307822366,16342403.781248804,-0.022032535582919427,2.2272186521218362,0.05973400250819384,1280
NSC,Industrials,Industrials,0.7143538827945335,16.0,0.42933936198315736,0.19929061817981697,2.1543380511558796,404450496.51111805,-0.0166635565485886,2.1844872524840198,6.936402346146403,1256
ORA.PA,Communication Services,Communication Services,0.7069128637801555,5.0,0.4382748743447009,0.2074724737565666,2.112448299329295,89852084.95044722,-0.018109600811772812,2.648812389055132,0.4604960398998852,1282
MS,Financials,Financials,0.6986052186194527,15.0,0.6811323223821948,0.25183526253466304,2.7046741410506105,1236609123.9896848,-0.02435134535203755,2.2944262841569554,4.342431059358853,1254
LLOY.L,Financials,Financials,0.6964088681085184,16.0,0.33797419120453087,0.2608370601973079,1.2957291841461227,22584461164.804176,-0.024724512709646245,2.5869732390184743,2.5222989080430125,1262
MRK,Health Care,Health Care,0.6930507243187061,7.0,0.4461065616791662,0.27980459894063203,1.5943503550984146,1293432865.5948284,-0.02608758750178769,2.5344249282168523,2.823602905339808,1254
BAYN.DE,Health Care,Health Care,0.6877201380643956,8.0,0.674933523893317,0.3803799877171096,1.7743665431612248,138904407.0273901,-0.029046937802617703,2.755046721332616,1.0573869610745317,1275
SEE,Materials,Materials,0.6865836750655518,6.0,0.784283922402639,0.30581155014203354,2.564598760375074,125878469.13835526,-0.021383329245087908,0.17178625848502402,0.0724079105726879,1246
VTR,Real Estate,Real Estate,0.6811765231985324,7.0,0.27696757155779683,0.18876245596130542,1.4672810339709326,269556124.54017985,-0.017099612554555492,2.447069188783564,2.0804981421572983,1255
ALB,Materials,Materials,0.67878691651741,7.0,2.411789615656744,0.6063695367565225,3.9774254303034975,409138934.33907014,-0.06182923466692468,5.4450231226359325,10.619972732817503,1254
SMIN.L,Industrials,Industrials,0.6701141930819619,17.0,0.3917452308588669,0.2233260654350832,1.7541402079317072,3484077899.8695025,-0.015823154645333553,2.2442835412312165,57.117016124334455,1262
BRBY.L,Consumer Discretionary,Consumer Discretionary,0.6645733824346294,15.0,0.6119812734946151,0.415988844635053,1.4711482805061906,1782586566.6220052,-0.03379493440308035,3.4653207344128343,40.655141164080234,1262
LRCX,Information Technology,Information Technology,0.6543257275484943,7.0,2.6820715827264046,0.48293042834237165,5.553743200511193,2410756001.996277,-0.046970702702648984,4.650396928668911,12.051968850640971,1254
ROK,Industrials,Industrials,0.6399188661337297,18.0,0.6520068825246446,0.28010772404831596,2.327700475736183,394494692.544281,-0.02292456021801078,2.5229160493058114,10.202420581355552,1254
EA,Communication Services,Communication Services,0.6389459648402396,6.0,0.39236000754732814,0.21943188231991928,1.7880720130509085,502001633.636675,-0.01633919900652145,0.3928145845020743,0.7961565710982046,1254
BIIB,Health Care,Health Care,0.6227210975337456,9.0,0.533093447792337,0.3251249948897177,1.6396569201736155,227391909.75751647,-0.028727282422597637,2.754560383418956,5.046905568125215,1254
TGT,Consumer Discretionary,Consumer Discretionary,0.6226760977841875,16.0,0.42931681028673174,0.302971578360237,1.4170200802672936,699339046.5980355,-0.029144455000765342,2.333547026372685,3.0396782283674932,1256
ANTO.L,Materials,Materials,0.6048487529925386,8.0,1.1498345667104632,0.43293747075257055,2.6558906179031307,5461287032.398197,-0.04030028137938342,5.221988600817023,188.51378848949454,1261
EN.PA,Industrials,Industrials,0.6011045787915406,19.0,0.4058722208906551,0.21372365850431752,1.899051437407693,34463306.363012634,-0.015704855791211562,1.9740704305903085,1.0190151351853702,1282
SHEL.L,Energy,Energy,0.5983472353077918,4.0,0.32374948815180105,0.21157250060887867,1.5302058973642194,42701349962.07179,-0.023093837832487557,2.5847713130035,84.06968695543884,1261
AAPL,Information Technology,Information Technology,0.596494607116509,8.0,0.2853204547030823,0.23312206569515836,1.2239101170121798,11813427440.29777,-0.021611097745675698,2.187135198863002,5.832214801383365,1254
MNG.L,Financials,Financials,0.5847322790417855,17.0,0.44904603140979016,0.19908558834827056,2.255542629355225,2009799286.2411723,-0.016436657196870725,2.09857024007108,6.253739315411819,1261
FE,Utilities,Utilities,0.5819954756394778,6.0,0.22275922287669103,0.14440636759594888,1.5425858747446275,227939004.16417286,-0.01475178098865355,1.7935060258538884,0.890924104659554,1254
