,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,A,Health Care,USD,"{'total_score': 0.6006553398058251, 'momentum_score': 0.7966019417475727, 'fey_score': 0.23300970873786409, 'trend_score': 0.8543689320388349, 'risk_score': 0.517799352750809, 'liquidity_score': 0.30097087378640774}",0.013706300677921038,131.8881,-2.0,-263.7762,0.2638,1.0
1,ABBV,Health Care,USD,"{'total_score': 0.7982766990291261, 'momentum_score': 0.746116504854369, 'fey_score': 0.9805825242718447, 'trend_score': 0.883495145631068, 'risk_score': 0.49838187702265363, 'liquidity_score': 0.8106796116504854}",0.01821580486508042,92.3531,16.0,1477.6496,1.4776,1.0
2,ABT,,USD,,0.0,97.3151,-120.0,-11677.812,11.6778,1.0
3,ADM,Consumer Staples,USD,"{'total_score': 0.7886893203883496, 'momentum_score': 0.8504854368932039, 'fey_score': 0.6990291262135923, 'trend_score': 1.0, 'risk_score': 0.6375404530744336, 'liquidity_score': 0.41262135922330095}",0.027938506739643654,59.3793,-72.0,-4275.3096,4.2753,1.0
4,AEE,Utilities,USD,"{'total_score': 0.5452184466019417, 'momentum_score': 0.6208737864077669, 'fey_score': 0.47572815533980584, 'trend_score': 0.5145631067961165, 'risk_score': 0.6504854368932039, 'liquidity_score': 0.16990291262135923}",0.019313801837035002,73.6461,-12.0,-883.7532,0.8838,1.0
5,AES,Utilities,USD,"{'total_score': 0.6858252427184465, 'momentum_score': 0.7902912621359223, 'fey_score': 0.7766990291262136, 'trend_score': 0.5825242718446602, 'risk_score': 0.48220064724919093, 'liquidity_score': 0.5242718446601942}",0.024294652749288204,20.9579,-169.0,-3541.8851,3.5419,1.0
6,BMY,Health Care,USD,"{'total_score': 0.6324029126213593, 'momentum_score': 0.5364077669902912, 'fey_score': 0.9902912621359223, 'trend_score': 0.4174757281553398, 'risk_score': 0.4919093851132686, 'liquidity_score': 0.796116504854369}",0.014430745713146351,52.9146,26.0,1375.7796,1.3758,1.0
7,CAG,,USD,,0.0,30.8964,-648.0,-20020.8672,20.0209,1.0
8,CAH,,USD,,0.0,50.069,-270.0,-13518.63,13.5186,1.0
9,CI,Health Care,USD,"{'total_score': 0.7008980582524272, 'momentum_score': 0.5635922330097087, 'fey_score': 0.8543689320388349, 'trend_score': 0.9320388349514563, 'risk_score': 0.5566343042071197, 'liquidity_score': 0.4029126213592233}",0.01599373033807435,233.3704,-3.0,-700.1112,0.7001,1.0
10,CNC,Health Care,USD,"{'total_score': 0.541868932038835, 'momentum_score': 0.3519417475728155, 'fey_score': 0.7669902912621359, 'trend_score': 0.7378640776699029, 'risk_score': 0.3009708737864078, 'liquidity_score': 0.6844660194174756}",0.012364858877220969,72.61,171.0,12416.31,12.4163,1.0
11,CNP,Utilities,USD,"{'total_score': 0.6903398058252427, 'momentum_score': 0.7553398058252426, 'fey_score': 0.6019417475728155, 'trend_score': 0.7864077669902912, 'risk_score': 0.6245954692556634, 'liquidity_score': 0.49029126213592233}",0.024454576496859257,22.2357,-49.0,-1089.5493,1.0895,1.0
