,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,A,,USD,,0.0,137.3904,-130.0,-17860.752,17.8608,1.0
1,ABBV,Health Care,USD,"{'total_score': 0.638235294117647, 'momentum_score': 0.6029411764705881, 'fey_score': 0.6862745098039216, 'trend_score': 0.7843137254901961, 'risk_score': 0.4313725490196078, 'liquidity_score': 0.6813725490196079}",0.015032819346384096,225.6081,-12.0,-2707.2972,2.7073,1.0
2,ADM,Consumer Staples,USD,"{'total_score': 0.6278676470588234, 'momentum_score': 0.6475490196078431, 'fey_score': 0.7941176470588235, 'trend_score': 0.5784313725490197, 'risk_score': 0.5130718954248366, 'liquidity_score': 0.20098039215686275}",0.023258610156696873,58.6082,49.0,2871.8018,2.8718,1.0
3,AEE,Utilities,USD,"{'total_score': 0.5318627450980391, 'momentum_score': 0.6078431372549019, 'fey_score': 0.4803921568627451, 'trend_score': 0.47058823529411764, 'risk_score': 0.6339869281045751, 'liquidity_score': 0.19607843137254904}",0.019702222758337128,100.1795,-24.0,-2404.308,2.4043,1.0
4,AEP,Utilities,USD,"{'total_score': 0.606764705882353, 'momentum_score': 0.6852941176470588, 'fey_score': 0.5098039215686274, 'trend_score': 0.6666666666666666, 'risk_score': 0.5490196078431372, 'liquidity_score': 0.47549019607843135}",0.022476876802091893,114.9015,-7.0,-804.3105,0.8043,1.0
5,AMGN,Health Care,USD,"{'total_score': 0.696985294117647, 'momentum_score': 0.7553921568627451, 'fey_score': 0.7254901960784313, 'trend_score': 0.7941176470588235, 'risk_score': 0.41830065359477125, 'liquidity_score': 0.5931372549019608}",0.01641660075856853,325.3854,5.0,1626.927,1.6269,1.0
6,ATO,,USD,,0.0,168.4242,-203.0,-34190.1126,34.1901,1.0
7,AZN.L,Health Care,GBp,"{'total_score': 0.669656862745098, 'momentum_score': 0.9490196078431372, 'fey_score': 0.08823529411764706, 'trend_score': 0.8725490196078431, 'risk_score': 0.7222222222222222, 'liquidity_score': 0.6519607843137255}",0.015772914369504846,13590.6045,10.0,1831.1243,1.8311,74.22
8,BATS.L,Consumer Staples,GBp,"{'total_score': 0.6103676470588234, 'momentum_score': 0.867156862745098, 'fey_score': 0.08823529411764706, 'trend_score': 0.8627450980392157, 'risk_score': 0.4934640522875817, 'liquidity_score': 0.7647058823529411}",0.0226103434723903,4188.4082,36.0,2031.5642,2.0316,74.22
9,BIIB,Health Care,USD,"{'total_score': 0.7040196078431373, 'momentum_score': 0.6186274509803922, 'fey_score': 0.8627450980392157, 'trend_score': 0.9215686274509803, 'risk_score': 0.4542483660130719, 'liquidity_score': 0.3872549019607843}",0.016582285057816316,177.82,9.0,1600.38,1.6004,1.0
10,BMY,Health Care,USD,"{'total_score': 0.5968627450980392, 'momentum_score': 0.25784313725490193, 'fey_score': 0.9803921568627451, 'trend_score': 0.8333333333333334, 'risk_score': 0.3496732026143791, 'liquidity_score': 0.8480392156862745}",0.014058341656034775,52.9144,387.0,20477.8728,20.4779,1.0
11,CAH,Health Care,USD,"{'total_score': 0.7186274509803922, 'momentum_score': 0.9558823529411764, 'fey_score': 0.43137254901960786, 'trend_score': 1.0, 'risk_score': 0.38235294117647056, 'liquidity_score': 0.37745098039215685}",0.016926354194930174,205.2225,-7.0,-1436.5575,1.4366,1.0
12,CMS,Utilities,USD,"{'total_score': 0.5509068627450979, 'momentum_score': 0.6867647058823529, 'fey_score': 0.5196078431372549, 'trend_score': 0.4117647058823529, 'risk_score': 0.607843137254902, 'liquidity_score': 0.14215686274509803}",0.020407689444200166,69.8969,5.0,349.4845,0.3495,1.0
13,CNA.L,Utilities,GBp,"{'total_score': 0.5262254901960783, 'momentum_score': 0.7107843137254901, 'fey_score': 0.08823529411764706, 'trend_score': 0.6274509803921569, 'risk_score': 0.5555555555555555, 'liquidity_score': 0.9313725490196079}",0.019493397355829407,174.32,-1280.0,-3006.3271,3.0063,74.22
14,CNP,Utilities,USD,"{'total_score': 0.6157598039215687, 'momentum_score': 0.832843137254902, 'fey_score': 0.4019607843137255, 'trend_score': 0.5392156862745098, 'risk_score': 0.6601307189542484, 'liquidity_score': 0.3382352941176471}",0.022810089509571606,38.5176,-57.0,-2195.5032,2.1955,1.0
15,CVS,Health Care,USD,"{'total_score': 0.8275980392156862, 'momentum_score': 0.9205882352941176, 'fey_score': 0.8823529411764706, 'trend_score': 0.8431372549019608, 'risk_score': 0.5522875816993463, 'liquidity_score': 0.6666666666666667}",0.019493017590245982,79.4761,-31.0,-2463.7591,2.4638,1.0
