,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,ABBV,Health Care,USD,"{'total_score': 0.8471717171717172, 'momentum_score': 0.9414141414141413, 'fey_score': 0.8686868686868687, 'trend_score': 0.9494949494949495, 'risk_score': 0.4478114478114478, 'liquidity_score': 0.8686868686868687}",0.02184152502647616,129.3317,3.0,387.9951,0.388,1.0
1,ADM,Consumer Staples,USD,"{'total_score': 0.7842424242424243, 'momentum_score': 0.9131313131313132, 'fey_score': 0.696969696969697, 'trend_score': 1.0, 'risk_score': 0.41077441077441074, 'liquidity_score': 0.5757575757575757}",0.02764581031020656,79.7992,5.0,398.996,0.399,1.0
2,AEE,Utilities,USD,"{'total_score': 0.5546969696969698, 'momentum_score': 0.6202020202020202, 'fey_score': 0.4444444444444444, 'trend_score': 0.6464646464646465, 'risk_score': 0.6262626262626263, 'liquidity_score': 0.06565656565656565}",0.0195539628179417,81.9472,15.0,1229.208,1.2292,1.0
3,AEP,Utilities,USD,"{'total_score': 0.6440151515151515, 'momentum_score': 0.7065656565656565, 'fey_score': 0.5959595959595959, 'trend_score': 0.7474747474747475, 'risk_score': 0.5185185185185185, 'liquidity_score': 0.40909090909090906}",0.02270257278275367,85.1031,-7.0,-595.7217,0.5957,1.0
4,AMGN,Health Care,USD,"{'total_score': 0.5891161616161615, 'momentum_score': 0.43787878787878787, 'fey_score': 0.8383838383838383, 'trend_score': 0.5353535353535354, 'risk_score': 0.5925925925925927, 'liquidity_score': 0.6060606060606061}",0.015188414729422386,204.8378,9.0,1843.5402,1.8435,1.0
5,ATO,Utilities,USD,"{'total_score': 0.6025757575757575, 'momentum_score': 0.6696969696969697, 'fey_score': 0.5050505050505051, 'trend_score': 0.797979797979798, 'risk_score': 0.5387205387205387, 'liquidity_score': 0.030303030303030304}",0.0212417673113778,102.0567,0.0,0.0,0.0,1.0
6,AZN.L,Health Care,GBp,"{'total_score': 0.594621212121212, 'momentum_score': 0.8237373737373737, 'fey_score': 0.08585858585858586, 'trend_score': 0.9191919191919192, 'risk_score': 0.4343434343434343, 'liquidity_score': 0.7171717171717171}",0.015330344276810362,10675.376,8.0,1067.4042,1.0674,80.01
7,BATS.L,Consumer Staples,GBp,"{'total_score': 0.527070707070707, 'momentum_score': 0.7252525252525253, 'fey_score': 0.08585858585858586, 'trend_score': 0.6363636363636364, 'risk_score': 0.5656565656565656, 'liquidity_score': 0.7929292929292929}",0.018580092503691116,3335.8157,7.0,291.8474,0.2918,80.01
8,BAYN.DE,Health Care,EUR,"{'total_score': 0.5229292929292928, 'momentum_score': 0.597979797979798, 'fey_score': 0.08585858585858586, 'trend_score': 0.9595959595959596, 'risk_score': 0.5185185185185185, 'liquidity_score': 0.4494949494949495}",0.013482004895918331,58.1693,242.0,14792.9493,14.7929,0.9516
9,BDX,Health Care,USD,"{'total_score': 0.5313383838383838, 'momentum_score': 0.5015151515151515, 'fey_score': 0.7474747474747475, 'trend_score': 0.36363636363636365, 'risk_score': 0.5353535353535354, 'liquidity_score': 0.3181818181818182}",0.013698805534818316,182.3913,-11.0,-2006.3043,2.0063,1.0
