,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,A,Health Care,USD,"{'total_score': 0.5417797619047618, 'momentum_score': 0.5477197802197802, 'fey_score': 0.3142857142857143, 'trend_score': 0.9047619047619048, 'risk_score': 0.5322649572649573, 'liquidity_score': 0.21428571428571427}",0.010373629280574018,151.7439,74.0,11229.0486,11.229,1.0
1,ABBV,Health Care,USD,"{'total_score': 0.7430306776556777, 'momentum_score': 0.7422802197802197, 'fey_score': 0.8857142857142857, 'trend_score': 0.6190476190476191, 'risk_score': 0.6628205128205128, 'liquidity_score': 0.7714285714285715}",0.014227044522657254,128.8876,-9.0,-1159.9884,1.16,1.0
2,ADM,Consumer Staples,USD,"{'total_score': 0.588893772893773, 'momentum_score': 0.680054945054945, 'fey_score': 0.8095238095238095, 'trend_score': 0.29523809523809524, 'risk_score': 0.4042429792429793, 'liquidity_score': 0.5761904761904761}",0.02405426839046443,74.1709,-48.0,-3560.2032,3.5602,1.0
3,AEP,Utilities,USD,"{'total_score': 0.5552641941391941, 'momentum_score': 0.6015659340659341, 'fey_score': 0.6857142857142857, 'trend_score': 0.42857142857142855, 'risk_score': 0.4362026862026862, 'liquidity_score': 0.44285714285714284}",0.02268061672278612,83.6925,3.0,251.0775,0.2511,1.0
4,AES,Utilities,USD,"{'total_score': 0.6606863553113553, 'momentum_score': 0.6867857142857142, 'fey_score': 0.7904761904761904, 'trend_score': 0.780952380952381, 'risk_score': 0.3084249084249084, 'liquidity_score': 0.40476190476190477}",0.02698674641180797,23.1111,1279.0,29559.0969,29.5591,1.0
5,AMGN,Health Care,USD,"{'total_score': 0.645217032967033, 'momentum_score': 0.5817032967032967, 'fey_score': 0.8380952380952381, 'trend_score': 0.6095238095238096, 'risk_score': 0.5584249084249084, 'liquidity_score': 0.5285714285714286}",0.012354175582306995,222.4507,-5.0,-1112.2535,1.1123,1.0
6,ATO,,USD,,0.0,110.3318,-235.0,-25927.973,25.928,1.0
7,AZN.L,Health Care,GBp,"{'total_score': 0.563334249084249, 'momentum_score': 0.7967582417582417, 'fey_score': 0.1, 'trend_score': 0.7238095238095238, 'risk_score': 0.5170940170940171, 'liquidity_score': 0.7428571428571429}",0.010786339896686311,10242.4492,-8.0,-1015.2347,1.0152,80.71000000000001
8,BDX,Health Care,USD,"{'total_score': 0.5837106227106227, 'momentum_score': 0.5448901098901099, 'fey_score': 0.7428571428571429, 'trend_score': 0.5619047619047619, 'risk_score': 0.5326923076923077, 'liquidity_score': 0.30000000000000004}",0.01117649279818879,184.0393,5.0,920.1965,0.9202,1.0
9,BIIB,Health Care,USD,"{'total_score': 0.6535022893772894, 'momentum_score': 0.6464010989010989, 'fey_score': 0.4857142857142857, 'trend_score': 0.9333333333333333, 'risk_score': 0.6944444444444445, 'liquidity_score': 0.3}",0.012512816019875809,287.52,-7.0,-2012.64,2.0126,1.0
10,BMY,Health Care,USD,"{'total_score': 0.6285668498168497, 'momentum_score': 0.5464285714285714, 'fey_score': 0.9523809523809523, 'trend_score': 0.3523809523809524, 'risk_score': 0.6027472527472527, 'liquidity_score': 0.7666666666666666}",0.012035369234047672,62.8228,-54.0,-3392.4312,3.3924,1.0
11,BSX,Health Care,USD,"{'total_score': 0.6053736263736265, 'momentum_score': 0.6762637362637363, 'fey_score': 0.3047619047619048, 'trend_score': 0.8, 'risk_score': 0.6562881562881563, 'liquidity_score': 0.680952380952381}",0.01159128121389787,48.07,-15.0,-721.05,0.721,1.0
12,CAG,Consumer Staples,USD,"{'total_score': 0.7126163003663004, 'momentum_score': 0.6127472527472527, 'fey_score': 0.8761904761904762, 'trend_score': 0.8666666666666667, 'risk_score': 0.5448412698412698, 'liquidity_score': 0.48095238095238096}",0.029107904578781898,30.7371,15.0,461.0565,0.4611,1.0
13,CAH,Health Care,USD,"{'total_score': 0.7864913003663003, 'momentum_score': 0.8304120879120879, 'fey_score': 0.8666666666666667, 'trend_score': 0.9523809523809523, 'risk_score': 0.4691391941391941, 'liquidity_score': 0.3666666666666667}",0.015059198877625848,72.1153,-34.0,-2451.9202,2.4519,1.0
14,CI,Health Care,USD,"{'total_score': 0.769206043956044, 'momentum_score': 0.8916483516483515, 'fey_score': 0.8571428571428571, 'trend_score': 0.7333333333333333, 'risk_score': 0.5014957264957265, 'liquidity_score': 0.41904761904761906}",0.014728232579827544,283.8991,-6.0,-1703.3946,1.7034,1.0
15,CNA.L,Utilities,GBp,"{'total_score': 0.6228777472527471, 'momentum_score': 0.8443681318681319, 'fey_score': 0.1, 'trend_score': 0.9809523809523809, 'risk_score': 0.3886752136752137, 'liquidity_score': 0.9571428571428571}",0.02544239588956923,98.0772,-1568.0,-1905.4027,1.9054,80.71000000000001
16,COO,Health Care,USD,"{'total_score': 0.5696227106227106, 'momentum_score': 0.35318681318681316, 'fey_score': 1.0, 'trend_score': 0.7047619047619048, 'risk_score': 0.35592185592185593, 'liquidity_score': 0.03333333333333333}",0.010906747068256917,90.6255,131.0,11871.9405,11.8719,1.0
17,CPB,Consumer Staples,USD,"{'total_score': 0.6545650183150182, 'momentum_score': 0.6675824175824177, 'fey_score': 0.7238095238095238, 'trend_score': 0.7714285714285715, 'risk_score': 0.4790903540903541, 'liquidity_score': 0.2761904761904762}",0.026736711023770447,44.1036,18.0,793.8648,0.7939,1.0
18,CTEC.L,Health Care,GBp,"{'total_score': 0.6209848901098901, 'momentum_score': 0.844532967032967, 'fey_score': 0.1, 'trend_score': 0.8571428571428571, 'risk_score': 0.6312271062271062, 'liquidity_score': 0.6857142857142857}",0.011890195041966879,238.6161,4406.0,13026.1744,13.0262,80.71000000000001
19,CVS,,USD,,0.0,76.7451,-144.0,-11051.2944,11.0513,1.0
20,DGX,Health Care,USD,"{'total_score': 0.7022271062271063, 'momentum_score': 0.8325274725274725, 'fey_score': 0.6285714285714286, 'trend_score': 0.6952380952380952, 'risk_score': 0.7230769230769231, 'liquidity_score': 0.12380952380952381}",0.0134457655730057,136.3407,23.0,3135.8361,3.1358,1.0
21,DUK,Utilities,USD,"{'total_score': 0.5728910256410256, 'momentum_score': 0.5902197802197802, 'fey_score': 0.6571428571428571, 'trend_score': 0.49523809523809526, 'risk_score': 0.5405067155067155, 'liquidity_score': 0.4380952380952381}",0.02340061166132154,89.8573,30.0,2695.719,2.6957,1.0
22,ED,Utilities,USD,"{'total_score': 0.6157193223443223, 'momentum_score': 0.7503021978021976, 'fey_score': 0.5428571428571428, 'trend_score': 0.6285714285714286, 'risk_score': 0.5445665445665445, 'liquidity_score': 0.2}",0.02514999905685336,85.1006,20.0,1702.012,1.702,1.0
